Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
1,Tennessee,SEC,25-5,25,5,57-9,57,9,30,24-2,24,2,8,135,38-5,38,5,13-2,13,2,6-2,6,2,26-8,26,8,10-0,10,0,8-1,8,1,13-0,13,0
2,Oregon State,Pac-12,20-10,20,10,48-18,48,18,18,21-3,21,3,1,9,23-11,23,11,14-5,14,5,11-2,11,2,13-9,13,9,21-7,21,7,10-2,10,2,4-0,4,0
3,Notre Dame,ACC,16-11,16,11,41-17,41,17,27,17-2,17,2,3,67,17-3,17,3,13-9,13,9,11-5,11,5,20-10,20,10,4-1,4,1,4-4,4,4,13-2,13,2
4,Stanford,Pac-12,21-9,21,9,47-18,47,18,23,16-5,16,5,10,22,26-7,26,7,13-8,13,8,8-3,8,3,12-11,12,11,14-5,14,5,13-0,13,0,8-2,8,2
5,Oklahoma,Big 12,15-9,15,9,45-24,45,24,5,18-11,18,11,30,4,19-8,19,8,12-9,12,9,14-7,14,7,26-15,26,15,8-3,8,3,4-5,4,5,7-1,7,1
6,Auburn,SEC,16-13,16,13,43-22,43,22,6,21-5,21,5,13,35,25-9,25,9,12-9,12,9,6-4,6,4,17-16,17,16,12-2,12,2,7-3,7,3,7-1,7,1
7,Ole Miss,SEC,14-16,14,16,42-23,42,23,4,18-5,18,5,15,41,19-12,19,12,15-8,15,8,8-3,8,3,20-15,20,15,8-4,8,4,4-4,4,4,10-0,10,0
8,Texas A&M,SEC,19-11,19,11,44-20,44,20,15,16-6,16,6,38,47,27-9,27,9,12-6,12,6,5-5,5,5,24-13,24,13,5-5,5,5,7-2,7,2,8-0,8,0
9,Vanderbilt,SEC,14-16,14,16,39-23,39,23,1,21-3,21,3,5,46,21-12,21,12,13-8,13,8,5-3,5,3,14-21,14,21,8-2,8,2,7-0,7,0,10-0,10,0
10,Virginia Tech,ACC,19-9,19,9,45-14,45,14,50,21-2,21,2,14,171,33-7,33,7,11-6,11,6,1-1,1,1,18-11,18,11,3-1,3,1,10-2,10,2,14-0,14,0
11,North Carolina,ACC,15-15,15,15,42-22,42,22,3,19-4,19,4,7,38,33-9,33,9,5-12,5,12,4-1,4,1,21-18,21,18,8-2,8,2,5-1,5,1,8-1,8,1
12,Texas,Big 12,14-10,14,10,47-22,47,22,24,25-7,25,7,11,40,27-7,27,7,15-10,15,10,5-5,5,5,19-15,19,15,8-7,8,7,4-0,4,0,16-0,16,0
13,Maryland,Big Ten,18-5,18,5,48-14,48,14,75,26-5,26,5,6,86,27-4,27,4,19-7,19,7,2-3,2,3,5-6,5,6,12-3,12,3,15-2,15,2,16-3,16,3
14,Arkansas,SEC,18-12,18,12,46-21,46,21,26,20-4,20,4,41,157,28-7,28,7,11-9,11,9,7-5,7,5,21-16,21,16,4-2,4,2,5-2,5,2,16-1,16,1
