Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
99,Penn State,Big Ten,12-12,12,12,29-24,29,24,120,14-11,14,11,134,223,11-8,11,8,10-13,10,13,8-3,8,3,5-8,5,8,2-3,2,3,12-6,12,6,10-7,10,7
100,Western Kentucky,Conference USA,15-9,15,9,36-22,36,22,164,19-11,19,11,144,260,22-9,22,9,12-11,12,11,2-2,2,2,2-6,2,6,6-6,6,6,11-4,11,4,17-6,17,6
101,Bowling Green,Mid-American,24-6,24,6,33-20,33,20,221,8-12,8,12,145,158,16-3,16,3,16-15,16,15,1-2,1,2,1-5,1,5,3-1,3,1,9-10,9,10,20-4,20,4
102,Missouri,SEC,9-21,9,21,23-32,23,32,28,14-11,14,11,186,246,15-14,15,14,7-16,7,16,1-2,1,2,8-19,8,19,3-3,3,3,3-4,3,4,9-6,9,6
103,Niagara,MAAC,20-4,20,4,38-17,38,17,275,15-11,15,11,110,277,12-3,12,3,23-13,23,13,3-1,3,1,1-3,1,3,1-2,1,2,8-4,8,4,28-8,28,8
104,Iowa,Big Ten,14-10,14,10,29-23,29,23,126,15-11,15,11,151,245,18-4,18,4,7-12,7,12,4-7,4,7,3-8,3,8,3-5,3,5,8-7,8,7,15-3,15,3
105,Cal Poly,Big West,20-10,20,10,35-22,35,22,151,15-12,15,12,220,242,24-12,24,12,11-10,11,10,0-0,0,0,4-5,4,5,1-2,1,2,10-8,10,8,20-7,20,7
106,Michigan State,Big Ten,11-13,11,13,24-27,24,27,48,13-14,13,14,123,61,13-10,13,10,6-8,6,8,5-9,5,9,2-4,2,4,5-10,5,10,11-7,11,7,6-6,6,6
107,Saint Mary's College,West Coast,16-8,16,8,34-22,34,22,181,17-12,17,12,103,155,21-7,21,7,12-13,12,13,1-2,1,2,3-7,3,7,1-1,1,1,8-7,8,7,22-7,22,7
108,Western Carolina,Southern,13-8,13,8,28-26,28,26,99,15-16,15,16,166,187,14-11,14,11,10-11,10,11,4-4,4,4,2-8,2,8,0-3,0,3,14-10,14,10,12-5,12,5
109,Mercer,Southern,6-14,6,14,29-29,29,29,82,20-13,20,13,92,122,17-13,17,13,9-14,9,14,3-2,3,2,3-5,3,5,8-14,8,14,5-2,5,2,13-8,13,8
110,Georgia State,Sun Belt,13-17,13,17,25-32,25,32,50,12-14,12,14,118,80,13-15,13,15,12-15,12,15,0-2,0,2,2-12,2,12,11-4,11,4,5-10,5,10,7-6,7,6
111,Texas State,Sun Belt,13-17,13,17,27-29,27,29,71,14-12,14,12,111,111,15-14,15,14,9-12,9,12,3-3,3,3,4-7,4,7,1-7,1,7,13-14,13,14,9-1,9,1
112,Houston,Big 12,7-21,7,21,26-28,26,28,56,19-7,19,7,47,86,20-12,20,12,4-14,4,14,2-2,2,2,0-10,0,10,5-12,5,12,7-4,7,4,14-2,14,2
113,Southeast Missouri,Ohio Valley,18-9,18,9,36-27,36,27,169,13-15,13,15,124,76,16-12,16,12,16-13,16,13,4-2,4,2,2-6,2,6,2-0,2,0,6-8,6,8,26-13,26,13
114,McNeese,Southland,11-13,11,13,30-27,30,27,108,16-12,16,12,98,114,20-10,20,10,7-15,7,15,3-2,3,2,0-8,0,8,3-9,3,9,5-2,5,2,22-8,22,8
115,High Point,Big South,17-7,17,7,35-27,35,27,140,14-18,14,18,175,106,20-14,20,14,11-12,11,12,4-1,4,1,2-7,2,7,2-3,2,3,11-7,11,7,20-10,20,10
116,Bryant,America East,17-7,17,7,36-21,36,21,256,16-12,16,12,107,213,19-4,19,4,14-16,14,16,3-1,3,1,0-7,0,7,1-3,1,3,5-6,5,6,30-5,30,5
117,Ball State,Mid-American,18-12,18,12,35-23-1,35,23,223,14-9-1,14,9,67,165,13-6,13,6,15-13,15,13,7-4-1,7,4,0-4-0,0,4,1-2-1,1,2,17-10-0,17,10,17-7-0,17,7
118,Air Force,Mountain West,18-12,18,12,27-28,27,28,119,8-14,8,14,89,5,14-6,14,6,9-17,9,17,4-5,4,5,3-10,3,10,0-2,0,2,7-9,7,9,17-7,17,7
119,UTSA,American Athletic,17-10,17,10,32-24,32,24,158,15-12,15,12,156,210,19-11,19,11,12-9,12,9,1-4,1,4,2-2,2,2,4-3,4,3,11-11,11,11,15-8,15,8
120,Minnesota,Big Ten,11-13,11,13,24-23,24,23,145,13-10,13,10,138,271,9-7,9,7,12-12,12,12,3-4,3,4,0-4,0,4,6-9,6,9,6-8,6,8,12-2,12,2
121,William & Mary,Coastal Athletic,13-14,13,14,32-26,32,26,141,17-10,17,10,115,194,19-12,19,12,11-12,11,12,2-2,2,2,2-6,2,6,3-5,3,5,8-8,8,8,19-7,19,7
122,Delaware,Coastal Athletic,16-11,16,11,31-26,31,26,152,13-13,13,13,211,240,11-15,11,15,17-9,17,9,3-2,3,2,0-2,0,2,5-6,5,6,13-9,13,9,13-9,13,9
123,Liberty,Conference USA,11-13,11,13,24-34,24,34,43,11-19,11,19,159,32,16-14,16,14,6-18,6,18,2-2,2,2,2-16,2,16,2-10,2,10,9-3,9,3,11-5,11,5
124,Western Michigan,Mid-American,19-11,19,11,31-23,31,23,201,9-10,9,10,109,132,11-5,11,5,15-8,15,8,5-10,5,10,0-3,0,3,3-4,3,4,6-6,6,6,22-10,22,10
125,Columbia,Ivy League,17-4,17,4,26-18,26,18,212,9-12,9,12,121,88,15-4,15,4,11-10,11,10,0-4,0,4,1-8,1,8,0-0,0,0,4-4,4,4,21-6,21,6
126,New Orleans,Southland,14-10,14,10,28-26,28,26,113,13-14,13,14,140,81,18-12,18,12,9-11,9,11,1-3,1,3,0-6,0,6,4-2,4,2,10-11,10,11,14-7,14,7
127,FGCU,ASUN,20-10,20,10,30-26,30,26,153,9-14,9,14,142,37,18-9,18,9,11-14,11,14,1-3,1,3,0-6,0,6,5-5,5,5,4-6,4,6,21-9,21,9
128,California Baptist,Western Athletic,18-12,18,12,38-24,38,24,208,16-10,16,10,106,160,21-11,21,11,13-10,13,10,4-3,4,3,1-2,1,2,3-5,3,5,9-8,9,8,25-9,25,9
129,Army,Patriot League,16-8,16,8,31-23,31,23,182,11-12,11,12,195,216,14-9,14,9,11-8,11,8,6-6,6,6,0-2,0,2,3-4,3,4,7-6,7,6,21-11,21,11
130,FIU,Conference USA,11-13,11,13,27-30,27,30,80,15-15,15,15,150,109,16-17,16,17,9-9,9,9,2-4,2,4,0-4,0,4,6-5,6,5,10-17,10,17,11-4,11,4
131,BYU,Big 12,7-23,7,23,21-31,21,31,66,14-8,14,8,68,166,9-14,9,14,11-15,11,15,1-2,1,2,5-13,5,13,3-4,3,4,5-9,5,9,8-5,8,5
132,Dayton,Atlantic 10,14-9,14,9,33-22,33,22,233,18-11,18,11,135,281,17-7,17,7,15-13,15,13,1-2,1,2,1-3,1,3,4-5,4,5,6-5,6,5,22-9,22,9
133,UC Davis,Big West,13-17,13,17,29-27,29,27,159,16-10,16,10,117,252,15-11,15,11,14-16,14,16,0-0,0,0,1-5,1,5,2-5,2,5,8-10,8,10,18-7,18,7
