rank,name,position,school,age,bats,throws,current_level
103,Jacob Reimer,3B/1B,Yucaipa (CA),22,R,R,AA
104,Paxton Kling,OF,Penn State,22,R,R,A+
105,Cutter Coffey,3B/2B,Liberty (CA),21,R,R,AA
106,Joe Lampe,OF,Arizona State,25,L,R,AA
107,Gavin Turley,OF,Oregon State,22,R,R,A
108,Robert Moore,2B/SS,Arkansas,24,S,R,AAA
109,Austin Charles,3B/SS,Stockdale (CA),22,R,R,A+
110,Chandler Pollard,SS/2B,Woodward Academy (GA),22,R,R,A
111,Trey Dombroski,LHP,Monmouth,25,R,L,AA
112,Ben Joyce,RHP,Tennessee,25,R,R,A
113,Xavier Isaac,1B,East Forsyth (NC),22,L,L,AA
114,Jayden Hylton,OF,Stetson,22,R,R,
115,Nolan McLean,RHP,Oklahoma State,24,R,R,MLB
116,Nate Savino,LHP,Virginia,24,L,L,A+
117,Brandon Sproat,RHP,Florida,25,R,R,MLB
118,Kassius Thomas,RHP,Stanford,22,R,R,
119,Caden Dana,RHP,Don Bosco (NJ),22,L,R,AAA
120,Ashton Izzi,RHP,Oswego East (IL),22,R,R,AA
121,Ike Irish,C/OF/1B,Auburn,22,L,R,A+
122,Maximus Martin,SS/OF,Kansas State,22,R,R,A+
123,Chandler Simpson,OF,Georgia Tech,25,L,R,MLB
124,Noah Dean,LHP,Old Dominion,25,L,L,ROK
125,Levi Huesman,LHP,Vanderbilt,22,R,L,A
126,Jack O'Connor,RHP,Virginia,22,R,R,ROK
127,Pete Hansen,LHP,Texas,25,R,L,AAA
128,Jackson Humphries,LHP,Fuquay-Varina (NC),21,R,L,A+
129,Chase Shores,RHP,Louisiana State,21,R,R,A+
130,Andrew Walters,RHP,Miami,25,R,R,AAA
131,Jacob Zibin,RHP,TNXL Academy (FL),21,L,R,A
132,Adonys Guzman,C,Arizona,22,R,R,A+
133,Logan Wagner,3B/2B,P27 Academy (SC),22,S,R,A+
134,Colby Holcombe,RHP,Mississippi State,23,R,R,A+
135,Troy Melton,RHP,San Diego State,25,R,R,A
136,Trey Lipscomb,INF,Tennessee,25,R,R,AAA
137,Drake Baldwin,C,Missouri State,25,L,R,MLB
138,Tres Gonzalez,OF,Georgia Tech,25,L,L,AA
139,Marcus Johnson,RHP,Duke,25,R,R,AAA
140,Jordan Sprinkle,SS,UC Santa Barbara,25,R,R,AA
141,Jace Grady,OF,Dallas Baptist,24,S,R,A+
142,Jared McKenzie,OF,Baylor,24,L,L,A+
143,Luis Ramirez,RHP,Long Beach State,25,R,R,A+
144,Anthony Hall,OF,Oregon,25,L,L,A+
145,Cade Hunter,C,Virginia Tech,25,L,R,AA
146,Silas Ardoin,C,Texas,25,R,R,AAA
147,Jeric Curtis,OF,Missouri,22,R,R,
148,Malachi Witherspoon,RHP,Oklahoma,21,R,R,A
149,JT Quinn,RHP,Georgia,22,R,R,A+
150,Riley Kelly,RHP,UC Irvine,22,R,R,A
151,Jimmy Crooks,C,Oklahoma,24,L,R,AAA
152,Jayson Jones,3B,Wichita State,22,R,R,
153,Justin Boyd,OF,Oregon State,25,R,R,AA
154,Jacob Watters,RHP,West Virginia,25,R,R,AA
155,Hayden Dunhurst,C,Mississippi,25,L,R,A
156,Andrew Taylor,RHP,Central Michigan,24,R,R,A+
157,David Lally Jr.,RHP,Michigan,22,R,R,
158,Brooks Brannon,C,Randleman (NC),22,R,R,AA
159,Grayson Saunier,RHP,Texas,22,L,R,ROK
160,Zach Crotchfelt,LHP,Texas Tech,22,L,L,
161,Sean McLain,SS,Arizona State,25,R,R,AA
162,Trey Faltine,SS,Texas,25,R,R,AA
163,Bryce Osmond,RHP,Oklahoma State,25,R,R,AA
164,Jack Brannigan,SS/3B,Notre Dame,25,R,R,AA
165,Drew Faurot,2B,Florida State,22,S,R,A+
166,Christopher Paciolla,SS,Temecula Valley (CA),22,R,R,A+
167,Alex McFarlane,RHP,Miami,24,R,R,AA
168,William Kempner,RHP,Gonzaga,24,R,R,AAA
169,Ryan Ritter,SS,Kentucky,25,R,R,AAA
170,Alex Freeland,INF,Central Florida,24,S,R,AAA
171,Adrian Rodriguez,SS,International Baseball Academy (PR),22,R,R,A+
172,Max Rajcic,RHP,UCLA,24,R,R,AAA
173,Brad Cumbest,OF,Mississippi State,25,R,R,A
174,Andrew Jenkins,1B,Georgia Tech,25,R,R,AA
175,Alan Roden,OF,Creighton,26,L,R,AAA
176,Michael Knorr,RHP,Coastal Carolina,26,R,R,AAA
177,Dakota Jordan,OF,Mississippi State,23,R,R,A+
178,Eric Snow,SS,Auburn,22,R,R,A
179,Mack Anglin,RHP,Clemson,25,R,R,A
180,Michael Prosecky,LHP,Louisville,25,L,L,AA
181,Kenya Huggins,RHP,Chipola JC,23,R,R,AA
182,Chris Stanfield,OF,Louisiana State,22,R,R,
183,Aiva Arquette,SS,Oregon State,22,R,R,A+
184,Eli Jerzembeck,RHP,South Carolina,22,R,R,A+
185,Patrick Forbes,RHP,Louisville,21,R,R,A+
186,Jace LaViolette,OF,Texas A&M,22,L,L,A+
187,Quinn Mathews,LHP,Stanford,25,L,L,AAA
188,Josh White,RHP,California,25,R,R,AAA
189,D'Andre Smith,SS,Southern California,25,R,R,AA
190,Chris Newell,OF,Virginia,25,L,L,AA
191,Luke Heyman,C,Florida,22,R,R,A
192,Gabriel Rincones Jr.,OF,Florida Atlantic,25,L,R,A
193,Payton Brennan,OF,UCLA,22,L,R,
194,Eli Serrano III,OF,North Carolina State,23,L,L,AA
195,Anthony Silva,SS,Texas Christian,22,R,R,A+
196,RJ Austin,OF,Vanderbilt,22,R,R,A+
197,Ross Highfill,C,Purdue,22,R,R,
198,Jared Jones,1B,Louisiana State,22,R,R,A+
199,Brock Wills,SS,West Virginia,22,L,R,
200,Zach Maxwell,RHP,Georgia Tech,25,R,R,AAA
201,Hayden Murphy,RHP,Auburn,22,R,R,A
202,Victor Mederos,RHP,Oklahoma State,24,R,R,AAA
203,Tyler Bremner,RHP,UC Santa Barbara,22,R,R,A+
204,Orion Kerkering,RHP,South Florida,25,R,R,MLB
205,Carter Garate,SS,Oregon,22,L,R,A+
206,David Sandlin,RHP,Oklahoma,25,R,R,AAA
207,Blake Burkhalter,RHP,Auburn,25,R,R,AAA
208,Trevor Martin,RHP,Oklahoma State,25,R,R,AAA
209,Mason Barnett,RHP,Auburn,25,R,R,AAA
210,Tyler Schweitzer,LHP,Ball State,25,L,L,MLB
211,Tyler Gough,RHP,JSerra (CA),22,S,R,A
212,JeanPierre Ortiz,RHP,Chipola JC,22,R,R,A+
213,Matthew Wood,C,Penn State,25,L,R,AA
214,Kody Huff,C,Stanford,25,R,R,AAA
215,Liam Simon,RHP,Notre Dame,25,R,R,A+
216,Will Vierling,C,Murray State,22,L,R,A
