Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Michael Carico","DAV",19,272,0.169117647,0.12867647,1.314285714,0.40609137,0.558823529,0.842639593,1.401463122,0.436548223,5.56149823560202,0.409722222,0.6015121509899473,98.39200414725134,55.60711874075719,0.5905727369382101,229.96907251811135,"Michael Carico","sa3023216",801686
"Tyler Locklear","VCU",21,295,0.159322033,0.084745762,1.88,0.401785714,0.542372881,0.799107142,1.341480023,0.397321428,6.25123561960166,0.388888888,-0.005094884285426815,102.2218870124508,55.819162031142824,0.5746952782242986,220.29285360639483,"Tyler Locklear","31396",682988
"Trey Paige","DSU",21,202,0.168316831,0.168316831,1,0.408536585,0.50990099,0.762195121,1.272096111,0.353658536,7.404614667990268,0.453781512,1.345237897534389,67.3571558687945,36.11577839591698,0.55267134308815,215.6023879781589,"Trey Paige","sa3022440",813852
"Zach Neto","CAM",21,256,0.15234375,0.07421875,2.052631578,0.407035175,0.51372549,0.768844221,1.282569711,0.361809046,8.048157661406826,0.385964912,3.1354888275673147,83.70071485422844,44.73022916697257,0.5508414002025829,214.77975800953456,"Zach Neto","31347",687263
"Luke Franzoni","XAV",22,270,0.196296296,0.237037037,0.828125,0.358490566,0.488888888,0.825471698,1.314360586,0.466981132,2.2219187007957717,0.388429752,-1.0756560273002833,85.41462111890941,43.74693724930911,0.5466051850053999,204.99008628897127,"Luke Franzoni","sa3019854",686870
"David McCabe","CLT",22,195,0.205128205,0.143589743,1.428571428,0.385620915,0.512820512,0.784313725,1.297134237,0.39869281,4.52721548993079,0.39090909,0.7277008143719286,62.53882521243528,31.471544964627782,0.5448547023993272,201.30125557691457,"David McCabe","sa3019964",678173
"Ivan Melendez","TEX",22,315,0.165079365,0.161904761,1.019607843,0.387096774,0.507936507,0.862903225,1.370839732,0.475806451,4.310328429472807,0.38095238,-0.38262241519987583,106.10977579755087,52.62315180999535,0.5611718662201413,198.3856296898435,"Ivan Melendez","sa3019859",699471
"Max Grant","CAN",20,268,0.111940298,0.145522388,0.769230769,0.398230088,0.48880597,0.646017699,1.134823669,0.247787611,7.301183778445208,0.449438202,1.1396048972383142,78.3552924104528,38.452236325343094,0.5087832868544023,196.36413873495766,"Max Grant","sa3032583",
"Matt Higgins","BELL",22,258,0.131782945,0.158914728,0.829268292,0.366197183,0.468992248,0.769953051,1.238945299,0.403755868,5.771103531180005,0.368421052,1.1154236735310405,76.48000975258526,37.457654613329744,0.5276978528776834,195.99024579541143,"Matt Higgins","sa3033789",
"Sam Ruta","ARMY",20,229,0.165938864,0.192139737,0.863636363,0.390374331,0.493449781,0.625668449,1.11911823,0.235294118,6.757140694050029,0.478260869,0.10878003761172295,64.31030852835175,31.334620473194096,0.5120284640632863,195.02340154595535,"Sam Ruta","sa3041351",
"Matt Coutney","ODU",22,275,0.138181818,0.196363636,0.703703703,0.375545851,0.472727272,0.807860262,1.280587534,0.432314411,3.726202886796616,0.393333333,-0.0170564956497401,84.71900402492706,40.90617290622417,0.5311474787105214,193.36573752879914,"Matt Coutney","sa3020413",671925
"John Garcia","GRAM",21,239,0.10878661,0.196652719,0.553191489,0.409326424,0.514644351,0.678756476,1.193400827,0.269430052,5.830285096094798,0.5,-1.3146235465537757,78.27532574368122,37.03413595092895,0.5368450495987258,189.79890283727298,"John Garcia","sa3020419",801039
