Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jordan Savinon","FDU",20,3,4,5.192307583477574,18,10,0,0,0,60.2,278,54,40,35,5,37,6,1,0,69,"Jordan Savinon","sa3060499",
"Dylan Banner","ALB",,5,5,3.816254314078764,14,14,1,0,0,94.1,388,100,46,40,6,14,9,1,0,68,"Dylan Banner","sa3026523",
"Hudson Boncal","OHIO",,3,6,5.3544303797468356,14,11,1,0,0,79,368,83,53,47,5,37,16,5,0,68,"Hudson Boncal","sa3027360",
"Logan Knight","NDSU",,5,6,4.53599986157227,15,15,2,2,0,83.1,370,89,51,42,12,28,6,5,0,68,"Logan Knight","sa3035547",
"Connor Marshburn","UNCW",20,4,3,3.511210642204434,15,15,0,0,0,74.1,322,53,33,29,3,37,11,7,0,68,"Connor Marshburn","sa3037106",
"Blake Morgan","ODU",22,5,4,4.622568230612439,15,15,1,0,0,85.2,386,97,48,44,11,28,4,5,0,68,"Blake Morgan","sa3038359",834581
"Ross Norman","GAST",,5,8,7.676470588235294,16,12,0,0,0,68,330,86,62,58,11,31,16,5,0,68,"Ross Norman","sa3038928",
"Tyler O'Neill","BUCK",21,4,4,3.144578313253012,12,12,3,0,0,83,333,63,35,29,9,22,3,6,0,68,"Tyler O'Neill","sa3039169",
"JJ Tylicki","YSU",23,1,7,9.754838469601577,17,11,0,0,0,51.2,282,56,71,56,3,65,6,19,0,68,"JJ Tylicki","sa3044201",
"Ben Weber","OMA",,3,5,3.921161701592989,17,14,0,0,0,80.1,347,68,40,35,5,42,5,10,0,68,"Ben Weber","sa3044917",
"Caleb White","GAST",22,5,5,6.79041900656651,17,8,0,0,0,55.2,268,74,49,42,10,18,10,5,0,68,"Caleb White","sa3045105",
"Mason Brassfield","TCU",,5,2,4.086486402223198,18,7,0,0,0,61.2,266,59,32,28,8,23,7,6,0,68,"Mason Brassfield","sa3058719",
