Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Ryan Bryggman","BING",,50,8.64,2.88,3,0.9,0.20960699,0.069869,0.13973799,0.28985507,1.52,0.35714286,0.6,6.66,4.621701622009278,2.0382983779907224,"Ryan Bryggman","sa3027933",
"Jared Burch","HCU",22,45.1,7.742647275998936,4.3676471813327336,1.77272727,0.5955882519999182,0.17727273,0.1,0.07727273,0.29787234,1.7205882835553192,0.3630137,0.53699284,7.147059023999018,5.126781801822689,2.020277222176329,"Jared Burch","sa3028019",
"Jesse Schmit","UVU",,60,7.95,4.5,1.76666667,1.5,0.17549669,0.09933775,0.07615894,0.33207547,1.9666666666666666,0.38613861,0.54954955,8.55,6.532874298095703,2.0171257019042974,"Jesse Schmit","sa3041724",
"Dalton Baker","NAVY",,27,7.333333333333333,3.3333333333333335,2.2,0,0.17322835,0.07874016,0.09448819,0.29464286,1.5925925925925926,0.36666667,0.54166667,6.333333333333333,4.345949028156422,1.987384305176911,"Dalton Baker","sa3026432",
"Ethan Skuija","CSUB",,43,10.255813953488373,5.023255813953488,2.04166667,0.8372093023255814,0.23671498,0.11594203,0.12077295,0.27647059,1.6511627906976745,0.36752137,0.56122449,7.534883720930233,5.55006641787152,1.9848173030587128,"Ethan Skuija","sa3042409",
"Bryce Osmond","OKST",20,57,10.578947368421053,5.2105263157894735,2.03030303,1.4210526315789473,0.25,0.12313433,0.12686567,0.27510917,1.6842105263157894,0.35294118,0.59284116,7.421052631578948,5.442137448829517,1.9789151827494305,"Bryce Osmond","sa3020800",683098
"Colin Donnelly","QUIN",,23,7.826086956521739,5.086956521739131,1.53846154,0.782608695652174,0.17391304,0.11304348,0.06086957,0.28282828,1.7826086956521738,0.33766234,0.55825243,7.826086956521739,5.856727666440218,1.9693592900815213,"Colin Donnelly","sa3030460",
"Ryan Watson","GAST",,59.2,8.899441151124726,3.167597697857954,2.80952381,1.206703884898268,0.20996441,0.0747331,0.13523132,0.29182879,1.6089385131976908,0.35263158,0.54669704,6.636871366940475,4.714236589313123,1.9226347776273514,"Ryan Watson","sa3044868",
"Kyle Ruehlman","GWEB",,47,4.9787234042553195,2.297872340425532,2.16666667,1.7234042553191489,0.11353712,0.05240175,0.06113537,0.35680751,1.872340425531915,0.37640449,0.55415617,8.425531914893616,6.534307599574962,1.891224315318654,"Kyle Ruehlman","sa3041265",
"Bryce Grossius","SEMO",,54.1,9.441718012376048,2.319018459180082,4.07142857,0.9938650539343209,0.2375,0.05833333,0.17916667,0.30357143,1.5092024893076725,0.38509317,0.5952381,6.128834499261646,4.2561312130386,1.8727032862230457,"Bryce Grossius","sa3032767",
