Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Paul Skenes","LSU",21,12,2,1.6875000349853357,19,19,2,0,0,122.2,462,72,28,23,7,20,3,8,0,209,"Paul Skenes","33677",694973
"Quinn Mathews","STAN",22,10,4,3.7540107717669233,19,18,2,0,0,124.2,528,116,59,52,12,40,6,4,0,158,"Quinn Mathews","sa3023407",687273
"Hurston Waldrep","FLA",21,10,3,4.160655841781262,19,19,0,0,0,101.2,449,85,50,47,12,57,9,11,0,156,"Hurston Waldrep","33527",694462
"Rhett Lowder","WAKE",21,15,0,1.869806054666238,19,19,0,0,0,120.1,470,90,30,25,9,24,10,2,1,143,"Rhett Lowder","33876",695076
"Josh Hartle","WAKE",20,11,2,2.8143321776167736,18,17,0,0,0,102.1,419,91,38,32,11,24,5,8,1,140,"Josh Hartle","sa3025623",691776
"Nolan Santos","BCU",22,7,5,3.513698538330848,16,16,2,1,0,97.1,405,80,50,38,10,35,5,17,0,138,"Nolan Santos","sa3023104",813828
"Brandon Sproat","FLA",22,8,3,4.655172302457222,19,19,2,1,0,106.1,466,87,57,55,15,48,17,7,0,134,"Brandon Sproat","sa3023499",687075
"Wyatt Hudepohl","CLT",21,7,6,4.272151795588824,17,17,1,0,0,105.1,440,94,57,50,15,27,4,6,0,129,"Wyatt Hudepohl","sa3023442",694766
"Jacob Cravey","SAM",21,9,2,3.0955414764876026,17,16,3,0,1,104.2,435,83,42,36,14,40,7,7,0,126,"Jacob Cravey","sa3023423",814837
"Juaron Watts-Brown","OKST",21,6,5,5.0283399256551045,17,15,0,0,0,82.1,376,68,52,46,11,48,10,15,0,124,"Juaron Watts-Brown","sa3023352",695033
"Tanner Hall","USM",21,12,4,2.483679468994153,18,18,2,0,0,112.1,455,84,40,31,6,33,10,3,0,124,"Tanner Hall","sa3023481",805784
"Chase Dollander","TENN",21,7,6,4.752808988764045,17,17,1,0,0,89,384,83,49,47,14,30,8,2,0,120,"Chase Dollander","33482",801403
"Ty Floyd","LSU",21,7,0,4.351648351648351,19,17,0,0,1,91,387,70,50,44,16,37,12,5,2,120,"Ty Floyd","sa3031488",692226
"Matt Duffy","CAN",21,6,3,4.128099303697927,14,14,0,0,0,80.2,340,64,39,37,12,28,9,7,0,119,"Matt Duffy","sa3023272",683314
"Nico Zeglin","LBSU",,8,4,1.9964789268729768,15,15,1,1,0,94.2,360,67,25,21,3,27,2,2,0,117,"Nico Zeglin","sa3045827",
"Ryan Johnson","DBU",20,8,4,4.431297580885047,16,15,0,0,0,87.1,370,79,44,43,13,22,14,2,0,116,"Ryan Johnson","35325",696270
"Xander Hamilton","APP",21,8,4,5.7490495964325765,16,16,0,0,0,87.2,394,86,59,56,9,45,8,12,1,115,"Xander Hamilton","sa3023094",687295
"Matt Ager","UCSB",20,5,4,3.119133488097112,15,15,0,0,0,92.1,380,71,35,32,5,26,8,6,0,115,"Matt Ager","sa3025798",700400
