name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Alex Cornwell,USC,22.0,Alex Cornwell,sa3017501,676498.0,2021,5,6,5.3544303797468356,15,15,0,0,0,79.0,352,95,58,47,6,21,5,9,0,65,7.405063291139241,2.392405063291139,3.0952381,0.6835443037974683,0.18465909,0.05965909,0.125,0.29141104,1.4683544303797469,0.34901961,0.55950266,4.076456224465672,1.2779741552811634
Lael Lockhart,ARK,23.0,Lael Lockhart,sa3017502,679712.0,2021,3,3,4.4742858118174045,16,14,0,0,0,58.1,247,51,31,29,5,17,8,5,0,68,10.49142880012357,2.6228572000308925,4.0,0.7714285882443801,0.27530364,0.06882591,0.20647773,0.22972973,1.1657143111248411,0.30872483,0.65217391,3.697041564801274,0.7772442470161298
Alfredo Ruiz,LBSU,21.0,Alfredo Ruiz,sa3017506,701619.0,2021,5,1,3.745664657291464,11,11,0,0,0,57.2,249,54,25,24,1,23,8,5,0,59,9.208092282508185,3.5895952965709865,2.56521739,0.1560693607204776,0.23694779,0.09236948,0.14457831,0.24770642,1.3352600861640866,0.33544304,0.71770335,3.830346029934139,-0.0846813726426747
Chris Gerard,VT,21.0,Chris Gerard,sa3017507,701652.0,2021,2,2,3.0239999077148467,8,8,0,0,0,41.2,178,38,14,14,4,12,5,6,0,48,10.36799968359376,2.59199992089844,4.0,0.8639999736328133,0.26966292,0.06741573,0.20224719,0.23602484,1.1999999633789074,0.31192661,0.82995951,3.807934725402832,-0.7839348176879852
Bradford Webb,VCU,23.0,Bradford Webb,sa3017508,702446.0,2021,3,1,3.1578947368421053,17,14,0,0,0,57.0,249,56,23,20,2,13,8,0,2,57,9.0,2.0526315789473686,4.38461538,0.3157894736842105,0.22891566,0.05220884,0.17670683,0.24561404,1.2105263157894737,0.31952663,0.7277628,3.841580339063678,-0.6836856022215727
Andrew Alvarez,CP,22.0,Andrew Alvarez,sa3017531,674841.0,2021,7,3,4.075471580779696,16,14,1,0,0,88.1,384,92,44,40,3,31,10,8,0,81,8.252829951078883,3.1584904751042644,2.61290323,0.3056603685584771,0.2109375,0.08072917,0.13020833,0.26822157,1.3924527900997294,0.34362934,0.69099379,4.038438510894776,0.0370330698849201
Conor Grady,FSU,22.0,Conor Grady,sa3017534,676444.0,2021,5,2,4.0499998595497875,16,15,0,0,0,73.1,307,66,38,33,9,19,4,5,0,99,12.149999578649362,2.331818100952908,5.21052632,1.104545416240851,0.32247557,0.06188925,0.26058632,0.23239437,1.1590908688947203,0.32386364,0.66753927,3.476298372568177,0.5737014869816104
Zane Mills,WSU,20.0,Zane Mills,sa3017535,677312.0,2021,5,5,4.14522808454116,13,13,1,0,0,80.1,361,86,50,37,4,22,9,3,1,83,9.298754892349088,2.464730212429879,3.77272727,0.4481327658963416,0.2299169,0.06094183,0.16897507,0.26060606,1.3443982976890247,0.33744856,0.60143627,3.48593152030884,0.6592965642323203
Carlos Tavera,UTA,22.0,Carlos Tavera,sa3017536,679857.0,2021,3,4,3.036144578313253,15,14,0,0,0,83.0,330,51,29,28,6,33,5,6,0,117,12.686746987951809,3.5783132530120483,3.54545455,0.6506024096385542,0.35454545,0.1,0.25454545,0.17465753,1.0120481927710845,0.26627219,0.74441687,3.2361454745373095,-0.2000008962240564
Wyatt Olds,OU,21.0,Wyatt Olds,sa3017539,681544.0,2021,4,6,5.233480352106988,19,11,0,0,1,75.2,342,66,52,44,12,37,13,12,0,101,12.013216262791042,4.400881205180877,2.72972973,1.427312823301906,0.29532164,0.10818713,0.1871345,0.2260274,1.3612335259268178,0.30167598,0.64516129,5.062200869319072,0.1712794827879165
