name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Brandon Deskins,RICE,,Brandon Deskins,sa3030199,,2021,3,4,3.881250092536213,17,7,0,0,1,53.1,233,42,27,23,6,29,6,6,0,73,12.318750293701894,4.893750116676095,2.51724138,1.0125000241398816,0.31330472,0.12446352,0.1888412,0.21212121,1.3312500317394742,0.30252101,0.72886297,4.807627026885749,-0.9263769343495358
Liam Devine,SBU,,Liam Devine,sa3030228,,2021,2,3,7.411764705882353,7,6,0,0,0,34.0,178,44,37,28,3,26,5,3,0,27,7.147058823529412,6.882352941176471,1.03846154,0.7941176470588235,0.15168539,0.14606742,0.00561798,0.29931973,2.0588235294117645,0.35042735,0.53672316,6.574294477350572,0.8374702285317817
Ryan Devine,JOES,,Ryan Devine,sa3030229,,2021,2,3,8.35051579231639,11,8,0,0,0,32.1,168,51,35,30,4,11,10,3,0,20,5.567010528210926,3.0618557905160095,1.81818182,1.1134021056421852,0.11904762,0.06547619,0.05357143,0.34693878,1.9175258486059856,0.38211382,0.55722892,6.599764550379634,1.750751241936756
Nathan Diamond,PEPP,20.0,Nathan Diamond,sa3030248,,2021,3,4,4.764706015999345,13,5,0,0,2,45.1,210,55,26,24,7,15,11,1,0,35,6.948529606665712,2.977941259999591,2.33333333,1.3897059213331424,0.16666667,0.07142857,0.0952381,0.29891304,1.5441176903701583,0.33802817,0.77247191,5.974223332792832,-1.2095173167934865
Chris DiFiore,BUCK,20.0,Chris DiFiore,sa3030312,,2021,5,3,3.506493593352023,10,8,2,0,0,51.1,229,57,28,20,1,18,4,1,0,46,8.064935264709653,3.1558442340168207,2.55555556,0.1753246796676011,0.20087336,0.07860262,0.12227074,0.27536232,1.4610389972300095,0.35,0.65721649,4.055665231599517,-0.5491716382474938
Jack DiLauro,HC,20.0,Jack DiLauro,sa3030322,,2021,1,2,4.887930873741581,7,7,1,1,0,38.2,169,37,24,21,3,14,3,4,0,39,9.077585908377223,3.258620582494388,2.78571429,0.6982758391059403,0.23076923,0.08284024,0.14792899,0.24342105,1.318965473866776,0.30909091,0.60240964,4.619256808499803,0.268674065241778
Jake Dixon,FRES,,Jake Dixon,sa3030386,,2021,6,3,5.805000221443184,15,15,0,0,0,66.2,316,83,51,43,8,28,6,2,0,50,6.750000257492076,3.780000144195562,1.78571429,1.080000041198732,0.15822785,0.08860759,0.06962025,0.29432624,1.665000063514712,0.33482143,0.62381853,6.096593955612185,-0.2915937341690009
Frank Doelling,RID,,Frank Doelling,sa3030412,,2021,5,3,3.296511701018571,10,10,4,1,0,57.1,252,46,25,21,3,29,6,4,0,56,8.790697869382855,4.552325682358979,1.93103448,0.4709302430026529,0.22222222,0.11507937,0.10714286,0.21198157,1.3081395638962583,0.2721519,0.72916667,4.936606344137404,-1.6400946431188332
Cameron Doherty,EIU,,Cameron Doherty,sa3030415,,2021,3,2,3.449339322979606,15,8,0,0,4,75.2,312,76,36,29,9,14,2,1,0,71,8.444934204536278,1.6651982938522236,5.07142857,1.0704846174764295,0.2275641,0.04487179,0.18269231,0.25675676,1.1894273527515882,0.31018519,0.70528967,4.339237080089712,-0.8898977571101065
Mike Doherty,NU,,Mike Doherty,sa3030416,,2021,1,4,3.694736916285805,11,11,0,0,0,63.1,269,64,31,26,3,15,7,5,1,32,4.547368512351759,2.131578990164887,2.13333333,0.4263157980329774,0.11895911,0.05576208,0.06319703,0.25910931,1.2473684460964896,0.28773585,0.67237164,4.458494856932157,-0.7637579406463528
Nicholas Dombkowski,HART,22.0,Nicholas Dombkowski,sa3030429,,2021,4,3,3.1325967511044657,10,10,1,1,0,60.1,256,42,27,21,5,27,9,3,0,72,10.740331718072452,4.02762439427717,2.66666667,0.7458563693105871,0.28125,0.10546875,0.17578125,0.19090909,1.1436464329429,0.25874126,0.71830986,4.40236461556499,-1.269767864460524
Colin Donnelly,QUIN,,Colin Donnelly,sa3030460,,2021,1,4,7.826086956521739,11,0,0,0,0,23.0,115,28,21,20,2,13,3,5,0,20,7.826086956521739,5.086956521739131,1.53846154,0.782608695652174,0.17391304,0.11304348,0.06086957,0.28282828,1.7826086956521738,0.33766234,0.55825243,5.856727666440218,1.969359290081521
Javin Drake,INST,,Javin Drake,sa3030554,,2021,2,4,5.843283415743603,13,9,0,0,0,44.2,207,53,33,29,9,19,2,0,0,44,8.865671389404087,3.8283580999699462,2.31578947,1.8134327841962905,0.21256039,0.09178744,0.12077295,0.28494624,1.6119402526189248,0.33082707,0.66775244,5.803764525180036,0.039518890563567
Matt Draper,UML,,Matt Draper,sa3030558,,2021,0,4,6.294478674917365,16,8,0,0,2,54.1,257,65,45,38,5,23,14,6,0,43,7.122699553195966,3.809816040081563,1.86956522,0.8282208782786007,0.16731518,0.08949416,0.07782101,0.29545455,1.6196319397448191,0.34883721,0.6,5.578143378566479,0.716335296350886
Matthew Dubois,SPU,,Matthew Dubois,sa3030591,,2021,1,4,8.689655172413794,7,4,0,0,0,29.0,143,43,30,28,4,11,2,1,0,30,9.310344827586206,3.413793103448276,2.72727273,1.2413793103448276,0.20979021,0.07692308,0.13286713,0.33076923,1.862068965517241,0.40625,0.51587302,5.447432314116379,3.2422228582974144
Collin Duffley,UML,,Collin Duffley,sa3030621,,2021,3,8,5.454545454545454,13,12,2,1,0,66.0,289,65,51,40,5,30,13,12,0,51,6.954545454545454,4.090909090909091,1.7,0.6818181818181818,0.17647059,0.10380623,0.07266436,0.26422764,1.4393939393939394,0.31578947,0.56435644,5.315641015948671,0.138904438596783
Greg Duncan,RAD,,Greg Duncan,sa3030652,,2021,6,3,4.384615384615385,13,13,1,0,0,78.0,355,95,49,38,4,26,9,12,0,64,7.384615384615385,3.0,2.46153846,0.4615384615384615,0.18028169,0.07323944,0.10704225,0.296875,1.551282051282051,0.36111111,0.6511254,4.501847152220897,-0.1172317676055119
Nick Durgin,STET,20.0,Nick Durgin,sa3030690,,2021,6,2,2.6129032258064515,11,10,1,1,0,62.0,254,46,19,18,5,17,6,2,0,67,9.725806451612904,2.467741935483871,3.94117647,0.7258064516129032,0.26377953,0.06692913,0.19685039,0.1991342,1.0161290322580645,0.25786164,0.80645161,4.150823783874512,-1.5379205580680604
Chris Durham,MEM,,Chris Durham,sa3030692,,2021,3,7,6.829411611458013,14,12,1,0,0,56.2,265,77,47,43,13,17,9,5,2,49,7.782352766545178,2.699999939413633,2.88235294,2.06470583602219,0.18490566,0.06415094,0.12075472,0.32217573,1.658823492188768,0.36158192,0.66037736,6.406683167190289,0.4227284442677232
Kevin Eaise,PENN,,Kevin Eaise,sa3030730,,2021,2,0,2.423076923076923,5,3,0,0,0,26.0,104,17,7,7,2,10,3,4,0,26,9.0,3.4615384615384617,2.6,0.6923076923076923,0.25,0.09615385,0.15384615,0.18681319,1.0384615384615383,0.23809524,0.84558824,5.567567539215089,-3.144490616138166
Reece Early,NAVY,,Reece Early,sa3030738,,2021,1,2,7.875,10,7,0,0,0,32.0,162,45,30,28,2,17,7,6,0,17,4.78125,4.78125,1.0,0.5625,0.10493827,0.10493827,0.0,0.32608696,1.9375,0.36134454,0.58912387,6.308911991119385,1.566088008880615
Nick Eaton,BUT,,Nick Eaton,sa3030753,,2021,2,2,3.4838710749186568,13,4,1,0,1,41.1,174,36,18,16,4,14,2,2,0,47,10.233871282573554,3.0483871905538247,3.35714286,0.8709677687296642,0.27011494,0.08045977,0.18965517,0.2278481,1.209677456568978,0.29906542,0.73275862,3.8267382143439415,-0.3428671394252847
Liam Eddy,WICH,,Liam Eddy,sa3030778,,2021,5,8,6.141631102390243,15,15,0,0,0,77.2,350,92,59,53,5,22,10,4,0,76,8.806867241163369,2.549356306652554,3.45454545,0.5793991606028531,0.21714286,0.06285714,0.15428572,0.28930818,1.467811206860561,0.36708861,0.55555556,3.8931512936073873,2.248479808782856
Brian Edgington,ELON,22.0,Brian Edgington,sa3030787,,2021,4,3,4.075471844780107,16,13,1,1,2,70.2,306,76,41,32,8,16,4,5,0,66,8.40566067985897,2.0377359223900533,4.125,1.0188679611950269,0.21568627,0.05228758,0.16339869,0.26573427,1.3018868393047562,0.32075472,0.64858491,4.245525918018781,-0.1700540732386741
Jaret Edwards,GW,23.0,Jaret Edwards,sa3030811,,2021,5,4,2.9277109106525954,16,7,3,1,0,55.1,241,47,28,18,2,24,4,3,0,32,5.204819396715725,3.903614547536794,1.33333333,0.3253012122947328,0.13278008,0.09958506,0.03319502,0.22065728,1.2831325596070016,0.25139665,0.65096953,5.11150215060051,-2.1837912399479142
Jacob Edwards,UNCA,20.0,Jacob Edwards,sa3030812,,2021,4,6,5.641791044776119,19,14,1,0,0,67.0,307,82,49,42,9,25,10,7,0,59,7.925373134328358,3.3582089552238807,2.36,1.208955223880597,0.19218241,0.08143322,0.11074919,0.30147059,1.5970149253731345,0.35784314,0.651341,5.682291086396175,-0.0405000416200556
Mike Edwards,MILW,22.0,Mike Edwards,sa3030820,,2021,2,8,6.861878597657401,14,14,2,0,0,60.1,280,87,57,46,7,18,11,11,0,40,5.966850954484697,2.685082929518113,2.22222222,1.0441989170348218,0.14285714,0.06428571,0.07857143,0.34661355,1.7403315283913698,0.39215686,0.55555556,6.262637692642411,0.59924090501499
Riley Egloff,UNM,,Riley Egloff,sa3030838,,2021,1,2,9.0,15,2,0,0,0,34.0,167,58,35,34,5,10,2,1,0,31,8.205882352941176,2.6470588235294117,3.1,1.3235294117647058,0.18562874,0.05988024,0.1257485,0.37419355,2.0,0.44537815,0.55555556,5.653652718487908,3.3463472815120916
Connor Eisenmann,ALB,,Connor Eisenmann,sa3030855,,2021,2,5,5.949152734696751,12,5,0,0,1,39.1,192,38,28,26,2,28,8,4,0,45,10.296610502359762,6.406779868134963,1.60714286,0.4576271334382116,0.234375,0.14583333,0.08854167,0.24358974,1.6779661559401091,0.33027523,0.64606742,5.04034572596935,0.9088070087274014
Eli Ellington,APP,,Eli Ellington,sa3030880,,2021,3,0,3.496402973652654,26,0,0,0,5,46.1,190,30,18,18,4,17,4,7,0,52,10.100719701663222,3.302158364005284,3.05882353,0.7769784385894786,0.27368421,0.08947368,0.18421053,0.17751479,1.0143885170473748,0.2300885,0.72687225,3.979579649380748,-0.4831766757280942
Adam Elliott,LOU,23.0,Adam Elliott,sa3030881,,2021,5,2,4.841379437713082,20,2,0,0,4,48.1,204,37,28,26,10,18,5,2,0,49,9.124138171074655,3.3517242261090567,2.72222222,1.8620690145050316,0.24019608,0.08823529,0.15196078,0.20441989,1.1379310644197416,0.22131148,0.69565217,5.7295899579187655,-0.8882105202056838
Jonathan Ellison,MCN,,Jonathan Ellison,sa3030899,,2021,5,3,2.986725562889789,15,14,0,0,0,75.1,319,58,30,25,5,37,2,4,0,60,7.168141350935493,4.420353833076888,1.62162162,0.5973451125779579,0.18808777,0.11598746,0.07210031,0.20714286,1.2610619043312443,0.24651163,0.74444444,4.692437647152493,-1.7057120842627045
Haden Erbe,UNO,,Haden Erbe,sa3030970,,2021,1,5,6.7985613376579375,14,8,0,0,0,46.1,232,53,42,35,1,27,13,10,0,52,10.100719701663222,5.24460446047898,1.92592593,0.1942446096473696,0.22413793,0.11637931,0.10775862,0.27604167,1.7266187524210634,0.37410072,0.55676856,4.495328123131054,2.303233214526884
David Erickson,LIB,,David Erickson,sa3030981,,2021,8,1,2.0769230215186534,25,0,0,0,1,47.2,200,25,11,11,1,31,5,5,0,52,9.818181556269998,5.853146697007114,1.67741935,0.188811183774423,0.26,0.155,0.105,0.15243902,1.1748251434852988,0.21621622,0.83892617,4.507467131003978,-2.430544109485324
Freddie Erlandson,SCU,,Freddie Erlandson,sa3030986,,2021,1,7,3.2215908392648083,16,13,0,0,0,58.2,252,51,26,21,6,22,5,2,0,46,7.05681802886577,3.3749999268488464,2.09090909,0.9204545255042308,0.18253968,0.08730159,0.0952381,0.22666667,1.2443181548483122,0.26011561,0.74712644,4.932445171918752,-1.7108543326539434
Trevor Ernt,SJSU,20.0,Trevor Ernt,sa3030991,,2021,1,5,8.150943689560213,9,6,0,0,0,35.1,170,50,39,32,10,17,0,3,0,30,7.6415097089627,4.3301888350788635,1.76470588,2.5471699029875667,0.17647059,0.1,0.07647059,0.32679739,1.8962264833351885,0.3539823,0.52830189,7.931122320086224,0.2198213694739887
Brett Erwin,UCD,,Brett Erwin,sa3030998,,2021,1,4,5.06249989027327,12,11,0,0,0,58.2,266,64,37,33,5,28,7,11,0,37,5.676136240609424,4.295454452353077,1.32142857,0.7670454379201924,0.13909774,0.10526316,0.03383459,0.27705628,1.5681817841923933,0.31216931,0.67391304,5.674802111791186,-0.6123022215179157
Isaac Esqueda,USC,,Isaac Esqueda,sa3031031,,2021,6,3,3.413793103448276,15,14,0,0,0,87.0,374,79,37,33,7,32,5,15,0,73,7.551724137931035,3.310344827586207,2.28125,0.7241379310344828,0.19518717,0.0855615,0.10962567,0.23442136,1.2758620689655171,0.28015564,0.74387947,4.39102046133458,-0.9772273578863038
Anthony Ethington,BELL,,Anthony Ethington,sa3031049,,2021,2,6,5.0718233113119915,27,2,0,0,4,60.1,269,57,39,34,9,30,5,10,0,50,7.45856369310587,4.475138215863522,1.66666667,1.3425414647590566,0.18587361,0.11152416,0.07434944,0.24358974,1.4419889806671349,0.27428571,0.6675063,6.172923274005437,-1.1010999626934457
Brooks Ey,FOR,19.0,Brooks Ey,sa3031103,,2021,0,4,4.987261267674471,12,7,0,0,0,52.1,226,53,34,29,5,23,6,0,0,40,6.878981058861339,3.95541410884527,1.73913043,0.8598726323576674,0.17699115,0.10176991,0.07522124,0.26903553,1.452229334648505,0.31578947,0.64,5.655973042064016,-0.6687117743895445
Mark Faello,HOF,20.0,Mark Faello,sa3031116,,2021,2,1,6.210000236892709,8,4,0,0,1,33.1,155,35,25,23,2,19,3,5,0,29,7.830000298690807,5.130000195693977,1.52631579,0.540000020599366,0.18709677,0.12258065,0.06451613,0.26315789,1.620000061798098,0.32352941,0.5904059,4.812695751953127,1.397304484939582
Stevan Fairburn Jr.,AFA,,Stevan Fairburn Jr.,sa3031127,,2021,5,5,6.750000139941343,15,15,0,0,0,61.1,290,79,54,46,14,23,10,5,0,44,6.456521872987372,3.3750000699706715,1.91304348,2.0543478686778,0.15172414,0.07931034,0.07241379,0.307393,1.6630435127391714,0.32663317,0.62770563,7.653333090631634,-0.9033329506902908
Josh Farmer,MER,,Josh Farmer,sa3031157,,2021,4,1,5.134969445327324,25,5,0,0,0,54.1,244,68,32,31,7,15,4,2,0,38,6.294478674917365,2.4846626348358023,2.53333333,1.159509229590041,0.1557377,0.06147541,0.0942623,0.30222222,1.5276073977138636,0.33888889,0.71243523,5.599201447543125,-0.4642320022158008
Noah Farmer,SIU,,Noah Farmer,sa3031159,,2021,6,4,2.984924508677554,20,8,1,1,1,66.1,284,68,29,22,3,26,5,3,0,43,5.834170630597038,3.527638055709837,1.65384615,0.4070351602742119,0.15140845,0.0915493,0.05985916,0.2687747,1.4170853728065156,0.31400966,0.73839662,4.4375304013748815,-1.452605892697327
Daniel Federman,MIA,,Daniel Federman,sa3031208,,2021,4,4,4.079136802594762,21,5,0,0,1,46.1,199,47,26,21,7,9,7,3,1,39,7.575539776247417,1.748201486826327,4.33333333,1.3597122675315876,0.1959799,0.04522613,0.15075377,0.2568306,1.2086331266947443,0.2919708,0.69548872,4.956481529250846,-0.8773447266560837
Davis Feldman,EMU,,Davis Feldman,sa3031223,,2021,4,5,2.7457627118644066,12,10,0,0,1,59.0,251,59,25,18,2,19,4,0,0,58,8.847457627118644,2.8983050847457625,3.05263158,0.3050847457627119,0.2310757,0.07569721,0.15537849,0.25877193,1.3220338983050848,0.33928571,0.71969697,3.851144060037904,-1.1053813481734975
Alexander Fenton,DAV,21.0,Alexander Fenton,sa3031241,,2021,2,8,7.350785193502512,12,12,1,0,0,63.2,309,93,57,52,3,20,9,3,0,53,7.492146447223714,2.8272250744240432,2.65,0.4240837611636064,0.17152104,0.06472492,0.10679612,0.33214286,1.774869074499538,0.40178571,0.55178268,4.594312949672197,2.756472243830314
Jose Fernandez,ALCN,,Jose Fernandez,sa3031260,,2021,1,7,2.3478261356317716,10,9,2,0,1,61.1,260,50,30,16,0,21,8,5,0,55,8.070652341234215,3.0815218030167,2.61904762,0.0,0.21153846,0.08076923,0.13076923,0.21645022,1.157608719651776,0.28409091,0.62025316,4.9711324614027275,-2.623306325770956
Ben Ferrer,UPST,,Ben Ferrer,sa3031272,,2021,4,2,4.090909090909091,8,7,1,0,0,44.0,186,47,21,20,9,9,5,2,0,38,7.772727272727272,1.8409090909090908,4.22222222,1.8409090909090908,0.20430108,0.0483871,0.15591398,0.27325581,1.2727272727272727,0.304,0.82644628,6.016415916789662,-1.9255068258805712
Anthony Fett,AKR,,Anthony Fett,sa3031290,,2021,1,5,5.170212765957447,9,8,1,0,0,47.0,217,56,33,27,4,26,1,5,0,32,6.127659574468085,4.9787234042553195,1.23076923,0.7659574468085106,0.14746544,0.11981567,0.02764977,0.29473684,1.74468085106383,0.33766234,0.64599483,5.675161369810713,-0.5049486038532658
Colin Fields,VAL,,Colin Fields,sa3031302,,2021,2,7,6.711864406779661,13,13,1,1,0,59.0,288,62,49,44,5,43,5,5,1,81,12.35593220338983,6.559322033898305,1.88372093,0.7627118644067796,0.28125,0.14930556,0.13194445,0.25833333,1.7796610169491525,0.37012987,0.59223301,4.540673260769601,2.1711911460100595
Jose Figueroa,AAMU,,Jose Figueroa,sa3031317,,2021,4,4,7.171874786261475,10,8,1,0,0,42.2,219,61,45,34,4,26,3,10,0,56,11.812499647960076,5.484374836552893,2.15384615,0.8437499748542913,0.25570776,0.11872146,0.1369863,0.32105263,2.039062439231204,0.43846154,0.53317536,5.978944950317965,1.1929298359435103
Jonathan Fincher,LT,22.0,Jonathan Fincher,sa3031332,,2021,8,3,3.0498338097395834,17,16,3,2,0,100.1,402,80,36,34,6,23,8,3,0,85,7.6245845243489585,2.063122871294424,3.69565217,0.5382059664246324,0.21144279,0.05721393,0.15422886,0.21563342,1.026578047069206,0.26428571,0.73099415,4.123843787501471,-1.0740099777618877
Mark Finkelnburg,SLU,,Mark Finkelnburg,sa3031343,,2021,0,8,4.526946004377673,12,11,1,0,0,55.2,251,59,40,28,5,22,5,5,0,50,8.083832150674416,3.556886146296743,2.27272727,0.8083832150674417,0.19920319,0.0876494,0.11155379,0.26339286,1.455089787121395,0.31952663,0.58227848,5.106524116805133,-0.5795781124274599
Ryan Fischer,NJIT,20.0,Ryan Fischer,sa3031369,,2021,5,3,2.644898041546819,14,14,0,0,0,81.2,348,72,30,24,4,15,17,5,0,53,5.840816508415892,1.6530612759667618,3.53333333,0.4408163402578031,0.15229885,0.04310345,0.1091954,0.2278481,1.0653061556230243,0.26254826,0.75203252,4.435987352310048,-1.7910893107632289
Ty Fisher,TNTC,20.0,Ty Fisher,sa3031391,,2021,6,4,4.2631578947368425,14,12,2,1,0,76.0,331,79,48,36,4,15,7,2,1,60,7.105263157894737,1.7763157894736843,4.0,0.4736842105263157,0.18126888,0.04531722,0.13595166,0.25566343,1.236842105263158,0.30612245,0.55555556,4.008956522690623,0.2542013720462197
Lane Flamm,XAV,,Lane Flamm,sa3031427,,2021,4,5,4.408163093716248,12,12,1,0,0,65.1,303,70,45,32,6,28,10,8,0,67,9.229591477468396,3.857142707001717,2.39285714,0.8265305800717965,0.22112211,0.09240924,0.12871287,0.26415094,1.4999999416117789,0.33333333,0.63253012,4.5693319870401865,-0.1611688933239383
Alex Flood,PRES,,Alex Flood,sa3031456,,2021,1,2,5.949152734696751,15,6,0,0,0,39.1,178,41,26,26,6,19,6,1,0,41,9.381356235483338,4.347457767663011,2.15789474,1.372881400314635,0.23033708,0.10674157,0.12359551,0.26797386,1.525423778127372,0.33018868,0.69444444,5.935137084543416,0.0140156501533352
Nathan Florence,HART,,Nathan Florence,sa3031469,,2021,3,3,4.764705882352941,9,9,3,1,0,51.0,230,52,31,27,3,28,3,3,0,64,11.294117647058824,4.9411764705882355,2.28571429,0.5294117647058824,0.27826087,0.12173913,0.15652174,0.26130653,1.568627450980392,0.37121212,0.65989848,4.000132994558297,0.7645728877946443
Collin Floyd,YSU,,Collin Floyd,sa3031484,,2021,9,4,2.5756578300963495,15,15,6,3,0,101.1,405,75,33,29,4,23,5,5,0,108,9.592105022427784,2.042763106628139,4.69565217,0.3552631489788068,0.26666667,0.05679012,0.20987654,0.19893899,0.967105238886752,0.26792453,0.71868583,3.84885460174645,-1.2731967716501011
Chandler Fochs,WIU,21.0,Chandler Fochs,sa3031500,,2021,2,6,6.581250156909231,10,10,1,1,0,53.1,254,71,50,39,5,15,6,5,0,29,4.893750116676095,2.5312500603497043,1.93333333,0.8437500201165681,0.11417323,0.05905512,0.05511811,0.30472103,1.6125000384449968,0.33165829,0.49411765,5.426089508831502,1.1551606480777288
Sam Folks,UTM,24.0,Sam Folks,sa3031514,,2021,3,6,5.237068793294552,16,13,0,0,0,77.1,339,81,51,45,6,21,14,5,0,77,8.961206601859566,2.4439654368707906,3.66666667,0.6982758391059403,0.22713864,0.0619469,0.16519174,0.26644737,1.318965473866776,0.33936652,0.60408922,4.410272299832312,0.8267964934622398
Kasey Ford,KSU,23.0,Kasey Ford,sa3031545,,2021,4,2,4.072625611531655,17,8,0,0,0,59.2,261,50,31,27,3,33,6,7,0,50,7.541899280614175,4.977653525205356,1.51515152,0.4525139568368505,0.19157088,0.12643678,0.0651341,0.22522523,1.391061422868837,0.27810651,0.68396226,4.626298949949223,-0.5536733384175676
Brandon Fox,CCSU,,Brandon Fox,sa3031603,,2021,5,6,4.517928424179516,14,14,0,0,0,83.2,355,94,46,42,9,19,3,5,1,58,6.239044014343141,2.0438247633193045,3.05263158,0.968127519467039,0.16338028,0.05352113,0.10985916,0.28228228,1.3505976506145112,0.31954887,0.67698259,4.962636036156182,-0.444707611976666
Kelyn Fox,FAMU,,Kelyn Fox,sa3031607,,2021,7,2,4.289719473233821,13,10,2,0,0,71.1,321,80,44,34,5,28,7,3,0,48,6.056074550447748,3.5327101544278525,1.71428571,0.6308410990049736,0.14953271,0.08722741,0.0623053,0.27972028,1.514018637611937,0.32188841,0.65740741,5.747870697043476,-1.4581512238096552
Dimitri Frank,SOU,,Dimitri Frank,sa3031646,,2021,4,1,3.642857142857143,19,0,0,0,2,42.0,177,44,24,17,5,11,1,4,0,50,10.714285714285714,2.357142857142857,4.54545455,1.0714285714285714,0.28248588,0.06214689,0.22033898,0.26666667,1.3095238095238095,0.35454545,0.65306122,5.36994199298677,-1.7270848501296272
Will Frank,CAN,23.0,Will Frank,sa3031656,,2021,2,4,4.7943923524378,9,8,2,1,0,35.2,163,38,21,19,6,13,8,7,0,30,7.570093188059684,3.2803737148258634,2.30769231,1.514018637611937,0.18404908,0.0797546,0.10429448,0.26760563,1.4299064910779404,0.30188679,0.75098814,6.649494753292906,-1.855102400855106
Tyler Frazier,UCR,22.0,Tyler Frazier,sa3031667,,2021,2,5,8.100000237684991,9,9,0,0,0,43.1,216,62,43,39,5,15,6,4,0,23,4.776923217096276,3.1153847068019194,1.53333333,1.0384615689339731,0.10648148,0.06944444,0.03703704,0.31794872,1.7769231290647984,0.34131737,0.52631579,5.930746258730015,2.169253978954976
William Freeman,ALA,,William Freeman,sa3031696,,2021,2,1,2.223529361870051,24,4,0,0,1,56.2,222,43,17,14,5,11,2,7,0,39,6.19411750806657,1.7470587843264684,3.54545455,0.7941176292393038,0.17567568,0.04954955,0.12612613,0.20574163,0.9529411550871646,0.23030303,0.79591837,4.08729365385115,-1.863764291981099
Zach Frey,INST,,Zach Frey,sa3031719,,2021,1,1,4.751999854980474,14,5,1,0,0,41.2,173,46,24,22,9,7,2,1,0,41,8.855999729736336,1.5119999538574234,5.85714286,1.94399994067383,0.23699422,0.04046243,0.19653179,0.2804878,1.2719999611816415,0.3245614,0.73113208,5.232063045867921,-0.4800631908874475
Michael Frias,UCI,,Michael Frias,sa3031721,,2021,9,2,3.3618678040817738,17,14,2,2,0,85.2,355,65,34,32,3,24,9,10,0,91,9.560311567857545,2.5214008530613303,3.79166667,0.3151751066326663,0.25633803,0.06760563,0.1887324,0.20186335,1.0389105366780482,0.27192982,0.68230277,3.524819818604505,-0.1629520145227307
Andrew Fron,CAN,,Andrew Fron,sa3031738,,2021,1,3,6.029126436886331,8,7,0,0,0,34.1,156,37,24,23,2,16,4,8,0,25,6.553398300963404,4.194174912616578,1.5625,0.5242718640770723,0.16025641,0.1025641,0.05769231,0.27205882,1.5436893775602685,0.32110092,0.60885609,5.427010525029145,0.6021159118571866
Aaron Funk,LR,22.0,Aaron Funk,sa3031780,,2021,2,6,4.54090893343461,15,15,0,0,0,73.1,318,69,45,37,6,31,2,5,0,83,10.18636328311007,3.804545322607376,2.67741935,0.7363636108272341,0.26100629,0.09748428,0.16352201,0.24210526,1.3636363163467298,0.32142857,0.60897436,3.8921695657209914,0.6487393677136191
John Gaddis,AMCC,22.0,John Gaddis,sa3031810,,2021,5,3,2.25,13,10,4,2,0,64.0,256,42,19,16,6,18,4,5,0,72,10.125,2.53125,4.0,0.84375,0.28125,0.0703125,0.2109375,0.17948718,0.9375,0.23076923,0.80935252,3.869428825378418,-1.619428825378418
Garrett Gainous,TROY,19.0,Garrett Gainous,sa3031828,,2021,9,5,4.662650602409639,15,15,0,0,0,83.0,363,77,49,43,10,36,9,4,0,83,9.0,3.9036144578313254,2.30555556,1.0843373493975903,0.22865014,0.09917355,0.12947658,0.24213836,1.3614457831325302,0.29777778,0.67592593,4.934940655260201,-0.272290052850562
Ray Gaither,DBU,,Ray Gaither,sa3031832,,2021,3,3,5.363013558504979,16,7,0,0,1,48.2,230,53,33,29,2,30,8,5,0,48,8.876712096835826,5.547945060522391,1.6,0.3698630040348261,0.20869565,0.13043478,0.07826087,0.27604167,1.7054794074939204,0.35915493,0.65759637,4.6481726566965405,0.7148409018084383
Nikelle Galatas,JKST,22.0,Nikelle Galatas,sa3031838,,2021,9,2,3.1153847068019194,15,12,4,1,1,86.2,365,65,38,30,6,34,9,0,0,89,9.242307963512362,3.5307693343755084,2.61764706,0.6230769413603838,0.24383562,0.09315068,0.15068493,0.20186335,1.1423077258273704,0.25991189,0.70281124,5.6807478636115265,-2.565363156809607
Jimmy Galicia,LMU,,Jimmy Galicia,sa3031843,,2021,2,8,6.7046978149235406,18,9,0,0,0,49.2,233,69,43,37,1,14,4,3,0,34,6.161073667767578,2.536912686727826,2.42857143,0.1812080490519876,0.14592275,0.06008584,0.08583691,0.32093023,1.6711408968127743,0.37777778,0.51401869,3.770265514454022,2.9344323004695188
Ronaldo Gallo,FGCU,20.0,Ronaldo Gallo,sa3031873,,2021,1,2,7.620967976384562,13,10,0,0,0,41.1,217,60,42,35,7,22,6,8,0,28,6.096774381107649,4.7903227280131535,1.27272727,1.5241935952769123,0.12903226,0.10138249,0.02764977,0.31746032,1.983871028773124,0.34415584,0.58823529,7.02985613050868,0.591111845875882
Danny Garcia,STET,21.0,Danny Garcia,sa3031923,,2021,3,2,4.118644200943905,20,2,0,0,7,39.1,172,39,19,18,5,10,6,2,0,35,8.008474835168704,2.2881356671910584,3.5,1.1440678335955292,0.20348837,0.05813953,0.14534884,0.25,1.245762752137354,0.29310345,0.75,5.244044158199129,-1.1253999572552242
Sam Gardner,MUR,,Sam Gardner,sa3031968,,2021,5,6,5.5048545728092595,15,13,2,1,0,68.2,297,75,47,42,11,26,3,4,0,74,9.699029485425838,3.40776711650097,2.84615385,1.4417476262119489,0.24915825,0.08754209,0.16161616,0.27985075,1.4708738408828972,0.34972678,0.64334086,5.229447113673194,0.2754074591360655
