Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Mason Caperton","NMSU",,0.1,0,80.99999758601196,0,0,0,0.42857143,-0.42857143,0.75,17.99999946355821,0.75,0,161.99999517202392,31.282873493433023,130.7171216785909,"Mason Caperton","sa3028386",
"Alex Forry","EMU",,0.1,0,107.99999678134928,0,0,0,0.57142857,-0.57142857,0.66666667,17.99999946355821,0.66666667,0,161.99999517202392,40.20707519054416,121.79291998147976,"Alex Forry","sa3031556",
"Cole Hooper","APP",,0.2,13.49999959766866,26.99999919533732,0.5,13.49999959766866,0.07692308,0.15384615,-0.07692308,0.8,14.999999552965177,0.875,0,148.49999557435527,33.742168676853204,114.75782689750207,"Cole Hooper","sa3034062",
"Max Kendall","UVU",,0.1,0,53.99999839067464,0,0,0,0.25,-0.25,0.66666667,17.99999946355821,0.66666667,0.16666667,134.9999959766866,22.282873761653914,112.71712221503267,"Max Kendall","sa3035248",
"Jack Moffitt","GONZ",,0.1,0,53.99999839067464,0,0,0,0.33333333,-0.33333333,0.75,14.999999552965177,0.75,0.2,107.99999678134928,21.790399205684675,86.2095975756646,"Jack Moffitt","sa3038212",
"Lane Harris","HOF",,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.2,0.6,-0.4,0.5,11.999999642372142,1,0,107.99999678134928,24.79269508719446,83.20730169415482,"Lane Harris","sa3033291",
"Eddie Shores","DAV",,0.2,13.49999959766866,94.49999718368062,0.14285714,13.49999959766866,0.08333333,0.58333333,-0.5,0.6,14.999999552965177,0.66666667,0,134.9999959766866,52.28017539978032,82.71982057690627,"Eddie Shores","sa3042213",
"Brett Bateman","MINN",19,0.1,26.99999919533732,107.99999678134928,0.25,0,0.2,0.8,-0.6,0,11.999999642372142,0,0,107.99999678134928,33.81112552881243,74.18887125253684,"Brett Bateman","sa3022603",703520
"Joe Preciado","QUIN",,1,18,0,2,9,0.125,0,0.125,0.75,9,0.88888889,0.17241379,99,25.378466796875,73.621533203125,"Joe Preciado","sa3040178",
"Mitch Megias","ND",,0.1,0,26.99999919533732,0,0,0,0.2,-0.2,0.75,11.999999642372142,0.75,0,80.99999758601196,12.63993446230889,68.36006312370307,"Mitch Megias","sa3037794",
"Brandon Andrews","JVST",22,0.1,0,26.99999919533732,0,0,0,0.25,-0.25,0.66666667,8.999999731779106,0.66666667,0,80.99999758601196,13.035272043943412,67.96472554206855,"Brandon Andrews","sa3026079",
"Cam Tringali","SC",,0.1,26.99999919533732,0,1,0,0.25,0,0.25,0.5,2.9999999105930355,1,0,80.99999758601196,15.628469777107249,65.37152780890472,"Cam Tringali","sa3044061",
"David Senn","MOST",,0.1,26.99999919533732,53.99999839067464,0.5,0,0.2,0.4,-0.2,0.66666667,11.999999642372142,1,0.25,80.99999758601196,15.744062733650217,65.25593485236175,"David Senn","sa3041991",
"Timmy Watkins","SAM",,0.1,26.99999919533732,26.99999919533732,1,0,0.125,0.125,0,0.66666667,14.999999552965177,0.8,0.16666667,80.99999758601196,16.274047684669505,64.72594990134246,"Timmy Watkins","sa3044850",
"Eric Ma","UNCO",22,0.2,13.49999959766866,26.99999919533732,0.5,13.49999959766866,0.1,0.2,-0.1,0.75,11.999999642372142,0.83333333,0.15151515,94.49999718368062,29.782873538136503,64.71712364554412,"Eric Ma","sa3036764",
"Quinn Mason","NEB",,0.1,0,53.99999839067464,0,0,0,0.4,-0.4,0.66666667,11.999999642372142,0.66666667,0.25,80.99999758601196,21.81112588644029,59.18887169957166,"Quinn Mason","sa3037255",
"Matt Wiggins","NIA",,0.2,0,13.49999959766866,0,0,0,0.125,-0.125,0.71428571,8.999999731779106,0.71428571,0.16666667,67.4999979883433,8.878466662764552,58.621531325578744,"Matt Wiggins","sa3045183",
"Will Gross","ARST",,1.1,6.74999979883433,60.74999818950897,0.11111111,0,0.05555556,0.5,-0.44444445,0.55555556,10.499999687075624,0.625,0.14285714,80.99999758601196,22.492169012129324,58.507828573882634,"Will Gross","sa3032778",
