Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"David White","GAST",20,0.1,0,26.99999919533732,0,26.99999919533732,0,0.11111111,-0.11111111,0.875,23.999999284744284,0.85714286,0,215.99999356269856,51.93965930938725,164.0603342533113,"David White","sa3045109",
"Ryan Jacobs","TAR",,0.1,0,53.99999839067464,0,0,0,0.28571429,-0.28571429,0.8,17.99999946355821,0.8,0,161.99999517202392,22.60938133001329,139.39061384201062,"Ryan Jacobs","sa3034535",
"Toren Herrick","DAV",22,0.1,26.99999919533732,161.99999517202392,0.16666667,0,0.07692308,0.46153846,-0.38461539,0.75,26.99999919533732,1,0.33333333,215.99999356269856,79.33512626290329,136.66486729979528,"Toren Herrick","sa3033709",
"Thomas Pinto","SHU",,0.1,0,0,0,0,0,0,0,0.83333333,14.999999552965177,0.83333333,0.2,107.99999678134928,4.3797609329223635,103.62023584842692,"Thomas Pinto","sa3039949",
"Jacob Hartlaub","BALL",19,0.2,26.99999919533732,53.99999839067464,0.5,0,0.2,0.4,-0.2,0.66666667,11.999999642372142,1,0.125,94.49999718368062,16.72285587787629,77.77714130580432,"Jacob Hartlaub","sa3033345",826935
"Sam Duncan","BRWN",,0.1,0,80.99999758601196,0,0,0,0.6,-0.6,0.5,11.999999642372142,0.5,0,107.99999678134928,31.491320949792886,76.50867583155639,"Sam Duncan","sa3030655",
"Jason Diaz","SJU",21,0.2,26.99999919533732,94.49999718368062,0.28571429,0,0.16666667,0.58333333,-0.41666667,0.5,13.49999959766866,1,0.2,107.99999678134928,34.18246961832049,73.81752716302879,"Jason Diaz","sa3030263",
"Jordan Little","ECU",19,0.1,0,26.99999919533732,0,0,0,0.25,-0.25,0.66666667,8.999999731779106,0.66666667,0,80.99999758601196,12.992393416166312,68.00760416984565,"Jordan Little","sa3036399",804111
"Joel Tornero","UCSD",,0.1,26.99999919533732,26.99999919533732,1,0,0.16666667,0.16666667,0,0.75,11.999999642372142,1,0.4,80.99999758601196,16.05356295108796,64.946434634924,"Joel Tornero","sa3043945",
"Austin Wallace","WICH",,0.2,13.49999959766866,53.99999839067464,0.25,0,0.1,0.4,-0.3,0.66666667,11.999999642372142,0.8,0.25,80.99999758601196,18.992393237352385,62.00760434865957,"Austin Wallace","sa3044695",
"Andres Galan","CAL",18,0.1,0,134.9999959766866,0,0,0,0.71428571,-0.71428571,1,20.999999374151248,1,0.42857143,107.99999678134928,48.978590291738556,59.021406489610726,"Andres Galan","sa3031833",800883
