rank,name,position,school,age,bats,throws,current_level
1,Grady Emerson,SS,Fort Worth Christian (TX),18,L,R,
2,Roch Cholowsky,SS,UCLA,21,R,R,ROK
3,Vahn Lackey,C,Georgia Tech,21,R,R,
4,Jackson Flora,RHP,UC Santa Barbara,21,R,R,
5,Jacob Lombard,SS,Gulliver Prep (FL),18,R,R,
6,Eric Booth Jr.,OF,Oak Grove (MS),18,L,L,
7,Drew Burress,OF,Georgia Tech,21,R,R,
8,Gio Rojas,LHP,Stoneman Douglas (FL),19,R,L,
9,Justin Lebron,SS,Alabama,21,R,R,
10,Tyler Bell,SS,Kentucky,21,S,R,
11,Ryder Helfrick,C,Arkansas,21,R,R,
12,Derek Curiel,OF,Louisiana State,21,L,L,
13,Trevor Condon,OF,Etowah (GA),18,L,R,
14,Chris Hacopian,2B,Texas A&M,21,R,R,
15,Cameron Flukey,RHP,Coastal Carolina,21,R,R,
16,Jared Grindlinger,LHP/OF,Huntington Beach (CA),17,L,L,
17,Hunter Dietz,LHP,Arkansas,21,R,L,ROK
18,Ace Reese,3B,Mississippi State,21,L,R,
19,AJ Gracia,OF,Virginia,21,L,L,ROK
20,Liam Peterson,RHP,Florida,21,R,R,
21,Bo Lowrance,3B,Christ Church Episcopal (SC),18,L,R,
22,Sawyer Strosnider,OF,Texas Christian,21,L,L,
23,Brody Bumila,LHP,Bishop Feehan (MA),18,L,L,
24,Carson Bolemon,LHP,Southside Christian (SC),19,R,L,
25,Tegan Kuhns,RHP,Tennessee,21,S,R,
26,Cole Carlon,LHP,Arizona State,21,L,L,
27,Cole Prosek,3B/C,Magnolia Heights (MS),19,L,R,ROK
28,Daniel Jackson,C,Georgia,21,R,R,
29,Aiden Robbins,OF,Texas,21,R,R,
30,Zion Rose,OF,Louisville,21,R,R,
31,Logan Reddemann,RHP,UCLA,21,S,R,
32,Aiden Ruiz,SS,The Stony Brook (NY),19,S,S,
33,Caden Sorrell,OF,Texas A&M,21,L,L,
