rank,name,position,school,age,bats,throws,current_level
120,Blaine Bullard,OF,Klein Cain (TX),19,S,L,A
121,Malachi Witherspoon,RHP,Oklahoma,21,R,R,A
122,Pico Kohn,LHP,Mississippi State,23,L,L,A+
123,Aidan West,SS,Long Reach (MD),19,L,R,ROK
124,Tanner Franklin,RHP,Tennessee,21,R,R,A+
125,Landon Schaefer,SS/3B,Arkansas,19,R,R,
126,Nolan Schubart,OF/1B,Oklahoma State,22,L,R,A+
127,JT Quinn,RHP,Georgia,22,R,R,A+
128,Sam Horn,RHP,Missouri,22,R,R,ROK
129,Brandon Shannon,RHP,Louisville,19,R,R,
130,Jayden Stroman,RHP,Virginia,19,S,R,
131,Micah Bucknam,RHP,Dallas Baptist,22,R,R,ROK
132,Omar Serna Jr.,C,Louisiana State,19,R,R,
133,Cooper Underwood,LHP,Georgia Tech,19,R,L,
134,John Paone,RHP,Virginia,19,R,R,
135,Mason Pike,SS/RHP,Oregon State,19,S,R,
136,Matt Barr,RHP,SUNY NIagara CC,20,R,R,A
137,Tre Phelps,OF/1B,Georgia,21,R,R,
138,Cameron Millar,RHP,Alhambra (CA),19,R,R,ROK
139,Riley Kelly,RHP,UC Irvine,22,R,R,A
140,Gustavo Melendez,SS,La Merced (PR),18,L,R,ROK
141,Murf Gray,3B,Fresno State,22,R,R,A
142,Colby Shelton,SS,Florida,23,L,R,A+
143,Mason White,SS,Arizona,22,L,R,A+
144,Jack Gurevitch,1B,San Diego,22,L,R,A+
145,Trent Caraway,3B,Louisiana State,22,R,R,
146,Ryan Wideman,OF,Western Kentucky,22,R,R,A
147,Gabe Davis,RHP,Oklahoma State,22,R,R,A+
148,Nate Snead,RHP,Tennessee,22,R,R,A+
149,Caden Hunter,LHP,Southern California,22,R,L,A
150,Ethin Bingaman,RHP/OF,Auburn,19,R,R,
151,Tanner Thach,1B,UNC Wilmington,22,L,L,A
152,Angel Laya,OF,Oregon,19,L,R,
153,Ty Harvey,C,Inspiration Academy (FL),19,R,R,A
154,Matt Scott,RHP,Georgia,22,R,R,
155,Joshua Jannicelli,RHP,Cardinal Newman (CA),19,R,R,
156,Reagan Ricken,RHP,Louisiana State,19,R,R,
157,Marcelo Harsch,RHP,Wake Forest,18,R,R,
158,Drew Faurot,2B,Florida State,22,S,R,A+
159,Ethan Hedges,3B,Southern California,22,R,R,A+
160,Tim Piasentin,3B,Foothills Composite (AB),19,L,R,ROK
161,Aaron Walton,OF,Arizona,21,R,R,A+
162,Paxton Kling,OF,Penn State,22,R,R,A+
163,Will Hynes,RHP,Lorne Park (ON),18,R,R,ROK
164,Landon Hodge,C,Crespi Carmelite (CA),19,L,R,ROK
165,Brock Ketelsen,OF/LHP,Stanford,18,L,L,
166,Noah Yoder,RHP,Virginia,19,R,R,
167,Myles Upchurch,RHP,St. Albans (DC),19,R,R,
168,Xavier Mitchell,LHP,Prestonwood Christian (TX),19,L,L,ROK
169,Griffin Hugus,RHP,Miami,22,L,R,ROK
170,Grant Jay,C/OF,Dallas Baptist,22,R,R,A
171,Anthony Martinez,1B,UC Irvine,22,L,R,A
172,Antonio Jimenez,SS,Central Florida,21,R,R,A+
173,Jacob Morrison,RHP,Coastal Carolina,22,R,R,A
174,Zane Taylor,RHP,UNC Wilmington,23,R,R,A+
175,James Quinn-Irons,OF,George Mason,22,R,R,ROK
176,Rylan Galvan,C,Texas,22,R,R,A
177,Brent Iredale,3B,Arkansas,22,R,R,ROK
178,CJ Gray,RHP,Brown (NC),19,R,R,ROK
179,John Stuetzer,OF/SS,Florida State,19,R,R,
180,Jacob McCombs,OF,UC Irvine,21,L,R,A+
181,Trey Morris,LHP,Oregon State,19,L,L,
182,Nelson Keljo,LHP,Oregon State,22,L,L,A
183,Lorenzo Meola,SS/2B,Stetson,22,R,R,A
184,Aidan Teel,OF,Mississippi State,21,L,R,
185,Brooks Bryan,C,Troy,21,L,R,A
186,Damian Bravo,OF,Texas Tech,22,R,R,A
187,Cody Bowker,RHP,Vanderbilt,22,R,R,A
188,Bobby Boser,3B/2B/SS,Florida,23,R,R,AA
189,Jake Clemente,RHP,Florida,22,R,R,A
190,Grayson Grinsell,LHP,Oregon,22,L,L,A
191,Jason Reitz,RHP,Oregon,21,R,R,A
192,Ethan Grim,RHP,Virginia Tech,18,R,R,
193,Chris Arroyo,1B/OF,Virginia,21,L,L,A
194,Cam Maldonado,OF,Northeastern,22,R,R,A
195,Nic Partridge,3B,Florida,19,L,R,
196,Antoine Jean,LHP,Houston,24,R,L,A+
197,Kyle McCoy,LHP,Maryland,22,L,L,A
198,Jack Anker,RHP,Fresno State,22,R,R,A
199,Brody Irlbeck,LHP,Iowa,19,L,L,
200,Michael Winter,RHP,Texas,18,R,R,
201,Peter Kussow,RHP,Arrowhead Union (WI),19,R,R,ROK
202,Dylan Dubovik,OF/3B,Miami,19,R,R,
203,Gabe Graulau,OF,South Florida,19,R,R,
204,Remo Indomenico,OF,Oklahoma State,18,L,L,
205,Ben Abeldt,LHP,Texas Christian,22,R,L,ROK
206,Trace Phillips,RHP,Middle Tennessee State,21,R,R,A
207,Cade Crossland,LHP,Oklahoma,22,R,L,A
208,Landon Beidelschies,LHP,Arkansas,22,L,L,A
209,Dominick Reid,RHP,Abilene Christian,22,R,R,A
210,Michael Salina,RHP,St. Bonaventure,22,R,R,ROK
211,Payton Graham,RHP,Gonzaga,22,R,R,ROK
212,Alan Soler,LHP,Central Florida,19,S,L,
213,Justice de Jong,RHP,Auburn,18,R,R,
214,Isaiah Jackson,OF,Arizona State,21,L,R,A+
215,Sean Episcope,RHP,Princeton,22,R,R,ROK
216,Joey Volini,LHP,Florida State,23,L,L,A+
217,Mason Ligenza,OF,Pittsburgh,19,L,L,
218,Diego Velazquez,SS,Crespi Carmelite (CA),18,L,R,
219,Michael Oliveto,C,Hauppauge (NY),19,L,R,A
220,Camden Lohman,RHP,Fort Zumwalt North (MO),19,R,R,ROK
221,Conor Essenburg,OF,Lincoln-Way West (IL),19,R,L,A
222,Carson Brumbaugh,SS,Arkansas,19,R,R,
223,Maximus Martin,SS/OF,Kansas State,22,R,R,A+
224,Matt Klein,C,Louisville,22,L,R,A
225,Sawyer Hawks,RHP,Vanderbilt,22,R,R,A+
