rank,name,position,school,age,bats,throws,current_level
1,Paul Skenes,RHP,Louisiana State,23,R,R,MLB
2,Dylan Crews,OF,Louisiana State,24,R,R,AAA
3,Wyatt Langford,OF,Florida,24,R,R,MLB
4,Walker Jenkins,OF,South Brunswick (NC),21,L,R,AAA
5,Max Clark,OF,Franklin (IN),21,L,L,AAA
6,Rhett Lowder,RHP,Wake Forest,24,R,R,MLB
7,Kyle Teel,C,Virginia,24,L,R,MLB
8,Noble Meyer,RHP,Jesuit (OR),21,R,R,A+
9,Chase Dollander,RHP,Tennessee,24,R,R,MLB
10,Jacob Wilson,SS,Grand Canyon,24,R,R,MLB
11,Arjun Nimmala,SS,Strawberry Crest (FL),20,R,R,AA
12,Colin Houck,SS/3B,Parkview (GA),21,R,R,A+
13,Aidan Miller,SS,Mitchell (FL),21,R,R,AAA
14,Blake Mitchell,C,Sinton (TX),21,L,R,A+
15,Brayden Taylor,INF,Texas Christian,23,L,R,AA
16,Matt Shaw,INF,Maryland,24,R,R,MLB
17,Tommy Troy,2B/OF,Stanford,24,R,R,AAA
18,Jacob Gonzalez,INF,Mississippi,23,L,R,AAA
19,Hurston Waldrep,RHP,Florida,24,R,R,MLB
20,Yohandy Morales,1B/3B,Miami,24,R,R,AAA
21,Enrique Bradfield Jr.,OF,Vanderbilt,24,L,L,AAA
22,Chase Davis,OF,Arizona,24,L,L,AA
23,Bryce Eldridge,1B,Madison (VA),21,L,R,MLB
24,Thomas White,LHP,Phillips Academy (MA),21,L,L,AAA
25,Brock Wilken,3B,Wake Forest,23,R,R,AAA
26,Nolan Schanuel,1B,Florida Atlantic,24,L,R,MLB
27,Dillon Head,OF,Homewood-Flossmoor (IL),21,L,L,A+
28,Charlee Soto,RHP,Reborn Christian (FL),20,S,R,A+
29,Colt Emerson,SS,Glenn (OH),20,L,R,AAA
30,Walker Martin,SS/3B,Eaton (CO),22,L,R,A+
31,George Lombard Jr.,INF,Gulliver Prep (FL),20,R,R,AAA
32,Sammy Stafura,SS,Panas (NY),21,R,R,A+
33,Kevin McGonigle,SS,Monsignor Bonner (PA),21,L,R,MLB
34,Ralphy Velazquez,1B/OF,Huntington Beach (CA),20,L,R,AA
35,Jake Gelof,3B,Virginia,24,R,R,AA
36,Jack Hurley,OF,Virginia Tech,24,L,R,AAA
37,Joe Whitman,LHP,Kent State,24,L,L,AA
