rank,name,position,school,age,bats,throws,current_level
1,Marcelo Mayer,INF,Eastlake (CA),23,L,R,MLB
2,Jack Leiter,RHP,Vanderbilt,26,R,R,MLB
3,Jordan Lawlar,INF,Jesuit Prep (TX),23,R,R,MLB
4,Kahlil Watson,OF,Wake Forest (NC),23,L,R,AAA
5,Henry Davis,C,Louisville,26,R,R,MLB
6,Kumar Rocker,RHP,Vanderbilt,26,R,R,MLB
7,Jackson Jobe,RHP,Heritage Hall (OK),23,R,R,MLB
8,Brady House,3B,Winder-Barrow (GA),22,R,R,MLB
9,Ty Madden,RHP,Texas,26,R,R,MLB
10,Colton Cowser,OF,Sam Houston,26,L,R,MLB
11,Sal Frelick,OF,Boston College,26,L,R,MLB
12,Matt McLain,SS/2B,UCLA,26,R,R,MLB
13,Harry Ford,C,North Cobb (GA),23,R,R,AAA
14,Sam Bachman,RHP,Miami (OH),26,R,R,MLB
15,Benny Montgomery,OF,Red Land (PA),23,R,R,AA
16,Jordan Wicks,LHP,Kansas State,26,L,L,AAA
17,Anthony Solometo,LHP,Bishop Eustace (NJ),23,L,L,AA
18,Andrew Painter,RHP,Calvary Christian (FL),23,R,R,MLB
19,Joe Mack,C,Williamsville East (NY),23,L,R,MLB
20,Will Taylor,OF,Clemson,23,R,R,AA
21,Bubba Chandler,RHP,North Oconee (GA),23,S,R,MLB
22,Gunnar Hoglund,RHP,Mississippi,26,L,R,MLB
23,Jud Fabian,OF,Florida,25,R,L,AAA
24,Joshua Báez,OF,Dexter Southfield (MA),22,R,R,AAA
25,Colson Montgomery,SS/3B,Southridge (IN),24,L,R,MLB
26,Ryan Cusick,RHP,Wake Forest,26,R,R,AAA
27,Chase Petty,RHP,Mainland Regional (NJ),23,R,R,AAA
28,Michael McGreevy,RHP,UC Santa Barbara,25,L,R,MLB
29,Peyton Stovall,2B,Arkansas,23,L,R,A+
30,Izaac Pacheco,3B/1B,Friendswood (TX),23,L,R,AA
31,Gavin Williams,RHP,East Carolina,26,L,R,MLB
32,Will Bednar,RHP,Mississippi State,25,R,R,AA
33,Jay Allen II,OF,John Carroll Catholic (FL),23,R,R,AA
34,Wes Kath,3B,Desert Mountain (AZ),23,L,R,A+
35,Ethan Wilson,OF,South Alabama,26,L,L,AAA
36,Jaden Hill,RHP,Louisiana State,26,R,R,MLB
37,Tyler Whitaker,OF/SS/3B,Bishop Gorman (NV),23,R,R,AA
38,Max Muncy,SS,Thousand Oaks (CA),23,R,R,MLB
39,Frank Mozzicato,LHP,East Catholic (CT),22,L,L,AA
40,Mat Nelson,C,Florida State,27,R,R,AA
41,Carson Williams,SS,Torrey Pines (CA),22,R,R,AAA
42,Adrian Del Castillo,C,Miami,26,L,R,MLB
43,Gage Jump,LHP,Louisiana State,23,L,L,AAA
44,James Wood,OF,IMG Academy (FL),23,L,R,MLB
45,Tommy Mace,RHP,Florida,27,R,R,AAA
46,Ben Kudrna,RHP,Blue Valley Southwest (KS),23,R,R,AAA
47,Chase Burns,RHP,Wake Forest,23,R,R,MLB
48,Josh Hartle,LHP,Wake Forest,23,L,L,AA
49,Maddux Bruns,LHP,UMS-Wright (AL),23,L,L,AA
50,Matt Mikulski,LHP,Fordham,27,L,L,A+
51,Andrew Abbott,LHP,Virginia,26,L,L,MLB
52,Christian Franklin,OF,Arkansas,26,R,R,AAA
53,Jackson Baumeister,RHP,Florida State,23,R,R,AA
54,Spencer Schwellenbach,RHP,Nebraska,25,R,R,MLB
55,Trey Sweeney,SS,Eastern Illinois,26,L,R,MLB
56,Doug Nikhazy,LHP,Mississippi,26,L,L,AAA
