Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ed Jarvis","NE",22,3,2,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,"Ed Jarvis","sa3034597",
"JD Kaiser","GASO",,4,2,2,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0.5,"JD Kaiser","sa3035031",
"Dylan Kerbow","TXST",19,4,2,3,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.5,"Dylan Kerbow","sa3035296",
"Trevor Kilinski","MICH",,7,4,4,2,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0.5,"Trevor Kilinski","sa3035357",
"Kevin Krill","OAK",19,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,"Kevin Krill","sa3035723",
"Tony Lindwedel","ND",20,7,4,5,2,1,1,0,0,3,1,1,1,0,0,0,0,0,0,0.5,"Tony Lindwedel","sa3036357",
"Caleb Lorbecki","MILW",,5,2,5,1,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0.5,"Caleb Lorbecki","sa3036562",
"Wes Lug","OHIO",19,4,8,10,4,3,1,0,0,1,1,0,1,2,0,0,0,0,0,0.5,"Wes Lug","sa3036668",
"Bo Majkowski","LIB",23,2,2,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,"Bo Majkowski","sa3036886",
"Shea McGahan","MIZ",19,6,4,6,2,1,0,0,1,1,4,2,2,0,0,0,0,0,0,0.5,"Shea McGahan","sa3037583",
"Ryan ONeil","SMC",20,5,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,"Ryan ONeil","sa3039167",
"Harry Padden","MONM",,3,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,"Harry Padden","sa3039331",
"Kurt Paldino","CMU",,4,4,4,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0.5,"Kurt Paldino","sa3039359",
"Matt Palomino","CBU",,4,2,2,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0.5,"Matt Palomino","sa3039392",
"Gabriel Perez","FIU",21,3,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,"Gabriel Perez","sa3039712",
"Dom Ramil","MER",20,7,6,6,3,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0.5,"Dom Ramil","sa3040413",
"Brock Rudy","UTAH",20,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,"Brock Rudy","sa3041261",
"Diego Santiago","GWEB",,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,"Diego Santiago","sa3041548",
"Jared Schatz","HCU",,3,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,"Jared Schatz","sa3041673",
"Aidan Smith","UNCW",,2,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,"Aidan Smith","sa3042470",
"Mac Starbuck","CLEM",,11,8,10,4,3,0,1,0,4,2,1,3,1,0,0,0,0,0,0.5,"Mac Starbuck","sa3042960",
"Juju Stevens","MIZ",19,6,12,13,6,6,0,0,0,2,4,1,2,0,0,0,0,1,0,0.5,"Juju Stevens","sa3043076",
"Nate Stone","M-OH",,1,4,4,2,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0.5,"Nate Stone","sa3043176",
"Aaron Thomas","WOF",,10,2,4,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0.5,"Aaron Thomas","sa3043676",
"Avery Williams","CARK",,6,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"Avery Williams","sa3045249",
"Miles Blackwell","COLU",19,12,13,14,6,5,1,0,0,2,1,1,4,0,0,0,0,0,0,0.461538461,"Miles Blackwell","sa3027200",
"Avery Lee","MRSH",,17,11,11,5,5,0,0,0,3,0,0,2,0,0,0,0,0,1,0.454545454,"Avery Lee","sa3036147",
"Wes Toups","NICH",21,8,20,27,9,5,2,1,1,6,9,6,2,1,0,0,0,2,2,0.45,"Wes Toups","sa3043987",
"Jessada Brown","UCSB",19,21,9,12,4,3,1,0,0,8,1,3,2,0,0,0,0,2,1,0.444444444,"Jessada Brown","sa3027847",
"Nathan Carriere","LAM",,7,9,11,4,2,2,0,0,4,1,2,1,0,0,0,0,1,0,0.444444444,"Nathan Carriere","sa3028500",
"Lance Kelly","NEV",,4,9,12,4,2,0,0,2,2,4,3,3,0,0,0,0,0,0,0.444444444,"Lance Kelly","sa3035223",
"Tywone Malone","MISS",,7,9,10,4,2,0,0,2,3,4,1,3,0,0,0,0,0,0,0.444444444,"Tywone Malone","sa3036942",
"Chase DeLauter","JMU",20,24,87,118,38,21,8,1,8,31,35,28,21,2,1,0,2,10,1,0.436781609,"Chase DeLauter","sa3021053",800050
"Chandler Simpson","GT",21,47,203,241,88,76,8,3,1,64,25,31,16,2,3,2,1,27,4,0.433497536,"Chandler Simpson","31912",802415
"Derek Blackmore","UAPB",,6,7,9,3,3,0,0,0,3,2,0,1,1,1,0,0,0,0,0.428571428,"Derek Blackmore","sa3027193",
"Bradley Frye","GT",19,12,14,18,6,6,0,0,0,4,5,3,2,0,0,1,0,0,0,0.428571428,"Bradley Frye","sa3031747",
"Trent Hoogerwerf","JVST",,8,7,8,3,2,1,0,0,2,2,0,2,0,1,0,0,0,0,0.428571428,"Trent Hoogerwerf","sa3034058",
"J.C. Peacher","GASO",,27,7,9,3,2,1,0,0,8,2,2,2,0,0,0,0,0,0,0.428571428,"J.C. Peacher","sa3039594",
"Zackary Turner","PV",,16,21,24,9,9,0,0,0,4,7,2,6,0,1,0,0,0,0,0.428571428,"Zackary Turner","sa3044177",
"Luke Waters","ODU",,17,14,16,6,4,2,0,0,6,4,0,4,1,0,1,0,0,0,0.428571428,"Luke Waters","sa3044841",
"Drew Cowley","ORE",23,40,151,176,64,43,16,2,3,38,29,21,30,4,0,0,3,2,2,0.423841059,"Drew Cowley","sa3029488",
"Jared Weber","FAMU",22,30,104,120,43,28,9,0,6,28,30,13,14,1,1,1,1,1,1,0.413461538,"Jared Weber","sa3044922",
"Matt Pelcher","HOF",19,10,17,22,7,7,0,0,0,6,4,4,0,1,0,0,0,2,0,0.411764705,"Matt Pelcher","sa3039644",
"Sam Kulasingam","AFA",20,61,265,310,109,66,26,5,12,68,64,32,33,10,3,0,3,6,1,0.411320754,"Sam Kulasingam","sa3025316",814528
"Korey Morton","CONN",19,40,124,136,51,33,11,1,6,26,28,7,26,2,0,3,2,9,2,0.411290322,"Korey Morton","sa3038450",
"Brayden Johnson","PV",,47,161,187,66,47,12,2,5,41,33,15,20,8,3,0,5,4,3,0.409937888,"Brayden Johnson","sa3034713",
"John Garcia","GRAM",21,55,193,239,79,49,18,2,10,55,67,26,47,18,2,0,0,4,3,0.409326424,"John Garcia","sa3020419",801039
"Garrett Goetz","SFA",,12,22,25,9,5,2,0,2,6,7,2,5,0,0,1,0,0,0,0.409090909,"Garrett Goetz","sa3032340",
"Trey Paige","DSU",21,46,164,202,67,37,15,2,13,50,46,34,34,2,2,0,3,7,0,0.408536585,"Trey Paige","sa3022440",813852
"Dominic Toso","RICH",,49,218,247,89,58,22,2,7,51,62,16,22,9,4,0,7,0,0,0.40825688,"Dominic Toso","sa3043980",
"Zach Neto","CAM",21,53,199,256,81,41,23,2,15,65,50,39,19,11,6,1,4,19,1,0.407035175,"Zach Neto","31347",687263
"Michael Carico","DAV",19,54,197,272,80,37,21,1,21,71,57,46,35,26,3,0,1,3,0,0.40609137,"Michael Carico","sa3023216",801686
"Guy Lipscomb","BEL",21,57,217,257,88,68,13,3,4,59,42,29,18,7,3,1,4,42,6,0.405529953,"Guy Lipscomb","sa3020764",805865
"Ethan Groff","TULN",,41,151,186,61,35,15,2,9,49,35,24,26,8,2,1,1,7,5,0.403973509,"Ethan Groff","sa3032757",
"Tyler Cox","DART",21,43,184,211,74,62,10,1,1,41,40,17,12,3,4,3,3,11,3,0.402173913,"Tyler Cox","sa3029501",
"Tyler Locklear","VCU",21,62,224,295,90,43,25,2,20,77,78,47,25,23,1,0,2,6,2,0.401785714,"Tyler Locklear","31396",682988
"Riley Bender","ACU",,8,10,10,4,2,2,0,0,2,0,0,5,0,0,0,1,0,0,0.4,"Riley Bender","sa3026944",
"Devin Boone","MRST",,8,5,7,2,0,0,2,0,3,5,0,1,2,0,0,0,0,0,0.4,"Devin Boone","sa3027384",
"Nick Clark","M-OH",,6,5,6,2,1,0,0,1,2,3,1,1,0,0,0,0,1,0,0.4,"Nick Clark","sa3028994",
"Carlos Contreras","SHSU",22,56,230,265,92,54,18,6,14,54,89,27,28,5,3,0,5,2,0,0.4,"Carlos Contreras","sa3029284",
"Garrett French","RUTG",22,23,5,5,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0.4,"Garrett French","sa3031707",
"Jeremy Gaines","TXSO",,49,175,217,70,46,16,3,5,54,45,27,17,11,2,2,2,27,6,0.4,"Jeremy Gaines","sa3031825",
"Nathan Gravitte","KENN",,7,5,6,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0.4,"Nathan Gravitte","sa3032604",
"Taylor Holder","ORE",,6,5,6,2,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0.4,"Taylor Holder","sa3033964",
"Dan Hussey","CCSU",20,2,5,5,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.4,"Dan Hussey","sa3034358",
"Joe Kido","INST",21,22,45,60,18,16,2,0,0,13,5,10,3,2,1,2,1,1,0,0.4,"Joe Kido","sa3035343",
"Trevor Kuncl","GW",,30,5,5,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0.4,"Trevor Kuncl","sa3035781",
"Hunter Lopacki","ALST",,7,5,7,2,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0.4,"Hunter Lopacki","sa3036517",
"Myles Nicholson","UMBC",,1,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4,"Myles Nicholson","sa3038846",
"Chris Pearsons","MASS",,8,10,14,4,3,1,0,0,4,0,2,0,2,0,0,0,0,0,0.4,"Chris Pearsons","sa3039605",
"Kyle Rachels","ETSU",,7,10,11,4,1,1,0,2,3,6,0,0,0,0,1,0,0,0,0.4,"Kyle Rachels","sa3040368",
"Thomas Rollauer","USD",19,7,5,6,2,2,0,0,0,2,0,1,1,0,0,0,0,1,0,0.4,"Thomas Rollauer","sa3041085",
"Mike Sears","INST",,4,10,15,4,1,1,0,2,4,4,2,2,3,0,0,0,0,0,0.4,"Mike Sears","sa3041897",
"Will Trochiano","RAD",,2,5,5,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.4,"Will Trochiano","sa3044071",
"Cameron Yadon","LAM",,7,5,6,2,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0.4,"Cameron Yadon","sa3045664",
"Max Grant","CAN",20,54,226,268,90,60,14,6,10,56,53,30,39,11,1,0,3,7,1,0.398230088,"Max Grant","sa3032583",
"Maui Ahuna","KU",20,53,202,236,80,52,16,4,8,42,48,28,49,5,1,0,4,13,4,0.396039603,"Maui Ahuna","sa3023373",694757
"Hank Zeisler","UNLV",23,57,225,271,89,54,17,4,14,66,73,33,57,12,1,0,2,1,1,0.395555555,"Hank Zeisler","sa3045833",
"David Martin","CBU",21,55,190,237,75,59,10,0,6,57,43,32,22,12,1,2,1,4,1,0.394736842,"David Martin","sa3019824",688808
"Ryan Ignoffo","EIU",21,44,185,204,73,43,16,0,14,39,58,16,22,0,3,0,3,7,0,0.394594594,"Ryan Ignoffo","sa3022573",813883
"Hunter Prescher","SFA",21,23,28,35,11,9,1,0,1,5,7,6,8,0,1,0,2,0,1,0.392857142,"Hunter Prescher","sa3040182",
"Jackson Feltner","MORE",20,54,214,253,84,50,17,1,16,56,51,26,42,11,2,0,8,1,2,0.392523364,"Jackson Feltner","sa3022568",801822
"Alejandro Figueredo","FGCU",,58,232,275,91,56,21,1,13,49,62,36,36,4,3,0,5,0,0,0.392241379,"Alejandro Figueredo","sa3031312",
"Connor OBrien","BRAD",22,48,189,217,74,50,14,0,10,44,44,22,48,3,3,0,3,3,5,0.391534391,"Connor OBrien","sa3039001",
"Josh Hatcher","KENN",23,64,279,312,109,65,26,3,15,66,59,24,39,8,1,0,1,11,3,0.390681003,"Josh Hatcher","sa3020115",677049
"Sam Ruta","ARMY",20,52,187,229,73,47,15,4,7,43,36,38,44,2,2,0,0,6,1,0.390374331,"Sam Ruta","sa3041351",
"Nick Cimillo","RUTG",22,53,200,249,78,44,18,0,16,67,52,39,36,7,3,0,3,1,0,0.39,"Nick Cimillo","sa3020129",701177
"Jon Ponder","GAST",,23,18,22,7,6,0,1,0,6,2,2,7,0,0,2,1,2,0,0.388888888,"Jon Ponder","sa3040066",
"Ty Hill","JKST",,56,206,263,80,53,20,4,3,60,41,31,32,17,3,6,3,6,4,0.388349514,"Ty Hill","sa3033836",
"Cole Carrigg","SDSU",20,54,214,235,83,64,15,1,3,34,40,12,28,3,1,5,2,19,8,0.387850467,"Cole Carrigg","sa3022596",694249
"Ivan Melendez","TEX",22,67,248,315,96,44,18,2,32,75,94,52,51,12,3,0,6,1,0,0.387096774,"Ivan Melendez","sa3019859",699471
"Isaac Coffey","ORU",22,30,31,33,12,9,2,1,0,6,3,1,10,0,0,1,0,0,0,0.387096774,"Isaac Coffey","sa3020222",806190
"Alan Roden","CREI",22,49,194,242,75,44,25,2,4,48,46,29,8,15,4,0,4,9,5,0.386597938,"Alan Roden","31564",702176
"Chad Castillo","CBU",22,56,233,267,90,55,23,1,11,54,69,19,56,8,5,2,2,13,4,0.386266094,"Chad Castillo","sa3019916",674913
"David McCabe","CLT",22,42,153,195,59,30,13,0,16,47,52,40,28,1,1,0,4,4,0,0.385620915,"David McCabe","sa3019964",678173
"Manny Garza","RICE",19,22,65,74,25,17,5,1,2,13,9,5,7,2,1,1,1,0,0,0.384615384,"Manny Garza","sa3032023",
"Camden Janik","ILL",19,13,13,16,5,3,0,0,2,4,3,3,1,0,0,0,0,0,0,0.384615384,"Camden Janik","sa3034572",812518
"Luke Roggenburk","SBU",,22,13,13,5,4,0,0,1,1,1,0,4,0,0,0,0,0,0,0.384615384,"Luke Roggenburk","sa3041064",
"Chris Seng","LOU",23,34,13,22,5,2,3,0,0,15,3,5,2,4,0,0,0,5,2,0.384615384,"Chris Seng","sa3041988",
"Tyler Woodward","UMES",,3,13,13,5,3,1,0,1,1,5,0,5,0,0,0,0,0,0,0.384615384,"Tyler Woodward","sa3045568",
"Kyler McIntosh","ALST",19,41,99,111,38,24,9,2,3,20,22,6,17,3,1,2,0,3,0,0.383838383,"Kyler McIntosh","sa3037640",
"Nick Rodriguez","CHSO",19,34,73,95,28,22,5,0,1,17,18,16,11,1,2,3,0,4,0,0.383561643,"Nick Rodriguez","sa3041005",823795
"Matt Woods","BRY",22,53,219,253,84,52,17,7,8,43,45,21,43,10,1,2,4,9,4,0.383561643,"Matt Woods","sa3045562",
"Sonny DiChiara","AUB",22,61,206,286,79,42,15,0,22,59,59,68,55,10,2,0,5,0,0,0.383495145,"Sonny DiChiara","sa3019866",800685
"Brett Callahan","JOES",20,51,206,247,79,56,12,3,8,58,34,30,37,10,1,0,0,23,4,0.383495145,"Brett Callahan","sa3022927",814430
"Miles Simington","USA",,52,214,252,82,57,15,3,7,45,53,20,21,12,6,0,7,5,3,0.38317757,"Miles Simington","sa3042307",
"Easton Bertrand","MINN",,14,47,55,18,11,3,0,4,12,9,2,15,4,1,1,0,5,1,0.382978723,"Easton Bertrand","sa3027080",
"Wyatt Henseler","PENN",20,48,188,232,72,41,17,0,14,57,53,23,39,18,3,0,3,0,0,0.382978723,"Wyatt Henseler","sa3033639",814809
"Rylan Charles","UNLV",20,57,259,303,99,75,16,2,6,62,46,26,31,11,5,2,3,7,2,0.382239382,"Rylan Charles","sa3028771",
"Canyon McWilliams","LR",,51,191,220,73,47,14,2,10,33,50,18,29,7,4,0,3,5,2,0.382198952,"Canyon McWilliams","sa3037757",
"Austin Schell","CSUF",,43,131,154,50,33,14,0,3,16,26,15,18,4,2,2,4,1,0,0.381679389,"Austin Schell","sa3041685",
"Jake Evans","BING",,41,139,159,53,49,3,1,0,28,22,18,20,0,0,2,1,1,1,0.381294964,"Jake Evans","sa3031073",
"Andrew Jenkins","GT",21,60,252,293,96,56,22,1,17,71,70,21,64,12,8,0,5,5,1,0.38095238,"Andrew Jenkins","sa3019979",687543
"Darrien Chapman","MVSU",,24,63,81,24,17,2,0,5,18,19,11,15,0,1,6,0,8,1,0.38095238,"Darrien Chapman","sa3028752",
"Zach Morgan","FRES",22,55,218,253,83,54,20,1,8,47,41,25,17,6,2,2,6,2,1,0.380733944,"Zach Morgan","sa3019968",681439
"Jack Moss","TA&M",20,64,271,309,103,78,18,1,6,50,49,28,47,4,6,0,5,8,1,0.3800738,"Jack Moss","sa3022598",694380
"Jared Dickey","TENN",20,40,100,126,38,22,8,1,7,29,19,20,12,2,2,2,1,3,1,0.38,"Jared Dickey","sa3022688",801406
"David Bermudez","MAN",22,50,208,243,79,47,18,0,14,52,52,22,21,8,5,0,0,7,2,0.379807692,"David Bermudez","sa3027049",
"Tommy Hawke","WAKE",19,58,187,236,71,60,8,1,2,52,20,43,38,3,0,3,1,8,3,0.379679144,"Tommy Hawke","sa3023055",803142
"Colin Kasperbauer","OHIO",22,50,187,226,71,45,19,4,3,50,48,20,32,14,5,0,3,4,1,0.379679144,"Colin Kasperbauer","sa3035100",
"Lawson Hill","WOF",,59,224,266,85,64,18,1,2,50,39,30,13,4,3,5,6,12,3,0.379464285,"Lawson Hill","sa3033825",
"Juan Colato","GCU",,55,219,242,83,56,16,3,8,49,51,13,25,5,5,0,0,6,4,0.378995433,"Juan Colato","sa3029127",
"Matthew Wood","PSU",21,54,198,249,75,45,15,3,12,55,53,36,26,7,5,3,6,5,3,0.378787878,"Matthew Wood","sa3019924",687783
"Brian Ellis","FGCU",,58,235,295,89,58,25,0,6,74,44,40,43,20,0,0,3,1,3,0.378723404,"Brian Ellis","sa3030893",
"Luke Harper","UNA",,51,177,230,67,49,16,1,1,45,22,46,25,3,1,3,0,15,5,0.378531073,"Luke Harper","sa3033246",
"Devin Burkes","UK",20,20,37,52,14,7,4,0,3,13,10,11,9,2,0,2,0,2,1,0.378378378,"Devin Burkes","sa3028059",
"Dalton Shuffield","TXST",23,61,238,273,90,52,20,5,13,78,48,28,32,2,2,3,5,16,3,0.37815126,"Dalton Shuffield","sa3020270",684922
"Payton Harden","MCN",21,55,225,260,85,65,14,4,2,49,40,27,54,3,4,1,0,26,7,0.377777777,"Payton Harden","sa3033201",
"Dawson Martin","NEV",22,22,45,60,17,11,5,0,1,11,13,10,11,4,1,0,3,0,0,0.377777777,"Dawson Martin","sa3037149",
"Robert Hamchuk","SJSU",,56,249,277,94,65,17,2,10,56,39,22,47,5,1,0,3,2,4,0.37751004,"Robert Hamchuk","sa3033070",
"Jake Gelof","UVA",20,58,212,262,80,42,15,2,21,65,81,41,49,4,5,0,1,3,0,0.37735849,"Jake Gelof","sa3022600",695372
"Peyton Parker","SFA",21,43,114,128,43,34,8,0,1,21,15,6,13,7,1,0,1,3,1,0.377192982,"Peyton Parker","sa3039466",
"Brandon Pimentel","RGV",,58,236,260,89,58,17,2,12,54,47,16,34,6,2,0,5,2,2,0.377118644,"Brandon Pimentel","sa3039930",
"Mario Camilletti","CMU",23,62,229,302,86,58,20,1,7,74,51,54,26,9,7,3,2,4,0,0.375545851,"Mario Camilletti","sa3020192",680519
"Matt Coutney","ODU",22,58,229,275,86,41,18,0,27,66,70,38,54,6,2,0,4,3,1,0.375545851,"Matt Coutney","sa3020413",671925
"Jack Hurley","VT",20,58,232,271,87,49,23,1,14,59,55,32,51,3,3,1,2,10,2,0.375,"Jack Hurley","sa3022564",694815
"Aaron Parker","UCSB",19,11,8,8,3,2,0,1,0,1,1,0,5,0,0,0,0,0,0,0.375,"Aaron Parker","sa3025152",801590
"Bennett Thompson","ORE",19,18,32,37,12,10,1,0,1,8,6,5,4,0,0,0,1,1,0,0.375,"Bennett Thompson","sa3025451",701750
"Jack Ellis","CAM",,7,8,10,3,2,0,0,1,3,2,1,4,1,0,0,0,0,0,0.375,"Jack Ellis","sa3030897",
"Brady Gumpf","ND",20,8,8,9,3,0,2,0,1,3,5,1,1,0,0,0,0,0,0,0.375,"Brady Gumpf","sa3032849",
"Gunnar Johnson","WOF",19,35,40,48,15,10,5,0,0,6,11,5,9,1,2,0,1,1,0,0.375,"Gunnar Johnson","sa3034753",
"Avery Spencer","RAD",,20,72,84,27,22,4,1,0,9,9,6,12,3,1,2,0,3,2,0.375,"Avery Spencer","sa3042822",
"Carson Roccaforte","UL",20,58,219,256,82,52,11,3,16,52,68,26,34,3,7,1,1,25,7,0.374429223,"Carson Roccaforte","sa3022825",811287
"Cameron Jones","GAST",21,54,211,237,79,60,14,0,5,40,31,15,31,6,1,4,4,12,6,0.374407582,"Cameron Jones","sa3034855",
"Brendan Hueth","JOES",,53,214,242,80,48,24,3,5,43,54,27,25,0,1,0,3,13,4,0.373831775,"Brendan Hueth","sa3034241",
