Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jared Lyons","GMU",21,18,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,"Jared Lyons","sa3020483",805723
"Garrison Bennett","MIZ",,3,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,"Garrison Bennett","sa3026969",
"Billy Butler","URI",22,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,"Billy Butler","sa3028156",
"Nick DeNicola","HOU",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Nick DeNicola","sa3030144",
"Andres Galan","CAL",18,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"Andres Galan","sa3031833",800883
"Albert Hernandez","USF",,4,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Albert Hernandez","sa3033667",
"Connor Larson","WOF",,12,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,"Connor Larson","sa3035998",
"Joshua Larzabal","PV",,19,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,"Joshua Larzabal","sa3036012",
"Angel Maldonado","MVSU",,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Angel Maldonado","sa3036899",
"Noah Matousek","TOL",22,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,"Noah Matousek","sa3037310",
"Pete Panko","YSU",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pete Panko","sa3039404",
"Kyle Pruhsmeier","FRES",,26,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kyle Pruhsmeier","sa3040254",
"Hunter Rivera","UMBC",,4,2,2,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,"Hunter Rivera","sa3040824",
"Garrett Saylor","ECU",,39,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Garrett Saylor","sa3041629",
"Sean Springer","CIN",21,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sean Springer","sa3042875",
"Ethan Suh","PEPP",,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"Ethan Suh","sa3043301",
"Justin Thorsteinson","ORST",20,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Justin Thorsteinson","sa3043804",
"Joe Vogatsky","JMU",20,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Joe Vogatsky","sa3044544",815143
"Pirmin Brechbuhl","WAKE",,3,3,3,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666666,"Pirmin Brechbuhl","sa3027633",
"Michael Brueser","ASU",,4,3,5,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0.666666666,"Michael Brueser","sa3027894",
"Addie Burrow","UVA",,5,3,3,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0.666666666,"Addie Burrow","sa3028106",
"Carson Keithley","TXST",20,18,3,3,2,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0.666666666,"Carson Keithley","sa3035167",
"Ben Petrone","LAF",19,2,6,6,4,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0.666666666,"Ben Petrone","sa3039823",
"Gavin Banks","DSU",,5,5,8,3,2,1,0,0,5,5,2,1,0,1,0,0,0,0,0.6,"Gavin Banks","sa3026514",
"Trevor Rider","MER",,7,5,8,3,2,0,0,1,2,4,2,2,0,1,0,0,0,0,0.6,"Trevor Rider","sa3040730",
"Drew Reynolds","TTU",19,7,7,10,4,3,1,0,0,6,3,3,2,0,0,0,0,0,0,0.571428571,"Drew Reynolds","sa3040655",
"Luke Rohleder","WASH",20,28,7,10,4,4,0,0,0,4,2,2,1,1,0,0,0,5,1,0.571428571,"Luke Rohleder","sa3041067",
"Tyler Davis","FRES",19,13,18,18,10,7,2,0,1,8,6,0,3,0,0,0,0,0,0,0.555555555,"Tyler Davis","sa3029943",
"Ace Whitehead","TEX",20,25,18,21,10,8,2,0,0,8,2,3,5,0,0,0,0,0,1,0.555555555,"Ace Whitehead","sa3045096",
"Brendan Jones","KSU",20,29,8,12,4,4,0,0,0,7,4,3,2,0,1,0,0,2,0,0.5,"Brendan Jones","sa3025253",800957
"Nick Bacura","SCU",,6,6,7,3,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0.5,"Nick Bacura","sa3026372",
"Chase Call","UCI",20,4,6,7,3,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0.5,"Chase Call","sa3028273",813842
"Jack Clarke","FAU",,9,4,5,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0.5,"Jack Clarke","sa3028983",
"Nolan Clegg","OSU",,5,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"Nolan Clegg","sa3029021",
"Preston Dallmeyer","SFA",,6,6,6,3,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0.5,"Preston Dallmeyer","sa3029793",
"Ryan Ellis","SMC",20,5,4,4,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.5,"Ryan Ellis","sa3030905",
"Stephen Espinoza","SJSU",,3,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,"Stephen Espinoza","sa3031026",
"Dennis Gamester","SHU",19,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,"Dennis Gamester","sa3031894",
"Kaleikaumaka Grebin","NORF",,8,2,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.5,"Kaleikaumaka Grebin","sa3032626",
"Mike Handal","FAIR",22,1,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.5,"Mike Handal","sa3033125",
"Bailee Hendon","USA",,8,2,4,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0.5,"Bailee Hendon","sa3033592",
"Al Holguin","UPST",19,25,8,8,4,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0.5,"Al Holguin","sa3033969",
"Mason Hoover","SEA",,21,4,6,2,1,1,0,0,2,3,2,1,0,0,0,0,0,0,0.5,"Mason Hoover","sa3034068",
"Skyler Jaco","SFA",,22,4,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0.5,"Skyler Jaco","sa3034525",
