Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Justin Weiss","LAF",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,0.9883517961162288,0.841036085333224,1.3203320503234863,670.9072582028034,"Justin Weiss","sa3044971",
"Joe Pace","MICH",24,1,0,0,0,1,1,2,3,1,0.14285714,1,0,0.9604852099999741,0.8152047445163086,1.2808269262313843,661.1248159223207,"Joe Pace","sa3039318",
"Tucker Schank","IU",,2,0.5,0,1,1,1,2,3,1,2.64285714,1,-0.001605995581485331,1.4659704410951255,1.1754095101277946,1.0237054824829102,504.5311619200281,"Tucker Schank","sa3041667",
"Owen Christy","IONA",,2,0.5,0,1,1,1,2,3,1,2.64285714,1,-0.0030593080446124077,1.5311684913517338,1.2255109853626591,1.0474877655506134,500.9425456106625,"Owen Christy","sa3028897",
"Chandler Fitzgerald","DSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.003871287452057004,0.7367822764761305,0.5859896330482817,0.9861673712730408,488.606247445132,"Chandler Fitzgerald","sa3031399",
"Zac Corbin","KENN",20,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.001126434886828065,0.671432099845148,0.5321205775997409,0.9604059457778931,481.96451307335,"Zac Corbin","sa3029370",
"Matt Keller","MCN",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.002575200516730547,0.6552108510506922,0.5181277676595026,0.9645448923110962,477.966233937807,"Matt Keller","sa3035190",
"Collin McCarthy","LMU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0002704284561332315,0.6349356501357274,0.5014000116841512,0.9493603110313416,475.48029686919335,"Collin McCarthy","sa3037444",
"Gannon Azios","TAR",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.002763134893029928,0.6925388439185386,0.5460675968415504,0.955234944820404,472.81555782380025,"Gannon Azios","sa3026345",
"Nic Adamo","BUCK",19,2,0,0,0,1,1,1,2,0,2.64285714,1,-0.013351326808333397,1.3767036344831118,1.0820722129171023,0.981754720211029,467.26300513561273,"Nic Adamo","sa3025744",
"Brendan ODonnell","CONN",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.006494362372905016,0.6399932400062086,0.5027186170890333,0.9602388143539429,466.21380296367585,"Brendan ODonnell","sa3039051",
"Pablo Barquero","GAST",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0016068111872300506,0.6485339865460269,0.5081775948777072,0.9358862638473511,462.062310691626,"Pablo Barquero","sa3026618",
"Trey Horton","GAST",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0016068111872300506,0.6485339865460269,0.5081775948777072,0.9358862638473511,462.062310691626,"Trey Horton","sa3034113",
"Luke Sartori","NEB",20,1,0,0,0,1,1,1,2,0,5,1,-0.5170155247906223,0.6604852627379172,0.5152047972542517,0.9417657256126404,454.6277164923997,"Luke Sartori","sa3041580",
"Ethan Hibbard","FAIR",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0030593080446124077,0.6930842496887358,0.5402554966941985,0.9667225480079651,453.5038309927905,"Ethan Hibbard","sa3033757",
"Andrew Russell","YSU",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.00045154590043239295,0.7423636916976257,0.5738994631867691,0.9566274285316467,440.6654743619856,"Andrew Russell","sa3041325",
