Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Avery Thielman","WMU",19,1,0,0,0,1,1,2,3,1,2.64285714,1,0,1.0330748379497585,0.8673859209089335,1.2577790021896362,623.5026798414128,"Avery Thielman","sa3043667",
"Zach Freeman","OSU",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.003079236769663,0.8332008135557043,1.2567657232284546,590.4688881567397,"Zach Freeman","sa3031697",
"Lane Crowden","USI",,4,0.25,0,1,1,1,1.666666666,2.666666666,0.666666666,4.5619652460748235,1,-0.6184366350062191,3.303908428801613,2.66991188253315,1.0529702752828598,521.1240421178236,"Lane Crowden","sa3029608",
"Evan Berta","FAIR",,1,0,0,0,1,1,1,2,0,2.64285714,1,0.00043862470192834735,0.7798941982313274,0.6129269254728436,0.9669789671897888,467.0940510356391,"Evan Berta","sa3027077",
"Dawson Walls","ORU",20,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0008334078011102974,0.7283730313223177,0.5721960470121675,0.9489306211471558,466.37667806150597,"Dawson Walls","sa3044713",
"Brandon Coughlin","LEH",19,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0014365098904818296,0.7284185392632383,0.5708070946707624,0.9581900238990784,462.160943417945,"Brandon Coughlin","sa3029461",
"Azalius Lewis","MVSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.00031345788738690317,0.7845010558802052,0.6105827490526601,0.9792169332504272,451.07445569724007,"Azalius Lewis","sa3036290",
"Jake Dixon","FRES",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0037709379103034735,0.715168999796548,0.5525621048266078,0.9347016215324402,439.81468309124006,"Jake Dixon","sa3030386",
"Seth Garner","MEM",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0024340664967894554,0.7022304092861403,0.5420521353698958,0.9385300278663635,438.40552911272414,"Seth Garner","sa3031986",
"Jack Mosh","MIZ",20,2,0.5,0,1,1,1,2,3,1,2.64285714,1,-0.006234784610569477,1.5189555483165655,1.1528017418685828,1.0036836862564087,414.840845996327,"Jack Mosh","sa3038457",
