Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Armando Sierra","MVSU",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.110073752907192,0.9330658095153922,1.2587299346923828,627.1321679898222,"Armando Sierra","sa3042263",
"Sam Murrison","IU",,2,0,0,0,1,1,4,5,3,0.14285714,0,-0.0024106346536427736,2.1544037151254614,1.8107455360807376,1.3245112001895905,626.9030817523736,"Sam Murrison","sa3038617",
"Mikey Brunetti","BRAD",20,2,0,0,0,1,1,2,3,1,2.64285714,1,0,2.06418897380773,1.7200497256750245,1.231615662574768,599.812135642182,"Mikey Brunetti","sa3027899",
"Kyle Ratliff","SIUE",21,3,0,0.333333333,0,0.666666666,0.666666666,2.666666666,3.333333332,2,0.14285714,0,0,2.924645566375703,2.4105121875123685,1.1641895771026611,568.8495800139682,"Kyle Ratliff","sa3040475",
"Jack VanDoran","LIU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0005307425162754953,0.7636550937447804,0.6012760226283329,0.9720625877380371,470.2915766756282,"Jack VanDoran","sa3044345",
"Nathan Vidmar","DSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0005307425162754953,0.7636550937447804,0.6012760226283329,0.9720625877380371,470.2915766756282,"Nathan Vidmar","sa3044482",
"Jorge Bello","ALST",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.005925500765442848,0.8100737141431149,0.633065770751315,0.9819572567939758,457.64822675220256,"Jorge Bello","sa3026927",
"Quin Bennett","MVSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.005925500765442848,0.8100737141431149,0.633065770751315,0.9819572567939758,457.64822675220256,"Quin Bennett","sa3026979",
"Carson Lydon","BALL",,2,0,0,0,1,1,1,2,0,0.14285714,1,0.002817589556798339,1.5085284520234956,1.1762023974504365,0.9566450715065002,453.9302384706217,"Carson Lydon","sa3036730",
"Luke Pettitte","DBU",19,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.0008015049970708787,0.7138337952349298,0.5529246491644495,0.9472885727882385,443.6253703827756,"Luke Pettitte","sa3039836",
"Nate Lam","NE",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0056070974096655846,0.7254082360813415,0.5549173006365097,0.9534128904342651,425.48199655815256,"Nate Lam","sa3035860",
"Tugg Hollandsworth","ILST",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.004462796729058027,0.7320945111059847,0.5600248870396318,0.9360813498497009,425.4641195843359,"Tugg Hollandsworth","sa3033979",
"Austin Hartsell","BC",21,6,0.166666666,0.166666666,1,0.8,0.833333333,1.8,2.633333333,1,6.306188925081433,1,-0.14632493443787098,4.682239641899974,3.5439217588852956,0.9927263557910919,411.32970954472785,"Austin Hartsell","sa3033354",
"Owen Williams","OHIO",20,2,0,0.5,0,0.5,0.5,2,2.5,1.5,0.14285714,0,0,1.3409716517298877,1.0086455971568287,0.8748177886009216,403.5108392126042,"Owen Williams","sa3045343",
"Brian Daker","GWEB",21,2,0.5,0,1,1,1,1,2,0,0.14285714,1,-0.005179140716791153,1.310573964689453,0.9795829945547178,0.8777207732200623,395.9545978417366,"Brian Daker","sa3029778",
