Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Evan Berta","FAIR",,18,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Evan Berta","sa3027077",
"Ty Burton","RAD",,29,1,3,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,"Ty Burton","sa3028122",
"Brandon Coughlin","LEH",19,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Brandon Coughlin","sa3029461",
"Lane Crowden","USI",,1,3,4,3,2,0,1,0,0,3,1,0,0,0,0,0,0,1,1,"Lane Crowden","sa3029608",
"Jake Dixon","FRES",,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Jake Dixon","sa3030386",
"Zach Freeman","OSU",,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Zach Freeman","sa3031697",
"Seth Garner","MEM",,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Seth Garner","sa3031986",
"Matthew Hoskins","UGA",19,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Matthew Hoskins","sa3034127",702614
"Azalius Lewis","MVSU",,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Azalius Lewis","sa3036290",
"Jack Mosh","MIZ",20,2,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"Jack Mosh","sa3038457",
"Jason Shockley","RUTG",20,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Jason Shockley","sa3042201",
"Avery Thielman","WMU",19,3,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"Avery Thielman","sa3043667",
"Dawson Walls","ORU",20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Dawson Walls","sa3044713",
