Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tyler Hinrikus","BALL",,17,18,22,2,2,0,0,0,3,2,4,13,0,0,0,0,0,0,0.111111111,"Tyler Hinrikus","sa3033862",
"Dane Hoggard","HALL",,6,9,12,1,1,0,0,0,1,3,3,3,0,0,0,0,0,0,0.111111111,"Dane Hoggard","sa3033936",
"Jax Luzinski","ARMY",,5,9,10,1,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0.111111111,"Jax Luzinski","sa3036727",
"Connor Milton","ILL",19,15,9,9,1,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0.111111111,"Connor Milton","sa3038112",
"Noah Orlando","UCF",,30,45,56,5,4,1,0,0,8,3,9,15,2,0,0,1,4,1,0.111111111,"Noah Orlando","sa3039189",
"Andrew Pollum","CARK",21,6,9,12,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0.111111111,"Andrew Pollum","sa3040056",
"Cade Sammons","MISS",21,40,18,26,2,2,0,0,0,7,1,6,7,2,0,0,0,3,0,0.111111111,"Cade Sammons","sa3041462",
"Jaren Shelby","UK",,28,18,19,2,2,0,0,0,4,1,1,7,0,0,0,0,1,1,0.111111111,"Jaren Shelby","sa3042123",
"Brendan Siriani","ARMY",,6,9,12,1,1,0,0,0,0,0,1,2,1,0,1,1,0,0,0.111111111,"Brendan Siriani","sa3042373",
"Matt Solomon","HCU",,38,72,84,8,3,4,0,1,5,6,7,39,3,0,2,1,0,0,0.111111111,"Matt Solomon","sa3042731",
"Mason Stewart","UPST",,16,18,22,2,2,0,0,0,1,3,1,3,2,1,0,2,0,0,0.111111111,"Mason Stewart","sa3043109",
