Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Andrew Kachel","FRES",21,238,0.121848739,0.18907563,0.644444444,0.301980198,0.394957983,0.55940594,0.954363923,0.257425742,7.176672118334142,0.335570469,0.6161107906373218,47.19725813025819,6.055117801374062,0.41052170761493073,114.71755662921363,"Andrew Kachel","sa3020140",803288
"Ethan He","UTU",,76,0.118421052,0.184210526,0.642857142,0.27118644,0.418918918,0.406779661,0.825698579,0.135593221,4.049024663070631,0.34090909,-0.30121654947288334,13.824785722179099,1.7706883677670195,0.3982176321583825,114.68951440913084,"Ethan He","sa3033476",
"Grant Voytovich","BUCK",20,218,0.068807339,0.091743119,0.75,0.319587628,0.384259259,0.417525773,0.801785032,0.097938145,5.123006727445325,0.346820809,0.21175514161586761,35.99992371735706,4.608220677949334,0.3873320246736209,114.67974092442319,"Grant Voytovich","sa3044587",
"Mark Connelly","MILW",,144,0.076388888,0.083333333,0.916666666,0.311475409,0.390070921,0.434426229,0.82449715,0.12295082,6.288317436990489,0.333333333,0.2903513154014945,24.828770693132803,3.166540439913199,0.38695062686365544,114.61779513419475,"Mark Connelly","sa3029253",
"Nate Goranson","W&M",20,102,0.156862745,0.176470588,0.888888888,0.246753246,0.42,0.337662337,0.757662337,0.090909091,3.496598063661259,0.310344827,0.035894010215997696,17.327982093439438,2.209281916962005,0.38008156955242156,114.61290912031801,"Nate Goranson","sa3032474",
"Austin Deming","BYU",22,222,0.067567567,0.18018018,0.375,0.295336787,0.371040723,0.455958549,0.826999272,0.160621762,3.1297974337500003,0.34437086,0.06407605158165097,36.05438422258628,4.596153995354296,0.3822492754836967,114.61033873220119,"Austin Deming","sa3022813",801471
"Cole Modgling","AMCC",,63,0.111111111,0.317460317,0.35,0.285714285,0.43548387,0.346938775,0.782422645,0.06122449,8.856892811372806,0.48275862,0.5531018957262859,11.553096606260238,1.4680828441438056,0.39948604376085345,114.55707328490263,"Cole Modgling","sa3038197",
"Justin Carboni","PENN",,16,0.0625,0.1875,0.333333333,0.357142857,0.4,0.428571428,0.828571428,0.071428571,2.64285714,0.454545454,-0.012302609393373132,2.9133901234411654,0.3696145649694858,0.3895841280619303,114.53015631581715,"Justin Carboni","sa3028413",
"Daniel Martin","UNM",,3,0,0.666666666,0,0.333333333,0.333333333,0.666666666,0.999999999,0.333333333,2.64285714,1,0,0.5937140872505214,0.07511567974357869,0.4101321299870809,114.48436374972344,"Daniel Martin","sa3037148",
"Ben McCabe","UCF",22,249,0.07630522,0.212851405,0.358490566,0.297674418,0.368852459,0.544186046,0.913038505,0.246511628,5.199499872584167,0.331125827,0.28148553693608847,46.120311563771814,5.833793094318953,0.3982582346337741,114.48075762303067,"Ben McCabe","sa3022601",701100
"Cole Posey","UNM",,109,0.110091743,0.284403669,0.387096774,0.296703296,0.403669724,0.527472527,0.931142251,0.230769231,7.444330229785223,0.403508771,-0.009302264428697526,21.567160154384844,2.724751348299255,0.4100926600464987,114.46073788304199,"Cole Posey","sa3040112",
"Taber Mongero","UNCW",24,243,0.065843621,0.098765432,0.666666666,0.301435406,0.367965367,0.464114832,0.832080199,0.162679426,5.153361527741017,0.318435754,-0.9024417065083981,41.225490975123634,5.207411142927404,0.3798182722810027,114.45777000658579,"Taber Mongero","sa3038231",
"Robert Shorts","DSU",,13,0.307692307,0,4,0.125,0.461538461,0.125,0.586538461,0,2.64285714,0.125,-0.004500996437855065,2.300668101848564,0.290084403099022,0.3943435228787936,114.42787003990118,"Robert Shorts","sa3042218",
