Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,age,total_college_seasons,eligibility_basis
128,Middle,Derek Curiel,99.8,138.21417,581832.0,567511.0,21.0,2,age
129,Middle,Luke Harrison,99.9,138.91223,64162.0,351674.0,23.0,4,class
130,Middle,Augie Lopez,99.0,139.35756,253869.0,356756.0,21.0,2,age
131,Middle,Tanner Griffith,98.9,139.9714,223992.0,440179.0,21.0,3,class
132,Middle,Alex Petrovic,100.0,141.83615,98509.0,345481.0,22.0,3,class
133,Middle,Derek Williams,99.7,143.62964,35152.0,214080.0,23.0,3,class
134,Middle,Davis Hamilton,99.6,143.99586,149528.0,268696.0,22.0,4,class
135,Middle,Eric Guevara,99.8,144.05103,485179.0,414172.0,21.0,3,class
136,Middle,Lane Arroyos,96.7,144.39856,249389.0,399129.0,21.0,1,age
137,Middle,Tre Phelps,99.7,144.50208,160901.0,450738.0,22.0,3,class
138,Middle,Ethan Surowiec,98.6,146.4795,422844.0,324798.0,21.0,2,age
139,Middle,Bryson Moore,99.9,147.08624,225172.0,373931.0,21.0,3,class
140,Middle,Armani Raygoza,98.8,147.33073,383907.0,364994.0,21.0,3,class
141,Middle,Davis Gillespie,98.6,148.2393,136204.0,242154.0,22.0,3,class
142,Middle,Brennon Wright,98.0,148.4144,210113.0,480873.0,21.0,1,age
143,Middle,Brady Neal,98.6,149.26785,284645.0,330451.0,21.0,4,class
144,Middle,Sam Harris,95.3,149.76169,262173.0,244262.0,21.0,3,class
145,Middle,Lucas Moore,92.1,150.14647,370917.0,366285.0,21.0,3,class
146,Middle,Caden Aoki,99.9,150.37349,100338.0,303403.0,23.0,5,class
147,Middle,Jack Cannon,99.4,150.52094,725191.0,1051391.0,21.0,3,class
148,Middle,Michael Sharman,96.8,151.47864,53491.0,251026.0,24.0,2,age
149,Middle,Manny Salas,96.5,152.35971,316144.0,428708.0,21.0,1,age
150,Middle,Adrian Lopez,99.9,152.40967,403875.0,491016.0,21.0,3,class
151,Late,Matt Bucciero,98.6,152.68777,270840.0,411056.0,21.0,4,class
152,Late,Duncan Marsten,100.0,153.16145,292767.0,313141.0,21.0,2,age
153,Late,Brendan Brock,99.2,155.40248,462937.0,449757.0,21.0,1,age
154,Late,Trey Hawsey,99.2,155.61958,234323.0,377533.0,21.0,2,age
155,Late,Regan Hall,99.8,155.62392,242713.0,330432.0,21.0,3,class
156,Late,Karson Bowen,97.1,156.29877,282880.0,361668.0,21.0,4,class
157,Late,Cooper Consiglio,96.6,156.43475,287866.0,306375.0,20.0,3,class
158,Late,Gable Mitchell,99.1,156.67882,106079.0,257399.0,22.0,4,class
159,Late,Matt Conte,99.8,157.019,213037.0,364221.0,21.0,2,age
160,Late,Connor Marshburn,99.7,157.27657,193205.0,337428.0,21.0,3,class
161,Late,Cal Scolari,99.9,157.32121,230131.0,322764.0,22.0,2,age
162,Late,Joseph Urban,99.4,157.99112,208672.0,358964.0,22.0,4,class
163,Late,Camden Johnson,99.5,158.04216,437528.0,523144.0,21.0,3,class
164,Late,Dean Mihos,97.0,158.87584,188628.0,270216.0,21.0,4,class
165,Late,Ethan Stade,99.5,158.93483,79045.0,201777.0,23.0,1,age
166,Late,Chris McHugh,94.0,159.26428,303163.0,290886.0,20.0,3,class
167,Late,Michael Smith,99.3,159.48808,217472.0,406455.0,21.0,3,class
168,Late,Connor Cuff,92.9,160.24323,130024.0,245619.0,21.0,3,class
169,Late,Aaron Piasecki,99.5,160.28897,146216.0,263130.0,22.0,2,age
170,Late,Evan Holewinski,91.6,160.68051,209564.0,336719.0,21.0,2,age
171,Late,Ryan Niedzwiedz,99.6,160.94246,270293.0,536007.0,21.0,3,class
172,Late,Curry Sutherland,98.6,161.00081,152917.0,276715.0,21.0,3,class
173,Late,Colin Fisher,99.9,161.52176,245400.0,280577.0,21.0,3,class
174,Late,Steele Murdock,99.9,161.8209,192857.0,302183.0,21.0,2,age
175,Late,Collin Jennings,94.8,162.84465,357506.0,513531.0,21.0,3,class
176,Late,Ashton Larson,97.5,163.42961,181971.0,266177.0,21.0,3,class
177,Late,Cole Raile,99.5,163.82922,217595.0,397796.0,21.0,3,class
178,Late,Zack Konstantinovsky,98.6,163.86736,276116.0,261846.0,21.0,2,age
179,Late,David Mendez,99.5,164.23505,322800.0,443874.0,21.0,3,class
180,Late,Tristan Bissetta,96.1,164.51723,28689.0,282567.0,23.0,4,class
181,Late,Mathis Nayral,99.1,164.63106,124469.0,210848.0,22.0,1,age
182,Late,Jaxon Willits,99.7,165.22362,362914.0,394930.0,21.0,3,class
183,Late,Collin Clarke,99.9,165.76584,142808.0,266189.0,21.0,3,class
184,Late,Logan Shepherd,93.7,165.80862,275688.0,589613.0,21.0,1,age
185,Late,Mason Eckelman,95.6,165.84203,267764.0,483383.0,21.0,3,class
186,Late,Reese Chapman,99.5,166.524,115130.0,300489.0,22.0,4,class
187,Late,Cole Selvig,99.9,167.00063,222518.0,295722.0,21.0,3,class
188,Late,Chris Diaz,98.5,167.21214,132721.0,275372.0,21.0,3,class
189,Late,Brayden Bakes,99.4,167.82469,241872.0,630771.0,21.0,2,age
190,Late,Dean Toigo,99.1,169.14078,26071.0,166358.0,23.0,2,age
191,Late,Cade Baldridge,98.8,169.2308,249730.0,252696.0,21.0,1,age
192,Late,Jake Bennett,99.6,169.511,278133.0,535838.0,21.0,2,age
193,Late,Michael Anderson,98.5,169.86964,228865.0,204486.0,22.0,4,class
194,Late,Caden Ferraro,93.5,169.88194,175162.0,472038.0,21.0,1,age
195,Late,Josh Swink,98.9,169.96773,153944.0,305297.0,21.0,3,class
196,Late,Lane Haworth,98.3,169.99088,192284.0,421341.0,21.0,3,class
197,Late,Weber Neels,99.6,170.06049,28867.0,246338.0,23.0,4,class
198,Late,Lorenzo Carrier,99.5,170.17918,53818.0,390428.0,23.0,5,class
199,Late,Alex Fernandes,99.0,171.00716,29694.0,259605.0,23.0,3,class
200,Late,Josh McDevitt,100.0,171.04666,189229.0,314816.0,22.0,3,class
201,Late,Chris Katz,99.9,171.5529,81568.0,690076.0,23.0,5,class
202,Late,Luke Gaffney,99.2,171.98363,142235.0,277529.0,22.0,3,class
203,Late,Isaac Cadena,99.7,173.10855,214477.0,227048.0,21.0,3,class
204,Late,Davin Whitaker,96.8,173.33945,227690.0,382520.0,21.0,2,age
205,Late,Sherman Johnson,99.7,173.41637,263223.0,478696.0,21.0,1,age
206,Late,Easton Talt,99.1,174.37129,125636.0,325057.0,22.0,4,class
207,Late,Zeb Allen,96.0,174.60457,190030.0,290327.0,21.0,3,class
208,Late,RJ Hamilton,92.8,174.84315,201186.0,315450.0,21.0,2,age
209,Late,Jorsixt Jimenez,92.9,175.89929,41440.0,168944.0,23.0,2,age
210,Late,Brennan Hudson,98.4,176.09,79274.0,352818.0,22.0,4,class
211,Late,Shane Sdao,99.6,176.1478,124651.0,233255.0,22.0,3,class
212,Late,Camden Wimbish,94.6,176.29585,159636.0,226650.0,21.0,3,class
213,Late,Kyle Morrison,96.2,176.63188,111536.0,229495.0,22.0,2,age
214,Late,Ryan Castillo,99.1,176.65228,169173.0,296658.0,21.0,3,class
215,Late,Jake Lambdin,90.4,176.74547,245441.0,334436.0,21.0,3,class
216,Late,Evan Bottone,97.2,177.05753,261981.0,513809.0,21.0,3,class
217,Late,Javar Williams,100.0,178.00473,89498.0,255474.0,22.0,3,class
218,Late,Joseph Webb,99.9,178.09299,119910.0,227831.0,22.0,2,age
219,Late,Nick Barone,94.7,178.11226,93483.0,216464.0,22.0,4,class
220,Late,Merik Carter,96.4,178.39209,96394.0,194210.0,22.0,2,age
221,Late,Dominic Decker,99.0,178.60956,18939.0,284604.0,23.0,2,age
222,Late,Jaxon Shineflew,98.8,179.41397,165878.0,306674.0,21.0,3,class
223,Late,Noah Sullivan,99.6,179.62793,20563.0,248334.0,23.0,5,class
224,Late,Grayson Fitzwater,99.7,179.68819,122756.0,254250.0,22.0,4,class
225,Late,Weston Moss,99.7,179.84491,122137.0,284655.0,22.0,3,class
226,Late,Tazwell Butler,98.2,179.86447,30734.0,153119.0,23.0,2,age
227,Late,Jordan Crosland,96.9,179.95328,274202.0,340594.0,21.0,3,class
228,Late,Joe Sperry,99.6,179.97237,109798.0,190798.0,22.0,2,age
229,Late,Mike Mancini,99.7,180.47874,148202.0,372458.0,22.0,4,class
230,Late,Diego Castellanos,96.9,180.71344,160573.0,306401.0,21.0,3,class
231,Late,Ellis Garcia,94.9,180.96367,111297.0,226872.0,22.0,4,class
232,Late,Kolby Branch,97.6,181.80057,14863.0,205424.0,23.0,4,class
233,Late,AJ Nessler,99.4,182.36107,143315.0,244825.0,22.0,4,class
234,Late,Matt Cuccias,98.9,182.58563,137869.0,329162.0,21.0,1,age
235,Late,Mason Steele,96.0,182.86171,181099.0,277747.0,21.0,1,age
236,Late,Drew Berkland,99.7,182.94882,113226.0,231039.0,22.0,4,class
237,Late,Judd Utermark,99.4,183.07193,179948.0,375186.0,22.0,4,class
238,Late,Easton Richter,96.8,183.71773,117745.0,248129.0,22.0,4,class
239,Late,Zachary Peters,98.2,183.76035,43036.0,273137.0,23.0,4,class
240,Late,Tommy Egan,98.0,183.98866,43440.0,229331.0,23.0,3,class
241,Late,Jacob Jarrell,93.1,184.16281,16333.0,250613.0,23.0,4,class
242,Late,Jayce Tharnish,99.5,184.18396,110449.0,228440.0,22.0,4,class
243,Late,Evan Jones,94.9,184.345,103566.0,172851.0,22.0,3,class
244,Late,Justin Byrd,99.8,184.6943,201457.0,248187.0,22.0,2,age
