Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Greg Cristino","MRMK",23,265,0.098113207,0.128301886,0.764705882,0.295652173,0.375,0.560869565,0.935869565,0.265217392,2.01785714,0.291891891,-0.4205434927716851,49.84157259878353,9.690277383892093,0.41532467689478036,124.13440794880792,"Greg Cristino","sa3074242",
"Josh Skowronski","WIN",21,265,0.181132075,0.173584905,1.04347826,0.274509803,0.428030303,0.470588235,0.898618538,0.196078432,7.179932207909999,0.322580645,0.5069505284191109,54.11316663088654,10.490209982417563,0.42478695353775314,124.04745296599637,"Josh Skowronski","sa3060590",
"Chris Diaz","MRST",21,132,0.098484848,0.257575757,0.382352941,0.294642857,0.376923076,0.5625,0.939423076,0.267857143,6.907173882041895,0.347222222,-0.3082758211530745,24.805613810519834,4.805723363856932,0.41515827362353985,124.02874844076355,"Chris Diaz","sa3059050",
"Kyree Alexander","EIU",,68,0.132352941,0.264705882,0.5,0.274509803,0.447761194,0.431372549,0.879133743,0.156862746,5.003500331661706,0.387096774,-0.27846414875239134,14.335281855597561,2.7769070334578214,0.4246138014010529,124.0250647360798,"Kyree Alexander","sa3025884",
"Ryan Novak","M-OH",21,268,0.167910447,0.164179104,1.022727272,0.261306532,0.421641791,0.537688442,0.959330233,0.27638191,5.746876155120974,0.26,-0.29500432731583714,55.94545519956848,10.834712749808041,0.430621930689954,124.01803242736382,"Ryan Novak","sa3038945",
"Andrew Stucky","UTSA",23,231,0.129870129,0.177489177,0.731707317,0.288043478,0.419913419,0.510869565,0.930782984,0.222826087,4.921173754319637,0.311111111,0.049319738522171974,47.707651019078604,9.228863954526298,0.4270860235412399,123.98429019876296,"Andrew Stucky","sa3043263",
"Tomas Cernius","PRIN",,166,0.096385542,0.102409638,0.94117647,0.308219178,0.379518072,0.472602739,0.852120811,0.164383561,6.043797000320266,0.317460317,1.0356659777462482,29.024739329630446,5.612710748726441,0.39862667508872157,123.97361992503477,"Tomas Cernius","sa3074229",
"Devin Mitchell","NCSU",22,12,0.25,0.166666666,1.5,0.25,0.416666666,0.75,1.166666666,0.5,5.4994652460748235,0.166666666,0.17403822857886553,2.820485408976997,0.5444404441866527,0.4513412614663442,123.92046082608051,"Devin Mitchell","sa3074372",
"Alonso Reyes","UCI",22,240,0.133333333,0.158333333,0.842105263,0.27027027,0.420168067,0.389189189,0.809357256,0.118918919,4.225540738699849,0.315068493,0.10551494918763638,41.080531913750946,7.928546506875332,0.3985655703464476,123.915751679931,"Alonso Reyes","sa3060354",
"Javar Williams","WAKE",22,293,0.143344709,0.174061433,0.823529411,0.343347639,0.458333333,0.545064377,1.00339771,0.201716738,6.943377265207014,0.4,3.377789950929582,68.84159463506671,13.268163411435808,0.4512532630728351,123.87501206834597,"Javar Williams","sa3045312",814191
