Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Konner Quinn","USI",,0,0,5.785714482774546,8,0,0,0,0,4.2,25,4,6,3,0,4,2,0,0,3,"Konner Quinn","sa3071063",
"Colin Reed","TXSO",,1,0,14.538461005193968,2,2,0,0,0,4.1,27,6,9,7,2,6,2,0,0,3,"Colin Reed","sa3071086",
"Austin Sheldon","WSU",23,0,0,13.5,5,0,0,0,0,4,23,4,6,6,1,7,0,1,0,3,"Austin Sheldon","sa3071278",
"Marcus Smith","JKST",19,0,0,19.285714942581823,6,0,0,0,0,4.2,26,6,10,10,2,5,2,3,0,3,"Marcus Smith","sa3071321",
"Michael Strickland","MER",,0,0,7.714285977032729,3,0,0,0,0,2.1,15,1,4,2,0,3,2,0,0,3,"Michael Strickland","sa3071390",
"Nate Teague","VAN",21,0,0,12,4,0,0,0,0,3,18,1,4,4,0,5,3,0,0,3,"Nate Teague","sa3071431",
"Gavin Townsend","WAG",,0,3,15.428571428571429,4,3,0,0,0,7,47,18,16,12,2,4,3,1,0,3,"Gavin Townsend","sa3071475",
"Gethse Ulloa","CSUB",,0,0,5.4,8,0,0,0,0,5,24,6,3,3,0,2,1,0,0,3,"Gethse Ulloa","sa3071492",
"Tyler Walton","TXST",21,0,0,18.692307006677957,5,0,0,0,0,4.1,25,9,9,9,2,1,2,0,0,3,"Tyler Walton","sa3071557",
"Jace Ziola","NEB",20,0,0,23.142857931098185,5,0,0,0,0,2.1,16,1,6,6,0,6,2,0,0,3,"Jace Ziola","sa3071688",
"Duncan Russell","CAL",19,0,1,13.5,5,0,0,0,0,4,26,9,7,6,2,5,0,3,0,3,"Duncan Russell","sa3073588",
"Braxton Stewart","NEB",22,0,0,10.384615003709976,8,0,0,0,0,4.1,22,3,5,5,2,5,1,2,0,3,"Braxton Stewart","sa3073593",
"Cowan Alfonso","UL",21,0,0,20.24999939650299,3,0,0,0,0,1.1,9,0,3,3,0,5,0,1,0,3,"Cowan Alfonso","sa3073672",
"Connor Gatwood","AUB",20,0,0,16.200000386238106,5,0,0,0,0,1.2,12,6,3,3,0,2,0,1,0,3,"Connor Gatwood","sa3073718",
"Tore Indomenico","ILL",,0,0,6,3,0,0,0,0,3,19,4,5,2,0,6,1,3,0,3,"Tore Indomenico","sa3073733",
"Cade Waibel","BAY",21,0,0,54,4,0,0,0,0,2,21,8,12,12,2,5,2,0,0,3,"Cade Waibel","sa3073831",
