Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
154,Late,Jackson Hauge,93.0,158.55272,46023.0,340131.0,4.0,1,class
155,Late,Enzo Apodaca,96.1,160.0587,104939.0,403375.0,4.0,4,seasons
156,Late,Jack Gurevitch,98.1,160.33394,414810.0,527816.0,3.0,3,seasons
157,Late,Trevor Haskins,92.6,160.56546,60330.0,363705.0,4.0,4,seasons
158,Late,Nathan Hall,97.6,162.6281,311608.0,540674.0,3.0,3,seasons
159,Late,Caden Hunter,99.6,162.71738,215569.0,327448.0,3.0,1,class
160,Late,Drew Wyers,96.3,162.87872,128532.0,422224.0,3.0,2,class
161,Late,Matthew Bucciero,98.3,163.5909,521557.0,597452.0,3.0,3,seasons
162,Late,Cayden Brumbaugh,98.7,164.21918,267059.0,584845.0,3.0,3,seasons
163,Late,Dalton Bargo,96.5,164.2953,315600.0,358205.0,3.0,3,seasons
164,Late,Cole Hage,94.3,165.33278,79190.0,283013.0,4.0,4,seasons
165,Late,Dominic Hellman,98.4,166.79018,303642.0,456672.0,3.0,3,seasons
166,Late,Ryan Borberg,99.2,166.86166,167038.0,336882.0,3.0,2,class
167,Late,Jay Woolfolk,98.0,167.4342,120756.0,286855.0,4.0,4,seasons
168,Late,Karson Ligon,98.7,168.8034,191151.0,333219.0,4.0,4,seasons
169,Late,Gable Mitchell,98.2,169.5269,308583.0,372868.0,3.0,3,seasons
170,Late,Brennan Stuprich,98.3,169.72227,143164.0,245520.0,4.0,4,seasons
171,Late,Ethan Petry,95.2,169.7717,297890.0,509664.0,3.0,3,seasons
172,Late,Sean Youngerman,99.3,170.33765,203778.0,389663.0,3.0,1,class
173,Late,Carson Myers,99.0,170.7733,111259.0,287905.0,4.0,4,seasons
174,Late,Brian Walters,96.1,171.68619,151718.0,310995.0,3.0,3,seasons
175,Late,Jarvis Evans,94.5,171.89978,251430.0,320364.0,3.0,3,seasons
176,Late,Easton Talt,94.7,172.48058,311734.0,473007.0,3.0,3,seasons
177,Late,Jake Ogden,98.7,172.4959,257848.0,456168.0,3.0,2,class
178,Late,Aidan Haugh,98.3,172.73227,83561.0,176487.0,4.0,2,class
179,Late,Miller Riggins,97.6,172.90073,142750.0,243634.0,3.0,4,seasons
180,Late,Logan Maxwell,99.0,173.80759,121020.0,247514.0,4.0,4,seasons
181,Late,Nelson Keljo,99.2,173.94351,264816.0,288066.0,3.0,3,seasons
182,Late,Jay Miller,94.7,174.45293,131029.0,207143.0,3.0,3,seasons
183,Late,Max Galvin,94.2,174.6904,265020.0,467796.0,3.0,1,class
184,Late,Michael Lombardi,97.6,175.3345,308198.0,638436.0,3.0,3,seasons
185,Late,Davion Hickson,98.6,175.45381,278697.0,332655.0,3.0,3,seasons
186,Late,Drew Berkland,93.5,175.71667,181034.0,293515.0,3.0,3,seasons
187,Late,Riley Nelson,98.2,175.93271,318780.0,345464.0,3.0,1,class
188,Late,Dominic Listi,91.4,176.42717,39225.0,180079.0,4.0,2,class
189,Late,Jake Hyde,91.9,176.48926,45040.0,208467.0,4.0,5,seasons
190,Late,Cole Gilley,99.4,176.56139,50332.0,186353.0,4.0,4,seasons
191,Late,Jordy Oriach,95.4,176.67146,155963.0,339916.0,3.0,1,class
192,Late,Jake Knapp,99.0,177.06042,69693.0,283777.0,4.0,2,class
193,Late,Cooper Vest,92.1,177.08397,51795.0,223279.0,4.0,4,seasons
