Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,age,total_college_seasons,eligibility_basis
1,Early,Andrew Fischer,99.8,0.038991258,4462667.0,4982170.0,21.0,3,class
2,Early,Liam Doyle,100.0,15.343023,3566618.0,4747314.0,21.0,3,class
3,Early,Jamie Arnold,100.0,17.704218,1746220.0,1541775.0,21.0,3,class
4,Early,Patrick Forbes,99.7,22.957596,1976364.0,1544073.0,20.0,3,class
5,Early,Anthony Eyanson,98.7,28.959335,2782428.0,2764672.0,20.0,3,class
6,Early,Zachary Root,99.9,29.792658,2324663.0,2185884.0,21.0,3,class
7,Early,Ike Irish,99.9,30.390434,2844841.0,2822503.0,21.0,3,class
8,Early,Mitch Voit,99.3,31.554317,1476823.0,1584211.0,20.0,3,class
9,Early,Justin Lamkin,99.9,31.640133,654793.0,745135.0,21.0,3,class
10,Early,Aiva Arquette,99.9,33.43396,2009403.0,1613857.0,21.0,3,class
11,Early,Kyle Lodise,99.7,40.274155,725734.0,901420.0,21.0,1,age
12,Early,J.D. Thompson,99.9,41.008255,1713071.0,1631428.0,21.0,3,class
13,Early,JB Middleton,99.9,46.24923,986824.0,956271.0,21.0,3,class
14,Early,Cade Obermueller,100.0,46.4969,954012.0,939022.0,21.0,3,class
15,Early,Wehiwa Aloy,99.8,47.1275,1915834.0,1917387.0,21.0,3,class
16,Early,Alex Lodise,100.0,47.343796,1766166.0,1255186.0,21.0,3,class
17,Early,Gavin Kilen,100.0,51.65333,1739379.0,3413611.0,21.0,3,class
18,Early,Cam Cannarella,98.0,52.230843,602687.0,624438.0,21.0,3,class
19,Early,Ben Jacobs,100.0,54.399757,855086.0,771735.0,21.0,3,class
20,Early,Gavin Turley,99.8,54.98569,1404335.0,1456898.0,21.0,3,class
21,Early,Jake Munroe,97.9,57.565372,544672.0,632116.0,21.0,1,age
22,Early,Jace LaViolette,99.3,57.781372,567659.0,770394.0,21.0,3,class
23,Early,Ethan Hedges,99.9,61.477097,819714.0,918817.0,21.0,3,class
24,Early,Owen Proksch,99.8,61.48511,351605.0,565248.0,21.0,3,class
25,Early,Luke Hill,99.9,61.52182,758658.0,666112.0,21.0,3,class
26,Early,Cody Bowker,99.8,62.0008,834992.0,998557.0,21.0,3,class
27,Early,Marek Houston,99.9,64.37504,795992.0,878260.0,21.0,3,class
28,Early,Aaron Walton,99.9,66.447495,671866.0,1497547.0,21.0,3,class
29,Early,Joseph Dzierwa,99.9,66.67738,685518.0,552928.0,21.0,3,class
30,Early,Jared Jones,99.1,70.010635,1008457.0,980199.0,21.0,3,class
31,Early,Mason White,97.8,70.25891,875017.0,1232391.0,21.0,3,class
32,Early,Tyler Bremner,99.9,70.59018,987486.0,994277.0,21.0,3,class
33,Early,Ryan Daniels,98.9,71.938576,839778.0,1162980.0,21.0,3,class
34,Early,Kane Kepley,99.9,73.21035,768473.0,806377.0,21.0,3,class
35,Early,Blake Gillespie,99.9,73.42508,796946.0,1199710.0,21.0,3,class
36,Early,Harrison Bodendorf,100.0,73.66053,488505.0,520541.0,21.0,3,class
37,Early,Myles Patton,99.8,75.28566,325650.0,419710.0,21.0,3,class
38,Early,Charles Davalan,99.9,75.3731,1259400.0,1338049.0,21.0,2,age
39,Early,Leighton Finley,99.8,75.75894,532074.0,839983.0,21.0,3,class
40,Early,Pico Kohn,99.9,76.88605,418454.0,462554.0,22.0,3,class
41,Early,Mason Neville,92.6,78.48953,806728.0,1274840.0,21.0,3,class
42,Early,Kaeden Kent,99.4,82.156845,390255.0,600010.0,21.0,3,class
43,Early,Tyler Albright,98.9,82.65192,390626.0,434556.0,21.0,3,class
44,Early,Griffin Hugus,99.9,83.34527,430209.0,642817.0,21.0,3,class
45,Early,Sam White,97.2,85.8837,471261.0,644752.0,21.0,3,class
46,Early,Daniel Dickinson,99.8,86.12417,620628.0,547695.0,21.0,3,class
47,Early,Brendan Summerhill,97.8,87.04355,769880.0,1362104.0,21.0,3,class
48,Early,Easton Carmichael,100.0,88.032845,731974.0,1199464.0,21.0,3,class
49,Early,Jared Spencer,99.9,88.118095,404349.0,464742.0,21.0,4,class
50,Early,Judd Utermark,99.6,89.68993,594988.0,680365.0,21.0,3,class
51,Middle,Dean Curley,100.0,89.71452,666397.0,665423.0,21.0,2,age
52,Middle,Isaiah Jackson,98.1,89.751,356313.0,712460.0,21.0,3,class
53,Middle,Dominick Reid,99.8,91.74528,324270.0,426625.0,21.0,3,class
54,Middle,Caden Bodine,98.5,92.84261,611202.0,600221.0,21.0,3,class
55,Middle,Nolan Schubart,99.5,93.35326,442987.0,703883.0,21.0,3,class
56,Middle,Logan Lunceford,100.0,94.157364,338380.0,623635.0,21.0,3,class
57,Middle,Dixon Williams,98.9,94.56262,466633.0,559633.0,21.0,3,class
58,Middle,Henry Godbout,97.9,95.128136,552070.0,1188262.0,21.0,3,class
59,Middle,Drew Faurot,98.6,95.393555,426334.0,555401.0,21.0,3,class
60,Middle,Matthew Miura,99.2,95.74064,436931.0,820181.0,21.0,3,class
61,Middle,Mason Morris,99.9,96.09662,377857.0,578058.0,21.0,3,class
62,Middle,Jacob Morrison,97.8,96.58286,406332.0,610875.0,21.0,2,age
63,Middle,Nick Monistere,97.8,96.95275,497699.0,712590.0,21.0,3,class
64,Middle,Trevor Cohen,99.4,100.90898,661777.0,824103.0,21.0,3,class
65,Middle,Grant Jay,98.6,101.23606,592385.0,777280.0,21.0,3,class
66,Middle,James Ellwanger,100.0,101.99175,577787.0,613617.0,21.0,2,age
67,Middle,Josiah Ragsdale,98.2,103.81321,417495.0,379768.0,21.0,3,class
68,Middle,Nu'u Contrades,97.7,104.35204,397536.0,538442.0,21.0,2,age
69,Middle,Marshall Lipsey,97.5,104.66428,377724.0,565822.0,21.0,1,age
70,Middle,Dylan Brown,99.9,105.18152,381270.0,440635.0,21.0,3,class
71,Middle,Ryan Wideman,99.4,105.19874,397129.0,642293.0,21.0,1,age
72,Middle,Joey Volini,99.9,105.39997,284842.0,479913.0,22.0,3,class
73,Middle,Cade Crossland,99.8,105.99629,467063.0,498256.0,21.0,1,age
74,Middle,Evan Siary,99.9,106.050285,384135.0,489732.0,21.0,3,class
75,Middle,Wallace Clark,93.9,108.94092,32469.0,322177.0,23.0,4,class
76,Middle,Hunter Elliott,100.0,109.23271,259890.0,401113.0,22.0,3,class
77,Middle,Nathan Hall,99.8,109.525154,521030.0,705960.0,21.0,3,class
78,Middle,Dominic Fritton,99.7,110.27278,386175.0,402978.0,22.0,3,class
79,Middle,Riley Quick,99.4,110.35362,354199.0,421327.0,21.0,3,class
80,Middle,Ryan Moerman,96.9,111.18938,299080.0,346341.0,21.0,4,class
81,Middle,Tre Phelps,99.7,111.388405,474147.0,484041.0,21.0,2,age
82,Middle,Richie Bonomolo Jr.,99.4,112.61486,395258.0,430398.0,21.0,1,age
83,Middle,Antonio Jimenez,91.7,113.78221,389759.0,502472.0,21.0,2,age
84,Middle,Trent Caraway,98.9,114.61285,529280.0,664331.0,21.0,2,age
85,Middle,Brent Iredale,99.4,114.76928,445972.0,399584.0,21.0,1,age
86,Middle,Nathan Humphreys,97.9,115.457954,167993.0,280339.0,22.0,4,class
