Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
1,Early,Hunter Dietz,99.9,-5.184201,3653967.0,2998968.0,2.0,3,seasons
2,Early,Cole Carlon,99.9,6.4184384,2145798.0,1938583.0,3.0,3,seasons
3,Early,Roch Cholowsky,99.8,11.941202,798312.0,1081183.0,3.0,3,seasons
4,Early,Liam Peterson,100.0,14.375877,1560233.0,941939.0,3.0,3,seasons
5,Early,Jake Schaffner,99.9,19.10867,1106505.0,1269867.0,3.0,3,seasons
6,Early,Jarren Advincula,99.9,20.989433,1729937.0,1749386.0,3.0,3,seasons
7,Early,Vahn Lackey,99.9,24.080282,1458486.0,2242016.0,3.0,3,seasons
8,Early,Owen Hull,99.9,27.61878,1784953.0,1586353.0,3.0,3,seasons
9,Early,Drew Burress,99.8,29.512438,1399960.0,2413812.0,3.0,3,seasons
10,Early,Mason Edwards,100.0,30.527843,3313110.0,2752586.0,3.0,3,seasons
11,Early,Daniel Cuvet,99.8,32.335037,624252.0,783856.0,3.0,3,seasons
12,Early,Gavin Grahovac,99.9,34.882923,1987499.0,1783707.0,3.0,3,seasons
13,Early,AJ Gracia,99.9,35.55279,1974386.0,1496850.0,3.0,3,seasons
14,Early,Carson Tinney,99.8,36.89079,2356298.0,2709916.0,3.0,3,seasons
15,Early,Dee Kennedy,99.9,40.577568,1654831.0,1072612.0,3.0,3,seasons
16,Early,Daniel Jackson,99.9,40.5845,2362988.0,2534804.0,3.0,3,seasons
17,Early,Alex Sosa,99.6,41.934967,854077.0,748180.0,3.0,3,seasons
18,Early,Ryder Helfrick,99.7,42.03886,826701.0,848902.0,3.0,3,seasons
19,Early,Mulivai Levu,99.8,44.38755,896263.0,1067066.0,3.0,3,seasons
20,Early,Ace Reese,99.5,47.760662,1211675.0,1475502.0,3.0,3,seasons
21,Early,Dominic Voegele,100.0,49.137268,970414.0,709130.0,3.0,3,seasons
22,Early,Aiden Robbins,99.8,50.4864,1698186.0,2108581.0,3.0,3,seasons
23,Early,Caden Sorrell,99.7,52.961258,2159726.0,1742710.0,3.0,3,seasons
24,Early,Joey Volchko,100.0,53.423885,1281021.0,1198142.0,3.0,3,seasons
25,Early,Tre Phelps,99.8,53.90933,1390946.0,1313407.0,3.0,3,seasons
26,Early,Wes Mendes,100.0,55.822075,1547704.0,1671541.0,3.0,3,seasons
27,Early,Nathan Taylor,100.0,56.119087,608081.0,646015.0,3.0,3,seasons
28,Early,Tyler Fay,99.9,56.635918,1176974.0,1401259.0,3.0,3,seasons
29,Early,Zane Adams,99.9,57.816677,752410.0,998433.0,3.0,3,seasons
30,Early,Justin Lebron,98.9,61.189735,655817.0,829999.0,3.0,3,seasons
31,Early,Chris Hacopian,99.9,61.73894,886280.0,966926.0,3.0,3,seasons
32,Early,Carson Kerce,99.7,61.845955,748612.0,1042928.0,3.0,3,seasons
33,Early,Ethan Norby,100.0,62.28743,1111708.0,1084774.0,3.0,3,seasons
34,Early,LJ Mercurius,99.9,62.68445,680489.0,492265.0,3.0,3,seasons
35,Early,Ethan Mendoza,99.6,63.3602,791279.0,1030321.0,3.0,3,seasons
36,Early,Henry Ford,95.5,64.742836,807593.0,1295231.0,3.0,3,seasons
37,Early,Brayden Dowd,99.9,66.55868,483845.0,886992.0,3.0,3,seasons
38,Early,Aidan Knaak,99.8,67.773605,673277.0,787106.0,3.0,3,seasons
39,Early,Jackson Flora,99.9,69.11726,1841373.0,1438562.0,3.0,3,seasons
40,Early,Connor Fennell,100.0,71.348015,636125.0,646315.0,3.0,3,seasons
41,Early,Ethan Kleinschmit,99.8,71.50789,1013909.0,1111983.0,3.0,2,class
42,Early,Jack Radel,100.0,72.287155,933198.0,599358.0,3.0,3,seasons
43,Early,Ben Blair,99.9,72.60254,483808.0,695473.0,3.0,3,seasons
44,Early,Logan Hughes,98.1,74.75121,1415234.0,1462075.0,3.0,3,seasons
45,Early,Jack Natili,98.5,74.78814,400856.0,442309.0,3.0,3,seasons
46,Early,Trey Beard,100.0,79.64795,445160.0,516759.0,3.0,3,seasons
