rank,name,position,school,age,bats,throws
117,Mason Morris,RHP,Mississippi,22,R,R
118,Nick Dumesnil,OF,California Baptist,21,R,R
119,Ethan Frey,OF,Louisiana State,21,R,R
120,Blaine Bullard,OF,Klein Cain (TX),19,S,L
121,Malachi Witherspoon,RHP,Oklahoma,21,R,R
122,Pico Kohn,LHP,Mississippi State,23,L,L
123,Aidan West,SS,Long Reach (MD),18,L,R
124,Tanner Franklin,RHP,Tennessee,21,R,R
125,Landon Schaefer,SS/3B,Arkansas,19,R,R
126,Nolan Schubart,OF,Oklahoma State,21,L,R
127,JT Quinn,RHP,Georgia,21,R,R
128,Sam Horn,RHP,Missouri,22,R,R
129,Brandon Shannon,RHP,Louisville,19,R,R
130,Jayden Stroman,RHP,Patchogue-Medford (NY),18,S,R
131,Micah Bucknam,RHP,Dallas Baptist,22,R,R
132,Omar Serna Jr.,C,Louisiana State,19,R,R
133,Cooper Underwood,LHP,Georgia Tech,19,R,L
134,John Paone,RHP,Lawrence Academy (MA),19,R,R
135,Mason Pike,SS/RHP,Oregon State,19,S,R
136,Matt Barr,RHP,SUNY Niagara CC,20,R,R
137,Tre Phelps,OF/1B,Georgia,21,R,R
138,Cameron Millar,RHP,Alhambra (CA),18,R,R
139,Riley Kelly,RHP,UC Irvine,21,R,R
140,Gustavo Melendez,SS,La Merced (PR),18,L,R
141,Murf Gray,3B,Fresno State,22,R,R
142,Colby Shelton,SS,Florida,23,L,R
143,Mason White,SS,Arizona,22,L,R
144,Jack Gurevitch,1B,San Diego,21,L,R
145,Trent Caraway,3B,Louisiana State,21,R,R
146,Ryan Wideman,OF,Western Kentucky,22,R,R
147,Gabe Davis,RHP,Oklahoma State,22,R,R
148,Nate Snead,RHP,Tennessee,21,R,R
149,Caden Hunter,LHP,Southern California,22,R,L
150,Ethin Bingaman,RHP/OF,Auburn,19,R,R
151,Tanner Thach,1B,UNC Wilmington,21,L,L
152,Angel Laya,OF,Oregon,19,L,R
153,Ty Harvey,C,Inspiration Academy (FL),19,R,R
154,Matt Scott,RHP,Georgia,22,R,R
155,Joshua Jannicelli,RHP,Cardinal Newman (CA),18,R,R
156,Reagan Ricken,RHP,Louisiana State,19,R,R
157,Marcelo Harsch,RHP,Seton Hall Prep (NJ),18,R,R
158,Drew Faurot,2B,Florida State,22,S,R
159,Ethan Hedges,3B,Southern California,21,R,R
160,Tim Piasentin,3B,Foothills Composite (AB),18,L,R
161,Aaron Walton,OF,Arizona,21,R,R
162,Paxton Kling,OF,Penn State,22,R,R
163,Will Hynes,RHP,Lorne Park (ON),18,R,R
164,Landon Hodge,C,Crespi Carmelite (CA),19,L,R
165,Brock Ketelsen,OF/LHP,Stanford,18,L,L
166,Noah Yoder,RHP,Atlee (VA),18,R,R
167,Myles Upchurch,RHP,St. Albans (DC),19,R,R
168,Xavier Mitchell,LHP,Prestonwood Christian (TX),19,L,L
169,Griffin Hugus,RHP,Miami,22,L,R
170,Grant Jay,C/OF,Dallas Baptist,22,R,R
171,Anthony Martinez,1B,UC Irvine,21,L,R
172,Antonio Jimenez,SS,Central Florida,21,R,R
173,Jacob Morrison,RHP,Coastal Carolina,22,R,R
174,Zane Taylor,RHP,UNC Wilmington,23,R,R
175,James Quinn-Irons,OF,George Mason,22,R,R
176,Rylan Galvan,C,Texas,22,R,R
177,Brent Iredale,3B,Arkansas,22,R,R
178,CJ Gray,RHP,Brown (NC),19,R,R
179,John Stuetzer,OF/SS,Florida State,19,R,R
180,Jacob McCombs,OF,UC Irvine,21,L,R
181,Trey Morris,LHP,Oregon State,19,L,L
182,Nelson Keljo,LHP,Oregon State,22,L,L
183,Lorenzo Meola,SS,Stetson,22,R,R
184,Aidan Teel,OF,Mississippi State,21,L,R
185,Brooks Bryan,C,Troy,21,L,R
186,Damian Bravo,OF,Texas Tech,22,R,R
187,Cody Bowker,RHP,Vanderbilt,22,R,R
188,Bobby Boser,3B/2B/SS,Florida,23,R,R
189,Jake Clemente,RHP,Florida,22,R,R
190,Grayson Grinsell,LHP,Oregon,22,L,L
191,Jason Reitz,RHP,Oregon,21,R,R
192,Ethan Grim,RHP,Virginia Tech,18,R,R
193,Chris Arroyo,1B/OF,Virginia,21,L,L
194,Cam Maldonado,OF,Northeastern,22,R,R
195,Nic Partridge,3B,Florida,19,L,R
196,Antoine Jean,LHP,Houston,24,R,L
197,Kyle McCoy,LHP,Maryland,21,L,L
198,Jack Anker,RHP,Fresno State,21,R,R
199,Brody Irlbeck,LHP,Iowa,18,L,L
200,Michael Winter,RHP,Texas,18,R,R
201,Peter Kussow,RHP,Arrowhead Union (WI),19,R,R
202,Dylan Dubovik,OF/3B,American Heritage (FL),18,R,R
203,Gabe Graulau,OF,Jupiter (FL),19,R,R
204,Remo Indomenico,OF,Oklahoma State,18,L,L
205,Ben Abeldt,LHP,Texas Christian,22,R,L
206,Trace Phillips,RHP,Middle Tennessee State,21,R,R
