Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,RPI,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
247,Lafayette,Patriot League,12-13,12,13,14-17,14,17,247,260,1-2,1,2,268,264,9-9,9,9,5-8,5,8,0-0,0,0,0-0,0,0,0-1,0,1,3-8,3,8,11-8,11,8
248,South Dakota State,The Summit League,9-19,9,19,15-32,15,32,248,220,5-11,5,11,229,239,6-6,6,6,8-22,8,22,1-4,1,4,0-0,0,0,4-9,4,9,2-8,2,8,9-15,9,15
249,Charleston Southern,Big South,18-22,18,22,18-26,18,26,249,252,0-4,0,4,267,200,10-13,10,13,8-13,8,13,0-0,0,0,1-3,1,3,2-1,2,1,5-9,5,9,10-13,10,13
250,Bucknell,Patriot League,11-15,11,15,11-22,11,22,250,199,0-7,0,7,260,143,6-9,6,9,5-13,5,13,0-0,0,0,0-2,0,2,0-1,0,1,3-2,3,2,8-17,8,17
251,Marshall,Conference USA,6-26,6,26,10-35,10,35,251,77,4-9,4,9,138,77,6-13,6,13,4-22,4,22,0-0,0,0,2-10,2,10,3-10,3,10,3-12,3,12,2-3,2,3
252,UMBC,America East,12-26,12,26,17-26,17,26,252,240,5-0,5,0,78,267,11-12,11,12,6-14,6,14,0-0,0,0,0-0,0,0,1-6,1,6,0-8,0,8,16-12,16,12
253,Houston Baptist,Southland,11-27,11,27,14-38,14,38,253,165,3-11,3,11,158,74,6-12,6,12,8-26,8,26,0-0,0,0,0-3,0,3,0-3,0,3,5-13,5,13,9-19,9,19
254,North Carolina A&T,MEAC,17-15,17,15,22-32,22,32,254,269,5-17,5,17,235,201,13-7,13,7,9-24,9,24,0-1,0,1,0-6,0,6,0-0,0,0,1-4,1,4,21-22,21,22
255,UAB,Conference USA,11-21,11,21,18-36,18,36,255,156,7-15,7,15,233,163,14-18,14,18,4-18,4,18,0-0,0,0,2-11,2,11,4-9,4,9,1-5,1,5,11-11,11,11
256,Alabama State,SWAC,14-7,14,7,23-19,23,19,256,284,9-10,9,10,219,225,16-9,16,9,7-6,7,6,0-4,0,4,0-0,0,0,2-1,2,1,1-11,1,11,20-7,20,7
257,Northern Kentucky,Horizon League,14-25,14,25,17-31,17,31,257,248,3-6,3,6,231,256,8-12,8,12,9-19,9,19,0-0,0,0,0-8,0,8,0-0,0,0,3-8,3,8,14-15,14,15
258,Siena,MAAC,14-22,14,22,15-24,15,24,258,249,0-0,0,0,272,271,11-9,11,9,4-15,4,15,0-0,0,0,1-3,1,3,4-7,4,7,1-3,1,3,9-11,9,11
259,Norfolk State,MEAC,18-10,18,10,25-28,25,28,259,277,4-16,4,16,240,148,16-13,16,13,9-14,9,14,0-1,0,1,0-5,0,5,0-1,0,1,1-3,1,3,24-19,24,19
260,Northern Illinois,Mid-American,15-25,15,25,16-38,16,38,260,209,1-13,1,13,252,162,8-12,8,12,8-23,8,23,0-3,0,3,0-8,0,8,0-4,0,4,3-1,3,1,13-25,13,25
261,Western Illinois,The Summit League,7-20,7,20,11-29,11,29,261,185,4-9,4,9,185,203,6-10,6,10,5-19,5,19,0-0,0,0,0-0,0,0,2-10,2,10,2-6,2,6,7-13,7,13
262,Lipscomb,ASUN,8-13,8,13,18-29,18,29,262,264,10-14,10,14,181,157,11-11,11,11,5-17,5,17,2-1,2,1,1-7,1,7,1-3,1,3,6-7,6,7,10-12,10,12
263,Southern,SWAC,13-11,13,11,20-30,20,30,263,280,2-16,2,16,201,41,7-6,7,6,5-22,5,22,8-2,8,2,0-8,0,8,0-2,0,2,2-5,2,5,18-15,18,15
264,Butler,Big East,8-13,8,13,13-23,13,23,264,261,5-10,5,10,250,240,7-11,7,11,6-12,6,12,0-0,0,0,0-3,0,3,2-2,2,2,2-8,2,8,9-10,9,10
265,Oakland,Horizon League,12-24,12,24,18-29,18,29,265,282,6-5,6,5,130,247,7-9,7,9,11-20,11,20,0-0,0,0,0-4,0,4,0-0,0,0,2-10,2,10,16-15,16,15
266,The Citadel,Southern,4-25,4,25,12-39,12,39,266,121,8-14,8,14,242,211,10-22,10,22,2-17,2,17,0-0,0,0,0-4,0,4,2-18,2,18,1-5,1,5,9-12,9,12
267,George Mason,Atlantic 10,7-17,7,17,14-29,14,29,267,244,7-12,7,12,257,263,10-13,10,13,4-16,4,16,0-0,0,0,0-4,0,4,0-0,0,0,2-6,2,6,12-19,12,19
268,San Jose State,Mountain West,2-19,2,19,6-30,6,30,268,117,4-11,4,11,189,155,3-9,3,9,3-21,3,21,0-0,0,0,0-7,0,7,2-10,2,10,0-4,0,4,4-9,4,9
269,Holy Cross,Patriot League,9-15,9,15,10-20,10,20,269,265,1-5,1,5,265,258,6-8,6,8,4-12,4,12,0-0,0,0,0-0,0,0,0-0,0,0,1-7,1,7,9-13,9,13
270,Georgetown,Big East,6-19,6,19,6-25,6,25,270,149,0-6,0,6,253,98,5-9,5,9,1-16,1,16,0-0,0,0,0-3,0,3,0-4,0,4,2-13,2,13,4-5,4,5
271,Bellarmine,ASUN,8-16,8,16,13-36,13,36,271,241,5-18,5,18,245,189,8-15,8,15,4-21,4,21,1-0,1,0,1-7,1,7,0-6,0,6,1-11,1,11,11-12,11,12
272,Purdue Fort Wayne,Horizon League,8-28,8,28,11-35,11,35,272,232,3-7,3,7,196,213,6-14,6,14,5-21,5,21,0-0,0,0,0-4,0,4,0-0,0,0,3-17,3,17,8-14,8,14
273,UC Davis,Big West,8-32,8,32,14-43,14,43,273,200,6-11,6,11,251,217,11-26,11,26,3-17,3,17,0-0,0,0,0-8,0,8,1-7,1,7,3-8,3,8,10-20,10,20
274,Wagner,Northeast,8-22,8,22,11-25,11,25,274,270,3-3,3,3,180,219,4-14,4,14,7-11,7,11,0-0,0,0,0-0,0,0,2-4,2,4,0-3,0,3,9-18,9,18
275,Saint Bonaventure,Atlantic 10,6-14,6,14,7-24,7,24,275,218,1-10,1,10,258,208,4-12,4,12,3-12,3,12,0-0,0,0,0-0,0,0,1-3,1,3,2-5,2,5,4-16,4,16
276,Prairie View A&M,SWAC,12-7,12,7,14-18,14,18,276,292,0-9,0,9,264,168,6-3,6,3,6-13,6,13,2-2,2,2,0-2,0,2,0-1,0,1,0-4,0,4,14-11,14,11
277,Longwood,Big South,10-25,10,25,17-32,17,32,277,279,7-7,7,7,226,260,10-14,10,14,7-18,7,18,0-0,0,0,0-0,0,0,0-3,0,3,1-6,1,6,16-23,16,23
278,Minnesota,Big Ten,6-31,6,31,6-31,6,31,278,162,0-0,0,0,272,271,4-14,4,14,1-14,1,14,1-3,1,3,0-4,0,4,0-9,0,9,2-9,2,9,4-9,4,9
279,Grambling State,SWAC,12-9,12,9,17-27,17,27,279,288,3-16,3,16,263,237,8-9,8,9,7-13,7,13,2-5,2,5,0-2,0,2,0-0,0,0,2-4,2,4,15-21,15,21
280,Saint Peter's,MAAC,4-24,4,24,4-24,4,24,280,151,0-0,0,0,272,271,3-11,3,11,1-13,1,13,0-0,0,0,0-2,0,2,1-9,1,9,1-3,1,3,2-10,2,10
281,Arkansas-Pine Bluff,SWAC,8-14,8,14,8-30,8,30,281,268,0-16,0,16,237,22,2-6,2,6,6-21,6,21,0-3,0,3,0-7,0,7,0-2,0,2,0-3,0,3,8-18,8,18
282,Fairleigh Dickinson,Northeast,8-22,8,22,9-28,9,28,282,266,1-6,1,6,236,146,5-12,5,12,4-16,4,16,0-0,0,0,0-0,0,0,0-3,0,3,2-4,2,4,7-21,7,21
283,North Alabama,ASUN,6-15,6,15,7-40,7,40,283,219,1-25,1,25,261,170,5-14,5,14,2-26,2,26,0-0,0,0,0-10,0,10,0-0,0,0,0-11,0,11,7-19,7,19
284,Delaware State,MEAC,13-18,13,18,15-28,15,28,284,291,2-8,2,8,254,259,6-10,6,10,9-16,9,16,0-2,0,2,0-0,0,0,0-0,0,0,0-3,0,3,15-25,15,25
285,Akron,Mid-American,8-32,8,32,9-33,9,33,285,239,1-1,1,1,88,186,6-14,6,14,3-19,3,19,0-0,0,0,0-8,0,8,0-0,0,0,2-4,2,4,7-21,7,21
286,Alcorn State,SWAC,6-16,6,16,7-20,7,20,286,286,0-2,0,2,175,2,1-9,1,9,5-9,5,9,1-2,1,2,0-2,0,2,0-0,0,0,0-6,0,6,7-12,7,12
287,Northern Colorado,Western Athletic,7-24,7,24,9-35,9,35,287,257,2-11,2,11,266,226,8-12,8,12,1-23,1,23,0-0,0,0,0-0,0,0,3-7,3,7,2-6,2,6,4-22,4,22
288,Utah Valley,Western Athletic,8-28,8,28,10-47,10,47,288,267,2-17,2,17,262,235,4-15,4,15,6-30,6,30,0-2,0,2,0-0,0,0,1-4,1,4,0-8,0,8,9-35,9,35
289,Texas Southern,SWAC,10-14,10,14,11-35,11,35,289,285,0-19,0,19,259,140,6-6,6,6,4-27,4,27,1-2,1,2,0-4,0,4,0-9,0,9,0-1,0,1,11-21,11,21
290,Mount Saint Mary's,Northeast,5-19,5,19,9-28,9,28,290,271,4-9,4,9,269,268,7-17,7,17,2-11,2,11,0-0,0,0,0-0,0,0,0-4,0,4,0-6,0,6,9-18,9,18
291,Alabama A&M,SWAC,9-13,9,13,9-20,9,20,291,290,0-5,0,5,270,262,6-7,6,7,3-11,3,11,0-2,0,2,0-0,0,0,0-0,0,0,0-8,0,8,9-12,9,12
292,Coppin State,MEAC,7-20,7,20,10-29,10,29,292,293,3-9,3,9,249,250,2-12,2,12,8-17,8,17,0-0,0,0,0-0,0,0,0-0,0,0,0-1,0,1,10-28,10,28
293,Mississippi Valley State,SWAC,0-17,0,17,0-20,0,20,293,274,0-3,0,3,255,106,0-6,0,6,0-14,0,14,0-0,0,0,0-0,0,0,0-0,0,0,0-9,0,9,0-11,0,11
294,Bethune-Cookman,MEAC,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Brown,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Columbia,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Cornell,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Dartmouth,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Harvard,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Maryland Eastern Shore,MEAC,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Princeton,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
294,Yale,Ivy League,0-0,0,0,0-0,0,0,294,294,0-0,0,0,272,271,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0
