Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,RPI,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
159,Albany,America East,20-18,20,18,22-25,22,25,159,178,2-5,2,5,124,87,10-10,10,10,12-14,12,14,0-1,0,1,0-1,0,1,0-5,0,5,5-5,5,5,17-14,17,14
160,Charleston,Colonial Athletic,12-12,12,12,26-25,26,25,160,177,11-11,11,11,157,165,14-13,14,13,9-10,9,10,3-2,3,2,1-5,1,5,4-10,4,10,3-4,3,4,18-6,18,6
161,Georgia State,Sun Belt,12-12,12,12,18-37,18,37,161,49,5-24,5,24,179,25,10-13,10,13,7-23,7,23,1-1,1,1,2-10,2,10,6-17,6,17,4-7,4,7,6-3,6,3
162,UTRGV,Western Athletic,20-15,20,15,32-26,32,26,162,246,9-9,9,9,126,152,21-7,21,7,8-17,8,17,3-2,3,2,3-5,3,5,2-3,2,3,3-7,3,7,24-11,24,11
163,East Tennessee State,Southern,13-16,13,16,24-25,24,25,163,173,11-9,11,9,171,216,15-11,15,11,9-14,9,14,0-0,0,0,0-1,0,1,6-11,6,11,3-3,3,3,15-10,15,10
164,Penn State,Big Ten,18-24,18,24,18-24,18,24,164,123,0-0,0,0,272,271,8-8,8,8,6-13,6,13,4-3,4,3,0-3,0,3,3-6,3,6,7-10,7,10,8-5,8,5
165,Eastern Illinois,Ohio Valley,14-16,14,16,24-23,24,23,165,247,10-7,10,7,114,233,10-8,10,8,14-15,14,15,0-0,0,0,0-0,0,0,4-3,4,3,3-7,3,7,17-13,17,13
166,Sacred Heart,Northeast,17-10,17,10,23-25,23,25,166,233,5-13,5,13,213,199,9-5,9,5,12-18,12,18,2-2,2,2,0-0,0,0,1-3,1,3,3-6,3,6,19-16,19,16
167,Radford,Big South,17-19,17,19,23-23,23,23,167,188,6-4,6,4,69,96,15-10,15,10,8-13,8,13,0-0,0,0,0-4,0,4,3-6,3,6,3-4,3,4,17-9,17,9
168,Binghamton,America East,16-20,16,20,16-20,16,20,168,158,0-0,0,0,272,271,7-9,7,9,9-11,9,11,0-0,0,0,0-0,0,0,3-5,3,5,4-4,4,4,9-11,9,11
169,Appalachian State,Sun Belt,11-10,11,10,21-31,21,31,169,112,9-20,9,20,173,124,12-8,12,8,8-22,8,22,1-1,1,1,0-11,0,11,3-8,3,8,1-6,1,6,17-6,17,6
170,Davidson,Atlantic 10,11-13,11,13,24-24,24,24,170,202,13-11,13,11,144,212,16-7,16,7,6-16,6,16,2-1,2,1,2-8,2,8,1-3,1,3,8-4,8,4,13-9,13,9
171,Illinois State,Missouri Valley,12-15,12,15,23-34,23,34,171,119,10-17,10,17,192,187,12-10,12,10,10-22,10,22,1-2,1,2,1-14,1,14,4-4,4,4,5-6,5,6,13-10,13,10
172,Little Rock,Sun Belt,11-13,11,13,21-30,21,30,172,153,10-15,10,15,123,139,12-5,12,5,9-23,9,23,0-2,0,2,0-5,0,5,5-3,5,3,6-11,6,11,10-11,10,11
173,Cal State Fullerton,Big West,13-23,13,23,20-35,20,35,173,80,7-12,7,12,98,28,10-15,10,15,10-20,10,20,0-0,0,0,2-12,2,12,3-6,3,6,5-4,5,4,10-13,10,13
174,Evansville,Missouri Valley,11-16,11,16,28-27,28,27,174,181,17-10,17,10,197,245,20-14,20,14,8-12,8,12,0-1,0,1,4-8,4,8,3-6,3,6,6-5,6,5,15-8,15,8
175,Toledo,Mid-American,21-19,21,19,23-33,23,33,175,157,2-14,2,14,193,50,11-9,11,9,12-24,12,24,0-0,0,0,1-7,1,7,2-11,2,11,3-1,3,1,17-14,17,14
176,Washington,Pac-12,6-21,6,21,20-30,20,30,176,63,14-9,14,9,133,180,16-17,16,17,4-13,4,13,0-0,0,0,3-17,3,17,1-5,1,5,0-3,0,3,16-5,16,5
177,Northwestern,Big Ten,15-21,15,21,15-21,15,21,177,143,0-0,0,0,272,271,4-5,4,5,3-9,3,9,8-7,8,7,0-2,0,2,3-8,3,8,5-7,5,7,7-4,7,4
178,Lamar,Southland,17-19,17,19,25-23,25,23,178,238,8-2,8,2,49,228,13-11,13,11,12-10,12,10,0-2,0,2,0-0,0,0,0-5,0,5,6-7,6,7,19-11,19,11
179,Rice,Conference USA,11-20-1,11,20,23-29-1,23,29,179,134,12-9,12,9,202,241,14-15,14,15,8-12-1,8,12,1-2,1,2,4-12-0,4,12,5-6-0,5,6,0-4-0,0,4,14-7-1,14,7
180,VMI,Southern,13-17,13,17,18-29,18,29,180,85,5-12,5,12,207,120,11-14,11,14,7-15,7,15,0-0,0,0,0-5,0,5,4-12,4,12,6-4,6,4,8-8,8,8
181,Arkansas State,Sun Belt,10-14,10,14,19-30,19,30,181,140,8-15,8,15,137,125,10-7,10,7,8-22,8,22,1-1,1,1,0-4,0,4,3-6,3,6,8-10,8,10,8-10,8,10
182,Texas A&M-Corpus Christi,Southland,20-14,20,14,25-29,25,29,182,155,4-13,4,13,224,89,18-10,18,10,6-14,6,14,1-5,1,5,3-4,3,4,0-5,0,5,6-10,6,10,16-10,16,10
183,Stephen F. Austin,Southland,17-22,17,22,20-31,20,31,183,135,3-9,3,9,136,44,11-9,11,9,8-22,8,22,1-0,1,0,0-4,0,4,2-3,2,3,9-9,9,9,9-15,9,15
184,Loyola-Marymount,West Coast,13-14,13,14,20-29,20,29,184,130,7-15,7,15,188,132,12-12,12,12,8-17,8,17,0-0,0,0,2-8,2,8,3-4,3,4,3-8,3,8,12-9,12,9
185,Portland,West Coast,14-13,14,13,24-26,24,26,185,222,10-13,10,13,232,244,11-13,11,13,13-13,13,13,0-0,0,0,3-9,3,9,2-3,2,3,3-3,3,3,16-11,16,11
186,UMass-Lowell,America East,18-20,18,20,19-28,19,28,186,154,1-8,1,8,208,68,9-11,9,11,10-17,10,17,0-0,0,0,1-2,1,2,1-6,1,6,1-3,1,3,16-17,16,17
187,Lehigh,Patriot League,17-10,17,10,24-19,24,19,187,263,4-6,4,6,241,249,11-12,11,12,13-7,13,7,0-0,0,0,0-0,0,0,0-0,0,0,3-8,3,8,21-11,21,11
188,Saint John's,Big East,10-16,10,16,19-21,19,21,188,189,9-5,9,5,77,154,13-10,13,10,6-11,6,11,0-0,0,0,1-3,1,3,1-5,1,5,4-7,4,7,13-6,13,6
189,Western Michigan,Mid-American,23-17,23,17,24-26,24,26,189,228,1-9,1,9,256,173,15-9,15,9,9-17,9,17,0-0,0,0,4-4,4,4,0-6,0,6,1-3,1,3,19-13,19,13
190,Hofstra,Colonial Athletic,8-16,8,16,17-22,17,22,190,183,9-6,9,6,54,117,10-8,10,8,7-14,7,14,0-0,0,0,0-8,0,8,2-3,2,3,1-1,1,1,14-10,14,10
191,Maine,America East,16-17,16,17,22-22,22,22,191,256,5-3,5,3,110,252,7-10,7,10,15-11,15,11,0-1,0,1,0-0,0,0,1-1,1,1,3-3,3,3,18-18,18,18
192,Quinnipiac,MAAC,7-21,7,21,7-21,7,21,192,36,0-0,0,0,272,271,4-6,4,6,3-15,3,15,0-0,0,0,0-4,0,4,3-9,3,9,0-4,0,4,4-4,4,4
193,Cal State Bakersfield,Big West,17-19,17,19,20-23,20,23,193,194,3-4,3,4,248,261,12-12,12,12,8-11,8,11,0-0,0,0,1-7,1,7,1-3,1,3,0-4,0,4,18-9,18,9
194,New Mexico,Mountain West,10-17,10,17,16-25,16,25,194,150,6-8,6,8,162,182,9-6,9,6,6-16,6,16,1-3,1,3,2-5,2,5,6-13,6,13,0-0,0,0,8-7,8,7
195,Saint Mary's College,West Coast,11-16,11,16,25-26,25,26,195,235,14-10,14,10,125,206,14-12,14,12,11-14,11,14,0-0,0,0,1-2,1,2,3-6,3,6,7-5,7,5,14-13,14,13
196,Tennessee-Martin,Ohio Valley,10-17,10,17,19-29,19,29,196,212,9-12,9,12,128,195,5-8,5,8,14-21,14,21,0-0,0,0,2-1,2,1,1-9,1,9,0-6,0,6,16-13,16,13
197,Santa Clara,West Coast,8-19,8,19,18-33,18,33,197,90,10-14,10,14,66,19,9-16,9,16,9-17,9,17,0-0,0,0,3-9,3,9,0-3,0,3,5-8,5,8,10-13,10,13
198,Eastern Kentucky,Ohio Valley,13-17,13,17,21-32,21,32,198,133,8-15,8,15,159,85,16-9,16,9,5-23,5,23,0-0,0,0,1-5,1,5,3-7,3,7,5-9,5,9,12-11,12,11
199,UMass,Atlantic 10,3-17,3,17,13-30,13,30,199,102,10-13,10,13,91,112,2-10,2,10,11-20,11,20,0-0,0,0,0-8,0,8,3-7,3,7,1-5,1,5,9-10,9,10
200,North Carolina Central,MEAC,17-11,17,11,27-20,27,20,200,278,8-7,8,7,116,141,15-6,15,6,10-14,10,14,2-0,2,0,0-2,0,2,0-0,0,0,3-0,3,0,24-18,24,18
201,Austin Peay,Ohio Valley,16-14,16,14,23-33,23,33,201,170,6-17,6,17,220,166,10-13,10,13,11-16,11,16,2-4,2,4,0-6,0,6,1-5,1,5,7-7,7,7,15-15,15,15
202,Central Arkansas,Southland,18-22,18,22,23-28,23,28,202,207,5-6,5,6,174,191,14-11,14,11,9-17,9,17,0-0,0,0,0-2,0,2,2-2,2,2,5-11,5,11,16-13,16,13
203,Jacksonville,ASUN,3-15,3,15,16-34,16,34,203,82,8-16,8,16,178,103,6-15,6,15,8-17,8,17,2-2,2,2,4-5,4,5,8-10,8,10,4-14,4,14,0-5,0,5
204,Hartford,America East,18-20,18,20,18-20,18,20,204,223,0-0,0,0,272,271,13-7,13,7,5-13,5,13,0-0,0,0,0-0,0,0,0-4,0,4,3-1,3,1,15-15,15,15
205,William & Mary,Colonial Athletic,10-14,10,14,14-29,14,29,205,81,3-13,3,13,151,20,8-10,8,10,5-17,5,17,1-2,1,2,0-12,0,12,3-3,3,3,3-4,3,4,8-10,8,10
206,Utah,Pac-12,7-23,7,23,17-33,17,33,206,95,10-10,10,10,234,265,10-12,10,12,7-21,7,21,0-0,0,0,3-18,3,18,2-4,2,4,1-2,1,2,11-9,11,9
207,Ohio,Mid-American,19-21,19,21,28-25,28,25,207,262,9-4,9,4,134,243,19-10,19,10,9-15,9,15,0-0,0,0,4-4,4,4,0-0,0,0,3-4,3,4,21-17,21,17
208,Merrimack,Northeast,13-14,13,14,19-22,19,22,208,229,6-8,6,8,244,248,11-10,11,10,8-12,8,12,0-0,0,0,0-1,0,1,0-6,0,6,2-3,2,3,17-12,17,12
209,Valparaiso,Missouri Valley,9-19,9,19,16-35,16,35,209,111,5-14,5,14,217,215,7-6,7,6,7-27,7,27,2-2,2,2,0-12,0,12,3-2,3,2,4-11,4,11,9-10,9,10
210,Long Island,Northeast,18-11,18,11,20-15,20,15,210,281,2-2,2,2,271,271,10-6,10,6,10-7,10,7,0-2,0,2,0-0,0,0,1-3,1,3,1-2,1,2,18-10,18,10
211,Hawaii,Big West,16-24,16,24,17-26,17,26,211,148,1-2,1,2,44,15,10-10,10,10,7-16,7,16,0-0,0,0,2-9,2,9,3-1,3,1,0-4,0,4,12-12,12,12
212,Miami (OH),Mid-American,18-22,18,22,25-31,25,31,212,255,7-9,7,9,168,232,12-8,12,8,12-22,12,22,1-1,1,1,0-9,0,9,0-4,0,4,3-5,3,5,22-13,22,13
213,UC Riverside,Big West,12-28,12,28,15-36,15,36,213,76,3-8,3,8,86,3,6-19,6,19,9-17,9,17,0-0,0,0,2-9,2,9,0-8,0,8,4-4,4,4,9-15,9,15
214,Michigan State,Big Ten,17-27,17,27,17-27,17,27,214,167,0-0,0,0,272,271,5-11,5,11,7-9,7,9,5-7,5,7,1-2,1,2,5-7,5,7,6-7,6,7,5-11,5,11
215,Omaha,The Summit League,14-12,14,12,22-25,22,25,215,234,8-11,8,11,186,175,13-13,13,13,9-12,9,12,0-0,0,0,0-0,0,0,5-13,5,13,3-7,3,7,14-5,14,5
216,Middle Tennessee,Conference USA,12-19-1,12,19,24-29-1,24,29,216,231,11-8,11,8,199,251,14-12-1,14,12,9-15,9,15,1-2,1,2,1-9-0,1,9,3-5-0,3,5,4-5-0,4,5,16-10-1,16,10
217,Dixie State,Western Athletic,21-15,21,15,24-32,24,32,217,216,3-17,3,17,230,102,17-9,17,9,7-23,7,23,0-0,0,0,1-2,1,2,0-14,0,14,3-8,3,8,20-8,20,8
